Name,Date,State
Abbeville,09/01/1903,Alabama
Abel,10/15/1903,Alabama
Adamsville,11/15/1901,Alabama
Adger,11/15/1901,Alabama
Albertville,04/01/1902,Alabama
Alexander City,07/01/1902,Alabama
Alexandria,09/01/1902,Alabama
Almond,11/15/1904,Alabama
Alpine,10/01/1904,Alabama
Altoona,08/15/1904,Alabama
Anniston,03/15/1900,Alabama
Ariosto,03/01/1904,Alabama
Ashford,07/15/1903,Alabama
Ashland,03/02/1903,Alabama
Ashville,02/02/1903,Alabama
Athens,05/01/1903,Alabama
Attalla,04/01/1902,Alabama
Auburn,07/01/1902,Alabama
Baileyton,06/01/1904,Alabama
Banks,08/01/1903,Alabama
Bell Mills,01/01/1904,Alabama
Bessemer,11/15/1901,Alabama
Bevill,08/01/1903,Alabama
Billingsley,11/15/1904,Alabama
Birmingham,01/02/1901,Alabama
Blanton,11/02/1903,Alabama
Blocton,08/01/1903,Alabama
Blue Springs,10/01/1904,Alabama
Boaz,02/02/1903,Alabama
Bradleyton,09/15/1904,Alabama
Brantley,09/01/1904,Alabama
Bridgeport,09/01/1903,Alabama
Brockton,08/01/1904,Alabama
Brundidge,09/15/1903,Alabama
Buffalo,10/15/1904,Alabama
Camden,08/01/1903,Alabama
Camphill,11/01/1902,Alabama
Capps,06/01/1904,Alabama
Carrollton,12/01/1904,Alabama
Cedarbluff,09/01/1904,Alabama
Center,02/02/1903,Alabama
Centerville,08/01/1903,Alabama
Chandler Springs,10/01/1904,Alabama
Charlton,11/15/1904,Alabama
Chewacla,04/02/1900,Alabama
Childersburg,05/02/1904,Alabama
Choccolocco,03/02/1903,Alabama
Clanton,11/02/1903,Alabama
Clayton,11/01/1902,Alabama
Clintonville,08/01/1904,Alabama
Clio,12/01/1903,Alabama
Clopton,10/01/1904,Alabama
Coffee Springs,12/15/1904,Alabama
Coldwater,05/16/1904,Alabama
Collinsville,12/01/1903,Alabama
Columbia,09/01/1903,Alabama
Columbiana,10/15/1904,Alabama
Cottonwood,10/01/1904,Alabama
Crossville,06/01/1904,Alabama
Cuba,06/01/1904,Alabama
Cullman,02/02/1903,Alabama
Cusseta,10/01/1903,Alabama
Dadeville,11/01/1902,Alabama
Deatsville,09/15/1903,Alabama
Delta,05/02/1904,Alabama
Detroit,08/01/1904,Alabama
Dothan,07/01/1902,Alabama
Douglas,11/01/1904,Alabama
Duke,07/01/1902,Alabama
East Tallassee,11/01/1902,Alabama
Eastlake,01/02/1901,Alabama
Eclectic,11/01/1902,Alabama
Edwardsville,12/15/1903,Alabama
Elba,06/15/1904,Alabama
Elkmont,07/01/1902,Alabama
Elkwood,06/01/1904,Alabama
Enterprise,07/15/1903,Alabama
Ethelsville,06/01/1904,Alabama
Eufaula,07/01/1902,Alabama
Eva,12/01/1904,Alabama
Falkville,06/01/1904,Alabama
Finsley,11/15/1901,Alabama
Fivepoints,10/15/1904,Alabama
Florence,07/01/1902,Alabama
Fort Mitchell,04/01/1904,Alabama
Fort Payne,11/16/1903,Alabama
Francis,02/02/1903,Alabama
Fruithurst,10/15/1903,Alabama
Gabbett,03/02/1903,Alabama
Gadsden,06/04/1900,Alabama
Gaylesville,12/15/1904,Alabama
Geneva,12/01/1904,Alabama
Girard,09/01/1902,Alabama
Goldville,11/15/1904,Alabama
Goodwater,10/01/1903,Alabama
Gordon,08/01/1904,Alabama
Goshen,09/01/1903,Alabama
Grandbay,10/01/1903,Alabama
Gurley,11/02/1903,Alabama
Hanceville,11/16/1903,Alabama
Hartford,01/01/1904,Alabama
Hartsells,12/01/1904,Alabama
Headland,07/01/1902,Alabama
Hebron,03/02/1903,Alabama
Heflin,02/02/1903,Alabama
Hightower,11/01/1904,Alabama
Hokesbluff,12/01/1903,Alabama
Hope Hull,04/01/1904,Alabama
Horsecreek,09/01/1903,Alabama
Huntsville,04/01/1902,Alabama
Jacksons Gap,10/01/1904,Alabama
Jacksonville,01/15/1901,Alabama
Jamestown,06/01/1904,Alabama
Jamestown,07/15/1904,Alabama
Jasper,12/01/1904,Alabama
Jemison,11/02/1903,Alabama
Joppa,06/01/1904,Alabama
Keener,02/02/1903,Alabama
Kelly,12/15/1904,Alabama
Kennedy,06/01/1904,Alabama
Lafayette,09/01/1903,Alabama
Lapine,10/01/1904,Alabama
Leeds,11/15/1901,Alabama
Leesburg,02/02/1903,Alabama
Lincoln,07/01/1902,Alabama
Lineville,03/02/1903,Alabama
Loachapoka,07/01/1902,Alabama
Louisville,12/01/1903,Alabama
Luverne,09/01/1903,Alabama
Madison Station,06/01/1904,Alabama
Maplesville,12/01/1903,Alabama
Marion,07/15/1904,Alabama
Mc Calla,11/15/1901,Alabama
Mc Fall,09/15/1903,Alabama
Melborne,12/01/1904,Alabama
Midland City,09/01/1903,Alabama
Millerville,11/01/1904,Alabama
Millport,08/01/1904,Alabama
Milltown,11/15/1904,Alabama
Mobile,06/01/1901,Alabama
Montevallo,02/02/1903,Alabama
Montgomery,10/01/1902,Alabama
Morganspring,07/15/1904,Alabama
Morris,11/15/1901,Alabama
Mountainboro,02/02/1903,Alabama
Muscadine,05/02/1904,Alabama
New Decatur,08/01/1904,Alabama
Newmarket,11/02/1903,Alabama
Newton,12/15/1903,Alabama
Newville,05/02/1904,Alabama
Notasulga,07/01/1902,Alabama
Oakbowery,10/15/1904,Alabama
Oneonto,08/01/1904,Alabama
Opelika,12/07/1896,Alabama
Orrville,02/02/1903,Alabama
Oxford,03/15/1900,Alabama
Ozark,09/01/1903,Alabama
Palos,11/15/1901,Alabama
Patsburg,01/01/1904,Alabama
Petrey,09/15/1904,Alabama
Phoenix,09/01/1903,Alabama
Piedmont,07/01/1902,Alabama
Pink,06/01/1904,Alabama
Pinson,11/15/1901,Alabama
Plantersville,10/01/1904,Alabama
Portersville,10/15/1904,Alabama
