Name,Date,State
Alma,08/15/1904,Arkansas
Almyra,07/01/1903,Arkansas
Appleton,05/02/1904,Arkansas
Arkadelphia,09/01/1903,Arkansas
Austin,09/15/1904,Arkansas
Belleville,04/01/1903,Arkansas
Bentonville,08/01/1904,Arkansas
Brister,12/15/1904,Arkansas
Camden,10/01/1903,Arkansas
Carlisle,08/15/1904,Arkansas
Centerton,12/01/1904,Arkansas
Charleston,12/01/1904,Arkansas
Chickalah,09/01/1904,Arkansas
Chidester,08/15/1904,Arkansas
Clarksville,10/19/1896,Arkansas
Conway,05/01/1903,Arkansas
Dardanelle,08/15/1900,Arkansas
De Queen,08/15/1904,Arkansas
Farmington,03/01/1904,Arkansas
Fayetteville,07/01/1902,Arkansas
Fort Smith,10/01/1901,Arkansas
Fouke,05/16/1904,Arkansas
Garfield,09/15/1904,Arkansas
Gentry,09/15/1904,Arkansas
Gravette,08/15/1904,Arkansas
Greenwood,02/02/1903,Arkansas
Gumlog,12/01/1904,Arkansas
Hackett,12/01/1904,Arkansas
Hamburg,10/01/1903,Arkansas
Hazen,04/01/1903,Arkansas
Hollygrove,07/01/1903,Arkansas
Hope,08/01/1904,Arkansas
Johnson,10/01/1903,Arkansas
Jonesboro,07/15/1904,Arkansas
Judsonia,04/01/1903,Arkansas
Lexa,08/15/1904,Arkansas
Little Rock,10/15/1903,Arkansas
London,12/01/1904,Arkansas
Lonoke,08/01/1904,Arkansas
Lowell,05/01/1903,Arkansas
Magnolia,07/15/1904,Arkansas
Marvell,04/01/1903,Arkansas
Mc Neil,11/01/1904,Arkansas
Morrillton,04/01/1903,Arkansas
Nashville,10/01/1903,Arkansas
Newport,10/15/1900,Arkansas
Ozark,12/01/1904,Arkansas
Paris,10/01/1903,Arkansas
Piggott,07/15/1904,Arkansas
Plumerville,07/01/1903,Arkansas
Poplargrove,09/01/1904,Arkansas
Pottsville,04/01/1903,Arkansas
Prairiegrove,11/01/1904,Arkansas
Prescott,04/01/1903,Arkansas
Rogers,04/01/1904,Arkansas
Russellville,03/15/1900,Arkansas
Searcy,08/01/1904,Arkansas
Siloam Springs,09/15/1903,Arkansas
Springdale,08/15/1900,Arkansas
Stephens,12/01/1904,Arkansas
Stuttgart,08/15/1900,Arkansas
Sulphur Springs,09/01/1904,Arkansas
Summers,12/15/1904,Arkansas
Texarkana,07/01/1902,Arkansas
Tupelo,07/01/1903,Arkansas
Vanburen,05/01/1903,Arkansas
Vilonia,12/15/1904,Arkansas
Warren,02/01/1902,Arkansas
Westfork,05/01/1903,Arkansas
