Name,State,Date,Latitude,Longitude
Alma,Arkansas,08/15/1904,35.4998715,-94.1765551373
Almyra,Arkansas,07/01/1903,34.4062094,-91.4095682
Appleton,Arkansas,05/02/1904,35.4253584,-92.8743347
Arkadelphia,Arkansas,09/01/1903,34.13405,-93.0693990006371
Austin,Arkansas,09/15/1904,34.9984206,-91.9837552
Belleville,Arkansas,04/01/1903,35.0931455,-93.4485201
Bentonville,Arkansas,08/01/1904,36.302283,-94.2815889548162
Brister,Arkansas,12/15/1904,33.1406886,-93.1921108
Camden,Arkansas,10/01/1903,33.5682225,-92.8360392571429
Carlisle,Arkansas,08/15/1904,34.7831469,-91.7465235
Centerton,Arkansas,12/01/1904,36.346325,-94.332857648136
Charleston,Arkansas,12/01/1904,35.2971969,-94.0364869
Chickalah,Arkansas,09/01/1904,35.164254,-93.2785128
Chidester,Arkansas,08/15/1904,33.7023315,-93.0204437
Clarksville,Arkansas,10/19/1896,35.459903,-93.4822949337066
Conway,Arkansas,05/01/1903,35.0886963,-92.4421011
Dardanelle,Arkansas,08/15/1900,35.228057,-93.1674337066925
De Queen,Arkansas,08/15/1904,34.0437735,-94.3453796994476
Farmington,Arkansas,03/01/1904,36.049482,-94.2546749031168
Fayetteville,Arkansas,07/01/1902,36.111508,-94.2098667222748
Fort Smith,Arkansas,10/01/1901,35.3872218,-94.4248983
Fouke,Arkansas,05/16/1904,33.2611655,-93.8863272147903
Garfield,Arkansas,09/15/1904,36.469359,-93.9697679232069
Gentry,Arkansas,09/15/1904,36.2675793,-94.4846602
Gravette,Arkansas,08/15/1904,36.4168235,-94.4428583592002
Greenwood,Arkansas,02/02/1903,35.214179,-94.1972019709558
Gumlog,Arkansas,12/01/1904,35.348534,-93.0652439
Hackett,Arkansas,12/01/1904,35.1903732,-94.4110494
Hamburg,Arkansas,10/01/1903,33.224979,-91.797229414631
Hazen,Arkansas,04/01/1903,34.7809263,-91.5809651
Hollygrove,Arkansas,07/01/1903,nf,nf
Hope,Arkansas,08/01/1904,33.662224,-93.5878723064676
Johnson,Arkansas,10/01/1903,35.5600697,-93.4550108
Jonesboro,Arkansas,07/15/1904,35.81457925,-90.6682246515742
Judsonia,Arkansas,04/01/1903,35.270085,-91.6398575
Lexa,Arkansas,08/15/1904,34.5978776,-90.7523336
Little Rock,Arkansas,10/15/1903,34.7464809,-92.2895948
London,Arkansas,12/01/1904,35.326859,-93.2405016007635
Lonoke,Arkansas,08/01/1904,34.7414404,-91.862792
Lowell,Arkansas,05/01/1903,36.2629545,-94.161433640757
Magnolia,Arkansas,07/15/1904,33.2786565,-93.2241547161296
Marvell,Arkansas,04/01/1903,34.5556555,-90.9128928
Mc Neil,Arkansas,11/01/1904,33.512054,-93.2682149
Morrillton,Arkansas,04/01/1903,nf,nf
Nashville,Arkansas,10/01/1903,33.9419145,-93.8469644115943
Newport,Arkansas,10/15/1900,35.6230505,-91.257602907179
Ozark,Arkansas,12/01/1904,35.499806,-93.8453281306943
Paris,Arkansas,10/01/1903,35.286334,-93.7354979072403
Piggott,Arkansas,07/15/1904,36.391468,-90.201438259687
Plumerville,Arkansas,07/01/1903,35.1600836,-92.6407177
Poplargrove,Arkansas,09/01/1904,nf,nf
Pottsville,Arkansas,04/01/1903,35.2179005,-93.1050931283976
Prairiegrove,Arkansas,11/01/1904,nf,nf
Prescott,Arkansas,04/01/1903,33.807727,-93.3912284575902
Rogers,Arkansas,04/01/1904,36.3075975,-94.08133815
Russellville,Arkansas,03/15/1900,35.2875995,-93.1498306638533
Searcy,Arkansas,08/01/1904,35.2320095,-91.7466895233921
Siloam Springs,Arkansas,09/15/1903,36.18104795,-94.52687411499
Springdale,Arkansas,08/15/1900,36.187883,-94.1477731184471
Stephens,Arkansas,12/01/1904,33.4112328,-93.0696101
Stuttgart,Arkansas,08/15/1900,34.496015,-91.5498189759358
Sulphur Springs,Arkansas,09/01/1904,36.4834084,-94.4585488
Summers,Arkansas,12/15/1904,35.9811927,-94.4916067
Texarkana,Arkansas,07/01/1902,33.434011,-93.9908267487474
Tupelo,Arkansas,07/01/1903,35.3931395,-91.2306816
Vanburen,Arkansas,05/01/1903,nf,nf
Vilonia,Arkansas,12/15/1904,35.0792695,-92.2064580962169
Warren,Arkansas,02/01/1902,33.6077725,-92.0702476566632
Westfork,Arkansas,05/01/1903,35.4809933,-94.2269968
