Name,State,Date,Latitude,Longitude
Acampo,California,03/01/1901,38.1746398,-121.2785588
Anaheim,California,09/15/1900,33.8347516,-117.911732
Arcata,California,10/01/1902,40.8665166,-124.0828396
Arroyo Grande,California,07/01/1903,35.1243401,-120.580312524189
Auburn,California,07/01/1901,38.8945939,-121.0739897
Bakersfield,California,09/15/1903,35.3738712,-119.0194639
Berkeley,California,08/01/1903,37.8708393,-122.2728639
Berryessa,California,09/20/1898,37.3863287,-121.8605104
Buenapark,California,09/15/1903,nf,nf
Burbank,California,07/15/1904,34.1816482,-118.3258554
Calistoga,California,05/16/1904,38.582615,-122.583325948608
Campbell,California,02/01/1897,37.280657,-121.949717912357
Carpenteria,California,07/02/1900,33.7274655,-117.7681802
Ceres,California,11/02/1903,37.5949316,-120.9577098
Chico,California,04/01/1902,39.7284945,-121.8374777
Chino,California,03/02/1903,34.0133561,-117.690075
Colfax,California,04/01/1903,39.092034,-120.940584258093
Colma,California,11/01/1902,37.6768779,-122.459695
Colton,California,12/01/1902,34.0739016,-117.3136547
Compton,California,04/01/1902,33.8941926,-118.2254756
Concord,California,07/01/1903,37.9779777,-122.0310733
Del Ray,California,03/02/1903,33.9804664,-117.6987919
Dinuba,California,09/01/1902,36.5432837,-119.3870656
Dos Palos,California,09/15/1900,36.985173,-120.631136943328
Downey,California,10/15/1904,33.9400143,-118.1325688
Edenvale,California,07/05/1899,37.2649431,-121.8180072
Elmhurst,California,09/01/1903,37.7518732,-122.1719108
Elmonte,California,08/15/1900,nf,nf
Escondido,California,02/01/1901,33.1216751,-117.0814849
Fairoaks,California,09/01/1903,37.638926,-121.0280899
Folsom,California,06/04/1900,38.6745755,-121.143918689378
Fort Jones,California,03/02/1903,38.257417,-120.4196445
Fowler,California,07/01/1902,36.6305058,-119.6784697
Fresno,California,05/01/1900,36.748793,-119.714839601149
Fullerton,California,08/15/1900,33.8708215,-117.9294165
Galt,California,07/01/1901,38.2638005,-121.303410186252
Gardena,California,04/01/1904,33.8883302,-118.3070892
Geyserville,California,10/01/1903,38.707687,-122.9024964
Gilroy,California,03/01/1900,37.0094417,-121.590224176563
Glenellen,California,09/01/1904,32.906715,-117.1279909
Grass Valley,California,10/01/1903,39.2086655,-121.053122877412
Halfmoon Bay,California,11/01/1900,41.4923569,-123.3776127
Hanford,California,09/01/1902,36.3274502,-119.6456844
Haywards,California,07/16/1900,37.6447648,-122.1559376
Healdsburg,California,03/02/1903,38.6298355,-122.859002018421
Highland,California,07/01/1901,34.1283442,-117.2086513
Hollywood,California,04/01/1902,34.1028268,-118.3299899
Hynes,California,02/15/1904,33.7947375,-117.9907306
Kingsburg,California,07/01/1901,36.5138398,-119.5538929
Lathrop,California,02/01/1902,37.8227046,-121.27661
Laton,California,05/01/1903,36.43382,-119.689971760424
Lemoore,California,09/01/1903,36.2925095,-119.806698200361
Lincoln,California,07/01/1903,38.8598295,-121.342391957924
Lodi,California,08/15/1900,38.1301968,-121.2724473
Lompoc,California,04/01/1902,34.6675775,-120.443985477344
Longbeach,California,09/01/1903,35.54964,-120.6351519
Loomis,California,08/01/1900,38.8062635,-121.184832628298
Lordsburg,California,09/01/1903,35.321019,-119.0858629
Los Angeles,California,04/01/1902,34.053717,-118.2427266
Los Gatos,California,09/20/1898,37.233357,-121.947275952299
Madera,California,02/02/1903,37.1716264,-119.7737991
Martinez,California,02/01/1902,38.0193657,-122.1341321
Merced,California,02/02/1903,37.3029568,-120.4843269
Modesta,California,04/15/1904,nf,nf
Mokelumne Hill,California,02/02/1903,38.3013435,-120.711143743929
Morganhill,California,06/04/1900,nf,nf
Mountain View,California,07/23/1900,37.3855745,-122.08205
Napa,California,04/03/1899,38.2891775,-122.293706268451
Nestor,California,02/15/1904,32.5759214,-117.084191
Newark,California,09/01/1903,37.5296593,-122.0402399
Newcastle,California,07/01/1901,38.8740658,-121.1332806
Newman,California,02/15/1904,37.3139487,-121.0204222
Niles,California,09/15/1903,33.7731643,-117.9463552
North Ontario,California,08/15/1900,34.0941768,-117.6511655
Norwalk,California,02/01/1902,33.9092802,-118.0849169
Oleander,California,07/01/1902,36.6343943,-119.7548622
Ontario,California,08/15/1900,34.0633443,-117.6508876
Orange,California,09/15/1900,33.7500378,-117.8704931
Oxnard,California,09/15/1903,34.1975048,-119.1770516
Palms,California,02/01/1902,34.0215431,-118.414635
Parlier,California,03/02/1903,36.6116174,-119.5270734
Pasadena,California,08/15/1904,34.1476452,-118.1444779
Penryn,California,08/01/1902,38.8521217,-121.1693926
Petaluma,California,04/03/1899,38.2325829,-122.636465
Placerville,California,08/15/1904,38.7307105,-120.796302578348
Pomona,California,07/05/1899,34.0552886,-117.7522793
Portersville,California,02/01/1904,nf,nf
Redlands,California,12/15/1900,34.055735,-117.1888961
Redwood City,California,03/01/1899,37.4852152,-122.2363548
Reedley,California,10/01/1902,36.5969275,-119.450270001581
Rialto,California,09/01/1903,34.1064001,-117.3703235
Rivera,California,09/01/1903,32.5172728,-117.1209701
Riverside,California,04/15/1901,33.9533546,-117.3961623
Sacramento,California,05/01/1900,38.5815719,-121.4943996
San Bernardino,California,09/01/1903,34.1083449,-117.2897652
San Diego,California,07/01/1903,32.7174209,-117.1627714
San Gabriel,California,04/01/1902,34.0991325,-118.1086041
San Jacinto,California,09/15/1900,33.7839084,-116.958635
San Jose,California,09/02/1898,37.3438502,-121.8831349
San Juan,California,10/15/1903,33.6861614,-117.8205455
San Leandro,California,07/01/1903,37.7249296,-122.1560768
San Lorenzo,California,05/16/1904,37.6810422,-122.1244088
San Marcos,California,02/01/1902,33.1433723,-117.1661449
San Martin,California,12/01/1904,37.089655,-121.594504497603
Sanger,California,02/02/1903,36.708006,-119.5559652
Santa Ana,California,09/01/1900,33.7499595,-117.8732826
Santa Barbara,California,04/03/1899,34.4098107,-119.6970239
Santa Clara,California,07/01/1901,37.3541132,-121.9551744
Santa Cruz,California,09/05/1899,36.9746099,-122.0294259
Santa Maria,California,03/02/1903,34.9531295,-120.4358577
Santa Paula,California,07/16/1900,34.3556365,-119.065004848015
Santa Rosa,California,02/06/1899,38.4404675,-122.7144314
Saratoga,California,05/01/1900,37.2662575,-122.025725958373
Sebastopol,California,05/14/1900,38.4021359,-122.8238806
Selma,California,02/02/1903,36.5707838,-119.6120765
Soledad,California,06/15/1904,36.4198255,-121.351530206648
Sonoma,California,09/01/1900,38.5110803,-122.8473388
Stockton,California,09/18/1899,37.9577016,-121.2907796
Suisun City,California,02/01/1902,38.245232,-121.971753292531
Sunnyvale,California,07/01/1902,37.3688301,-122.0363496
Toluca,California,11/02/1903,33.5855054,-117.6997246
Tulare,California,09/01/1903,36.2516475,-118.852583
Turlock,California,05/02/1904,37.5021206,-120.846064650786
Vacaville,California,07/01/1903,38.341907,-121.901549843343
Ventura,California,11/01/1900,34.364744,-119.310582204204
Visalia,California,08/01/1902,36.3302284,-119.2920585
Watsonville,California,06/11/1900,36.887168,-121.78544647584
Westside,California,03/17/1898,36.4005066,-120.1390355
Whittier,California,04/01/1904,33.9748932,-118.0336975
Woodland,California,09/15/1903,38.6786109,-121.7733285
Wrights,California,09/15/1903,37.1379868,-121.9471203
