Name,Date,State
Berthoud,07/16/1900,Colorado
Boulder,07/16/1900,Colorado
Brighton,02/01/1902,Colorado
Broomfield,08/15/1900,Colorado
Brush,09/15/1903,Colorado
Carbondale,06/15/1904,Colorado
Delta,01/01/1904,Colorado
Denver,07/02/1900,Colorado
Dolores,06/01/1904,Colorado
Durango,09/15/1900,Colorado
Eaton,09/01/1900,Colorado
Edgewater,07/05/1899,Colorado
Englewood,07/15/1904,Colorado
Fort Collins,09/15/1900,Colorado
Fort Lupton,01/01/1904,Colorado
Fort Morgan,08/01/1902,Colorado
Fruita,04/01/1903,Colorado
Golden,08/01/1901,Colorado
Granada,07/01/1903,Colorado
Grand Junction,02/01/1902,Colorado
Greeley,07/16/1900,Colorado
Harman,05/01/1903,Colorado
Henderson,06/01/1904,Colorado
Holly,07/01/1903,Colorado
Hotchkiss,09/01/1903,Colorado
La Salle ,07/01/1901,Colorado
Lajunta,08/15/1900,Colorado
Lamar,05/16/1904,Colorado
Las Animas,10/01/1900,Colorado
Littleton,06/01/1900,Colorado
Longmont,08/15/1900,Colorado
Loveland,11/10/1896,Colorado
Lucerne,04/01/1902,Colorado
Manzanola,04/15/1904,Colorado
Montclair,10/15/1904,Colorado
Montevista,09/15/1900,Colorado
Montrose,07/01/1903,Colorado
Morrison,07/05/1899,Colorado
New Windsor,02/01/1901,Colorado
Niwot,04/01/1902,Colorado
Olathe,08/01/1904,Colorado
Parachute,11/01/1902,Colorado
Pine,02/01/1902,Colorado
Platteville,11/15/1900,Colorado
Prowers,09/15/1904,Colorado
Pueblo,02/15/1901,Colorado
Rockyford,09/15/1900,Colorado
Trinidad,12/01/1903,Colorado
