Name,State,Date,Latitude,Longitude
Berthoud,Colorado,07/16/1900,40.3083174,-105.0810924
Boulder,Colorado,07/16/1900,40.0149856,-105.2705456
Brighton,Colorado,02/01/1902,39.9590345,-104.81548995696
Broomfield,Colorado,08/15/1900,39.9379892,-105.0587294
Brush,Colorado,09/15/1903,40.2588686,-103.6238366
Carbondale,Colorado,06/15/1904,39.394549,-107.212603154701
Delta,Colorado,01/01/1904,38.7422063,-108.0689583
Denver,Colorado,07/02/1900,39.7391536,-104.9847034
Dolores,Colorado,06/01/1904,37.7524811,-108.4596087
Durango,Colorado,09/15/1900,37.2753739,-107.8799422
Eaton,Colorado,09/01/1900,40.5286765,-104.720716184781
Edgewater,Colorado,07/05/1899,39.7508575,-105.063811136229
Englewood,Colorado,07/15/1904,39.6482059,-104.9879641
Fort Collins,Colorado,09/15/1900,40.5508527,-105.0668085
Fort Lupton,Colorado,01/01/1904,40.0713715,-104.80382751965
Fort Morgan,Colorado,08/01/1902,40.2502582,-103.799951
Fruita,Colorado,04/01/1903,39.1588697,-108.7289883
Golden,Colorado,08/01/1901,39.755543,-105.2210997
Granada,Colorado,07/01/1903,38.0638981,-102.3104675
Grand Junction,Colorado,02/01/1902,39.063956,-108.5507317
Greeley,Colorado,07/16/1900,40.4233142,-104.7091322
Harman,Colorado,05/01/1903,37.2668639,-107.0522001
Henderson,Colorado,06/01/1904,39.9205405,-104.8658084
Holly,Colorado,07/01/1903,38.0522296,-102.1230301
Hotchkiss,Colorado,09/01/1903,38.80139,-107.719826761511
La Salle ,Colorado,07/01/1901,40.350566,-104.703862536364
Lajunta,Colorado,08/15/1900,37.3987647,-105.64564
Lamar,Colorado,05/16/1904,38.074865,-102.619559543194
Las Animas,Colorado,10/01/1900,37.3096626,-104.0591427
Littleton,Colorado,06/01/1900,39.613321,-105.0166498
Longmont,Colorado,08/15/1900,40.167912,-105.11175002617
Loveland,Colorado,11/10/1896,40.3977612,-105.0749801
Lucerne,Colorado,04/01/1902,40.4819249,-104.699687
Manzanola,Colorado,04/15/1904,38.1094509,-103.8660658
Montclair,Colorado,10/15/1904,39.731735,-104.9129478
Montevista,Colorado,09/15/1900,nf,nf
Montrose,Colorado,07/01/1903,38.478504,-107.8777769
Morrison,Colorado,07/05/1899,39.643024,-105.193278489931
New Windsor,Colorado,02/01/1901,40.4774818,-104.9013617
Niwot,Colorado,04/01/1902,40.103874,-105.1708193
Olathe,Colorado,08/01/1904,38.6049854,-107.9822884
Parachute,Colorado,11/01/1902,39.4536891,-108.0529619
Pine,Colorado,02/01/1902,37.2291798,-107.6015474
Platteville,Colorado,11/15/1900,40.2165175,-104.82771786254
Prowers,Colorado,09/15/1904,37.9455797,-102.4130793
Pueblo,Colorado,02/15/1901,38.2544472,-104.609141
Rockyford,Colorado,09/15/1900,nf,nf
Trinidad,Colorado,12/01/1903,37.169397,-104.5005411
