Name,State,Date
Abbeville,Alabama,09/01/1903
Abel,Alabama,10/15/1903
Adamsville,Alabama,11/15/1901
Adger,Alabama,11/15/1901
Albertville,Alabama,04/01/1902
Alexander City,Alabama,07/01/1902
Alexandria,Alabama,09/01/1902
Almond,Alabama,11/15/1904
Alpine,Alabama,10/01/1904
Altoona,Alabama,08/15/1904
Anniston,Alabama,03/15/1900
Ariosto,Alabama,03/01/1904
Ashford,Alabama,07/15/1903
Ashland,Alabama,03/02/1903
Ashville,Alabama,02/02/1903
Athens,Alabama,05/01/1903
Attalla,Alabama,04/01/1902
Auburn,Alabama,07/01/1902
Baileyton,Alabama,06/01/1904
Banks,Alabama,08/01/1903
Bell Mills,Alabama,01/01/1904
Bessemer,Alabama,11/15/1901
Bevill,Alabama,08/01/1903
Billingsley,Alabama,11/15/1904
Birmingham,Alabama,01/02/1901
Blanton,Alabama,11/02/1903
Blocton,Alabama,08/01/1903
Blue Springs,Alabama,10/01/1904
Boaz,Alabama,02/02/1903
Bradleyton,Alabama,09/15/1904
Brantley,Alabama,09/01/1904
Bridgeport,Alabama,09/01/1903
Brockton,Alabama,08/01/1904
Brundidge,Alabama,09/15/1903
Buffalo,Alabama,10/15/1904
Camden,Alabama,08/01/1903
Camphill,Alabama,11/01/1902
Capps,Alabama,06/01/1904
Carrollton,Alabama,12/01/1904
Cedarbluff,Alabama,09/01/1904
Center,Alabama,02/02/1903
Centerville,Alabama,08/01/1903
Chandler Springs,Alabama,10/01/1904
Charlton,Alabama,11/15/1904
Chewacla,Alabama,04/02/1900
Childersburg,Alabama,05/02/1904
Choccolocco,Alabama,03/02/1903
Clanton,Alabama,11/02/1903
Clayton,Alabama,11/01/1902
Clintonville,Alabama,08/01/1904
Clio,Alabama,12/01/1903
Clopton,Alabama,10/01/1904
Coffee Springs,Alabama,12/15/1904
Coldwater,Alabama,05/16/1904
Collinsville,Alabama,12/01/1903
Columbia,Alabama,09/01/1903
Columbiana,Alabama,10/15/1904
Cottonwood,Alabama,10/01/1904
Crossville,Alabama,06/01/1904
Cuba,Alabama,06/01/1904
Cullman,Alabama,02/02/1903
Cusseta,Alabama,10/01/1903
Dadeville,Alabama,11/01/1902
Deatsville,Alabama,09/15/1903
Delta,Alabama,05/02/1904
Detroit,Alabama,08/01/1904
Dothan,Alabama,07/01/1902
Douglas,Alabama,11/01/1904
Duke,Alabama,07/01/1902
East Tallassee,Alabama,11/01/1902
Eastlake,Alabama,01/02/1901
Eclectic,Alabama,11/01/1902
Edwardsville,Alabama,12/15/1903
Elba,Alabama,06/15/1904
Elkmont,Alabama,07/01/1902
Elkwood,Alabama,06/01/1904
Enterprise,Alabama,07/15/1903
Ethelsville,Alabama,06/01/1904
Eufaula,Alabama,07/01/1902
Eva,Alabama,12/01/1904
Falkville,Alabama,06/01/1904
Finsley,Alabama,11/15/1901
Fivepoints,Alabama,10/15/1904
Florence,Alabama,07/01/1902
Fort Mitchell,Alabama,04/01/1904
Fort Payne,Alabama,11/16/1903
Francis,Alabama,02/02/1903
Fruithurst,Alabama,10/15/1903
Gabbett,Alabama,03/02/1903
Gadsden,Alabama,06/04/1900
Gaylesville,Alabama,12/15/1904
Geneva,Alabama,12/01/1904
Girard,Alabama,09/01/1902
Goldville,Alabama,11/15/1904
Goodwater,Alabama,10/01/1903
Gordon,Alabama,08/01/1904
Goshen,Alabama,09/01/1903
Grandbay,Alabama,10/01/1903
Gurley,Alabama,11/02/1903
Hanceville,Alabama,11/16/1903
Hartford,Alabama,01/01/1904
Hartsells,Alabama,12/01/1904
Headland,Alabama,07/01/1902
Hebron,Alabama,03/02/1903
Heflin,Alabama,02/02/1903
Hightower,Alabama,11/01/1904
Hokesbluff,Alabama,12/01/1903
Hope Hull,Alabama,04/01/1904
Horsecreek,Alabama,09/01/1903
Huntsville,Alabama,04/01/1902
Jacksons Gap,Alabama,10/01/1904
Jacksonville,Alabama,01/15/1901
Jamestown,Alabama,06/01/1904
Jamestown,Alabama,07/15/1904
Jasper,Alabama,12/01/1904
Jemison,Alabama,11/02/1903
Joppa,Alabama,06/01/1904
Keener,Alabama,02/02/1903
Kelly,Alabama,12/15/1904
Kennedy,Alabama,06/01/1904
Lafayette,Alabama,09/01/1903
Lapine,Alabama,10/01/1904
Leeds,Alabama,11/15/1901
Leesburg,Alabama,02/02/1903
Lincoln,Alabama,07/01/1902
Lineville,Alabama,03/02/1903
Loachapoka,Alabama,07/01/1902
Louisville,Alabama,12/01/1903
Luverne,Alabama,09/01/1903
Madison Station,Alabama,06/01/1904
Maplesville,Alabama,12/01/1903
Marion,Alabama,07/15/1904
Mc Calla,Alabama,11/15/1901
Mc Fall,Alabama,09/15/1903
Melborne,Alabama,12/01/1904
Midland City,Alabama,09/01/1903
Millerville,Alabama,11/01/1904
Millport,Alabama,08/01/1904
Milltown,Alabama,11/15/1904
Mobile,Alabama,06/01/1901
Montevallo,Alabama,02/02/1903
Montgomery,Alabama,10/01/1902
Morganspring,Alabama,07/15/1904
Morris,Alabama,11/15/1901
Mountainboro,Alabama,02/02/1903
Muscadine,Alabama,05/02/1904
New Decatur,Alabama,08/01/1904
Newmarket,Alabama,11/02/1903
Newton,Alabama,12/15/1903
Newville,Alabama,05/02/1904
Notasulga,Alabama,07/01/1902
Oakbowery,Alabama,10/15/1904
Oneonto,Alabama,08/01/1904
Opelika,Alabama,12/07/1896
Orrville,Alabama,02/02/1903
Oxford,Alabama,03/15/1900
Ozark,Alabama,09/01/1903
Palos,Alabama,11/15/1901
Patsburg,Alabama,01/01/1904
Petrey,Alabama,09/15/1904
Phoenix,Alabama,09/01/1903
Piedmont,Alabama,07/01/1902
Pink,Alabama,06/01/1904
Pinson,Alabama,11/15/1901
Plantersville,Alabama,10/01/1904
Portersville,Alabama,10/15/1904
Pratt City,Alabama,11/15/1901
Randolph,Alabama,12/01/1904
