Name,State,Date,Latitude,Longitude
Abbeville,Wyoming,09/01/1903,31.5643955,-85.2540307869655
Abel,Wyoming,10/15/1903,33.5487187,-85.7124608
Adamsville,Wyoming,11/15/1901,33.6009389,-86.9561059
Adger,Wyoming,11/15/1901,33.3770561,-87.0936065
Albertville,Wyoming,04/01/1902,34.2675937,-86.2088669
Alexander City,Wyoming,07/01/1902,32.944012,-85.9538532
Alexandria,Wyoming,09/01/1902,33.768701,-85.8806685867867
Almond,Wyoming,11/15/1904,33.146508,-85.6216228
Alpine,Wyoming,10/01/1904,33.348722,-86.2385859
Altoona,Wyoming,08/15/1904,34.032877,-86.3214428246059
Anniston,Wyoming,03/15/1900,33.6749215,-85.8090864720719
Ariosto,Wyoming,03/01/1904,nf,nf
Ashford,Wyoming,07/15/1903,31.1829562,-85.236321
Ashland,Wyoming,03/02/1903,33.2737256,-85.8360741
Ashville,Wyoming,02/02/1903,33.8369216,-86.2549799
Athens,Wyoming,05/01/1903,34.745419,-86.9747953560397
Attalla,Wyoming,04/01/1902,34.0217639,-86.0885851
Auburn,Wyoming,07/01/1902,32.6098566,-85.4807825
Baileyton,Wyoming,06/01/1904,34.2623179,-86.6127712
Banks,Wyoming,08/01/1903,31.8151585,-85.8430034
Bell Mills,Wyoming,01/01/1904,33.6164966,-85.4746772
Bessemer,Wyoming,11/15/1901,33.359265,-86.8731909819981
Bevill,Wyoming,08/01/1903,33.2088477,-88.2877447
Billingsley,Wyoming,11/15/1904,32.660778,-86.710482654771
Birmingham,Wyoming,01/02/1901,33.5206824,-86.8024326
Blanton,Wyoming,11/02/1903,32.7345767,-85.1338277
Blocton,Wyoming,08/01/1903,33.1181748,-87.1249954
Blue Springs,Wyoming,10/01/1904,31.6637769,-85.5066063
Boaz,Wyoming,02/02/1903,34.1663695,-86.1708411331426
Bradleyton,Wyoming,09/15/1904,31.9018184,-86.2421847
Brantley,Wyoming,09/01/1904,31.581975,-86.2569580620073
Bridgeport,Wyoming,09/01/1903,34.9511335,-85.7179606154118
Brockton,Wyoming,08/01/1904,31.3857239,-85.9293861
Brundidge,Wyoming,09/15/1903,31.714738,-85.81514677167
Buffalo,Wyoming,10/15/1904,32.9462361,-85.4018929
Camden,Wyoming,08/01/1903,32.0042185,-87.2979960553098
Camphill,Wyoming,11/01/1902,nf,nf
Capps,Wyoming,06/01/1904,31.4971141,-85.3118787
Carrollton,Wyoming,12/01/1904,33.2619225,-88.0951702269639
Cedarbluff,Wyoming,09/01/1904,nf,nf
Center,Wyoming,02/02/1903,34.264543,-87.587802
Centerville,Wyoming,08/01/1903,34.2762094,-86.9294497
Chandler Springs,Wyoming,10/01/1904,33.3306673,-85.9983012
Charlton,Wyoming,11/15/1904,31.248248,-85.4203099
Chewacla,Wyoming,04/02/1900,32.6201348,-85.337167
Childersburg,Wyoming,05/02/1904,33.341297,-86.343621331079
Choccolocco,Wyoming,03/02/1903,33.6592714,-85.7035728
Clanton,Wyoming,11/02/1903,32.8387371,-86.6294262
Clayton,Wyoming,11/01/1902,31.8832085,-85.4539202282125
Clintonville,Wyoming,08/01/1904,31.4071125,-85.8941078
Clio,Wyoming,12/01/1903,31.7087753,-85.6104972
Clopton,Wyoming,10/01/1904,31.6085002,-85.4299374
Coffee Springs,Wyoming,12/15/1904,31.1646193,-85.9093821
Coldwater,Wyoming,05/16/1904,33.7823259,-85.4580118
Collinsville,Wyoming,12/01/1903,34.269124,-85.8607363953967
Columbia,Wyoming,09/01/1903,31.2926762,-85.1115965
Columbiana,Wyoming,10/15/1904,33.1781718,-86.6072054
Cottonwood,Wyoming,10/01/1904,31.0487933,-85.3049326
Crossville,Wyoming,06/01/1904,34.2875925,-85.99414
Cuba,Wyoming,06/01/1904,32.4281952,-88.3764211
Cullman,Wyoming,02/02/1903,34.1335332,-86.8779268
Cusseta,Wyoming,10/01/1903,32.7848521,-85.3057779
Dadeville,Wyoming,11/01/1902,32.837809,-85.77077616637
Deatsville,Wyoming,09/15/1903,32.583454,-86.3896831835538
Delta,Wyoming,05/02/1904,33.4401108,-85.690515
Detroit,Wyoming,08/01/1904,34.0281608,-88.1700368
Dothan,Wyoming,07/01/1902,31.158522,-85.426966199239
Douglas,Wyoming,11/01/1904,34.1737065,-86.3235926
Duke,Wyoming,07/01/1902,33.8506552,-85.9024683
East Tallassee,Wyoming,11/01/1902,32.5359683,-85.8932923
Eastlake,Wyoming,01/02/1901,34.799262,-87.5583109
Eclectic,Wyoming,11/01/1902,32.635412,-86.0251728886364
Edwardsville,Wyoming,12/15/1903,33.7073272,-85.5091235
Elba,Wyoming,06/15/1904,31.4123395,-86.0762850286197
Elkmont,Wyoming,07/01/1902,34.9288515,-86.9761105707287
Elkwood,Wyoming,06/01/1904,34.977586,-86.7236099
Enterprise,Wyoming,07/15/1903,31.283268,-85.8149806268041
Ethelsville,Wyoming,06/01/1904,33.4156743,-88.2166992
Eufaula,Wyoming,07/01/1902,31.8912717,-85.1454876
Eva,Wyoming,12/01/1904,34.329923,-86.7667518656566
Falkville,Wyoming,06/01/1904,34.3684295,-86.908616
Finsley,Wyoming,11/15/1901,nf,nf
Fivepoints,Wyoming,10/15/1904,nf,nf
Florence,Wyoming,07/01/1902,34.79981,-87.677251
Fort Mitchell,Wyoming,04/01/1904,32.341536,-85.0215983
Fort Payne,Wyoming,11/16/1903,34.464247,-85.6854715863579
Francis,Wyoming,02/02/1903,33.7748214,-86.0335823
Fruithurst,Wyoming,10/15/1903,33.7309382,-85.4338442
Gabbett,Wyoming,03/02/1903,nf,nf
Gadsden,Wyoming,06/04/1900,34.0142639,-86.0066387
Gaylesville,Wyoming,12/15/1904,34.268426,-85.5569057
Geneva,Wyoming,12/01/1904,31.0862933,-85.803014
Girard,Wyoming,09/01/1902,32.4565322,-85.0043764
Goldville,Wyoming,11/15/1904,33.0837311,-85.7838494
Goodwater,Wyoming,10/01/1903,33.0604215,-86.051688593596
Gordon,Wyoming,08/01/1904,31.1412918,-85.0965965
Goshen,Wyoming,09/01/1903,31.7229352,-86.1182882
Grandbay,Wyoming,10/01/1903,nf,nf
Gurley,Wyoming,11/02/1903,34.6997865,-86.3790093639556
Hanceville,Wyoming,11/16/1903,34.060712,-86.7638714893919
Hartford,Wyoming,01/01/1904,31.1023998,-85.6968778
Hartsells,Wyoming,12/01/1904,nf,nf
Headland,Wyoming,07/01/1902,31.351284,-85.3421559
Hebron,Wyoming,03/02/1903,33.1673398,-87.0672163
Heflin,Wyoming,02/02/1903,33.6489948,-85.5874584
Hightower,Wyoming,11/01/1904,33.531777,-85.3955076
Hokesbluff,Wyoming,12/01/1903,nf,nf
Hope Hull,Wyoming,04/01/1904,32.2698632,-86.3571916
Horsecreek,Wyoming,09/01/1903,nf,nf
Huntsville,Wyoming,04/01/1902,34.676649,-86.4812115114272
Jacksons Gap,Wyoming,10/01/1904,32.8862364,-85.8116265
Jacksonville,Wyoming,01/15/1901,33.8137163,-85.7613476
Jamestown,Wyoming,06/01/1904,34.3978666,-85.5774627
Jamestown,Wyoming,07/15/1904,34.3978666,-85.5774627
Jasper,Wyoming,12/01/1904,33.8312185,-87.2775053
Jemison,Wyoming,11/02/1903,32.9598451,-86.7466522
Joppa,Wyoming,06/01/1904,34.2978726,-86.5561022
Keener,Wyoming,02/02/1903,34.1562063,-85.9510823
Kelly,Wyoming,12/15/1904,31.3237829,-85.6552132
Kennedy,Wyoming,06/01/1904,33.5870574,-87.9844675
Lafayette,Wyoming,09/01/1903,32.8998486,-85.4010592
Lapine,Wyoming,10/01/1904,31.9657055,-86.2844093
Leeds,Wyoming,11/15/1901,33.5481597,-86.5444288
Leesburg,Wyoming,02/02/1903,34.1798177,-85.7613555
Lincoln,Wyoming,07/01/1902,33.6577115,-86.1071209165634
Lineville,Wyoming,03/02/1903,33.3106696,-85.7544051
Loachapoka,Wyoming,07/01/1902,32.605327,-85.5952388098405
Louisville,Wyoming,12/01/1903,31.7834963,-85.5557751
Luverne,Wyoming,09/01/1903,31.7165455,-86.2638492
Madison Station,Wyoming,06/01/1904,34.7736807,-86.5675095
Maplesville,Wyoming,12/01/1903,32.7884608,-86.8716549
Marion,Wyoming,07/15/1904,34.1128132,-87.8544031
Mc Calla,Wyoming,11/15/1901,nf,nf
Mc Fall,Wyoming,09/15/1903,nf,nf
Melborne,Wyoming,12/01/1904,33.572893,-88.2028102
Midland City,Wyoming,09/01/1903,31.3190612,-85.4938239
Millerville,Wyoming,11/01/1904,33.1915052,-85.9257985
Millport,Wyoming,08/01/1904,33.5634478,-88.0814159
Milltown,Wyoming,11/15/1904,33.0545664,-85.4846738
Mobile,Wyoming,06/01/1901,30.6943566,-88.0430541
Montevallo,Wyoming,02/02/1903,33.1006746,-86.8641558
Montgomery,Wyoming,10/01/1902,32.3669656,-86.3006485
Morganspring,Wyoming,07/15/1904,nf,nf
Morris,Wyoming,11/15/1901,33.744043,-86.8090241377801
Mountainboro,Wyoming,02/02/1903,34.1470397,-86.1305312
Muscadine,Wyoming,05/02/1904,33.7345495,-85.3860654
New Decatur,Wyoming,08/01/1904,34.61881,-87.0515068373485
Newmarket,Wyoming,11/02/1903,48.7702693,-122.4435333
Newton,Wyoming,12/15/1903,31.3351716,-85.6052133
Newville,Wyoming,05/02/1904,31.4218379,-85.337712
Notasulga,Wyoming,07/01/1902,32.5566305,-85.6694996660985
Oakbowery,Wyoming,10/15/1904,nf,nf
Oneonto,Wyoming,08/01/1904,nf,nf
Opelika,Wyoming,12/07/1896,32.728672,-85.3922532293581
Orrville,Wyoming,02/02/1903,32.3062505,-87.2455492
Oxford,Wyoming,03/15/1900,33.6149211,-85.8339391
Ozark,Wyoming,09/01/1903,31.4455625,-85.6379802180893
Palos,Wyoming,11/15/1901,33.6456617,-87.0449974
Patsburg,Wyoming,01/01/1904,31.7865436,-86.2282936
Petrey,Wyoming,09/15/1904,31.8487645,-86.2077382
Phoenix,Wyoming,09/01/1903,33.622276,-86.2348419
Piedmont,Wyoming,07/01/1902,33.9245454,-85.6113501
