Name,Date,State
Andover,07/01/1902,Connecticut
Avon,02/02/1903,Connecticut
Baltic,09/01/1903,Connecticut
Berlin,06/02/1902,Connecticut
Bethel,03/01/1900,Connecticut
Bethlehem,09/15/1903,Connecticut
Bloomfield,09/01/1900,Connecticut
Branford,06/01/1898,Connecticut
Bridgeport,05/14/1900,Connecticut
Bridgewater,05/02/1904,Connecticut
Bristol,12/15/1900,Connecticut
Brookfield,02/01/1901,Connecticut
Brookfield Center,02/01/1901,Connecticut
Cheshire,09/02/1901,Connecticut
Clinton,09/02/1901,Connecticut
Clintonville,01/01/1902,Connecticut
Colchester,09/02/1901,Connecticut
Collinsville,09/01/1903,Connecticut
Columbia,08/01/1902,Connecticut
Coscob,04/15/1901,Connecticut
Cromwell,04/02/1900,Connecticut
Danbury,01/15/1901,Connecticut
Darien,04/15/1901,Connecticut
Deepriver,11/01/1904,Connecticut
Eagleville,12/15/1900,Connecticut
East Granby,09/15/1903,Connecticut
East Haddam,11/15/1904,Connecticut
East Hampton,07/01/1902,Connecticut
East Haven,08/01/1902,Connecticut
Ellington,08/01/1902,Connecticut
Fairfield,12/15/1900,Connecticut
Falls Village,05/01/1902,Connecticut
Farmington,08/01/1902,Connecticut
Forestville,07/01/1901,Connecticut
Gales Ferry,08/01/1903,Connecticut
Gaylordsville,02/01/1902,Connecticut
Georgetown,02/01/1901,Connecticut
Glastonbury,10/01/1904,Connecticut
Granby,02/02/1903,Connecticut
Greenwich,02/01/1901,Connecticut
Groton,11/01/1902,Connecticut
Guilford,06/01/1898,Connecticut
Hamden,10/01/1902,Connecticut
Hampton,11/01/1904,Connecticut
Hawleyville,02/01/1901,Connecticut
Hazardville,09/15/1903,Connecticut
Higganum,09/02/1901,Connecticut
Hotchkissville,03/01/1902,Connecticut
Kensington,10/01/1901,Connecticut
Kent ,02/02/1903,Connecticut
Lebanon,07/01/1902,Connecticut
Leonard Bridge,09/02/1901,Connecticut
Lyme,03/01/1902,Connecticut
Madison,07/05/1899,Connecticut
Mansfield Center,12/15/1900,Connecticut
Middletown,08/15/1900,Connecticut
Milford,06/01/1898,Connecticut
Mystic,11/01/1902,Connecticut
Naugatuck,09/01/1900,Connecticut
New Britain,01/01/1902,Connecticut
New Canaan,07/05/1899,Connecticut
New Milford,09/01/1902,Connecticut
New Preston,04/01/1902,Connecticut
Newtown,12/15/1900,Connecticut
Norfolk,05/16/1899,Connecticut
North Franklin,07/01/1902,Connecticut
North Haven,12/15/1900,Connecticut
Northford,01/01/1902,Connecticut
Norwalk,12/04/1899,Connecticut
Norwich,04/01/1901,Connecticut
Norwichtown,09/02/1901,Connecticut
Oakdale,02/01/1904,Connecticut
Orange,07/01/1902,Connecticut
Plainville,05/01/1902,Connecticut
Plantsville,07/01/1902,Connecticut
Portland,08/01/1901,Connecticut
Putnam,06/01/1901,Connecticut
Ridgefield,02/01/1901,Connecticut
Riverside,03/15/1901,Connecticut
Rockville,05/01/1901,Connecticut
Roxbury,07/15/1904,Connecticut
Sandy Hook,02/01/1901,Connecticut
Seymour,07/01/1902,Connecticut
Shelton,12/15/1900,Connecticut
Simsbury,09/01/1903,Connecticut
Somers,11/01/1904,Connecticut
South Coventry,01/01/1902,Connecticut
South Glastonbury,04/15/1904,Connecticut
South Kent,02/02/1903,Connecticut
South Manchester,08/01/1902,Connecticut
South Norwalk,01/15/1901,Connecticut
Southbury,10/01/1902,Connecticut
Southington,07/01/1901,Connecticut
Southport,02/01/1901,Connecticut
Stamford,03/15/1901,Connecticut
Stepney Depot,12/15/1901,Connecticut
Stonington,08/01/1903,Connecticut
Stratford,12/15/1901,Connecticut
Suffield,12/15/1900,Connecticut
Terryville,02/01/1902,Connecticut
Thomaston,02/02/1903,Connecticut
Thompsonville,10/15/1904,Connecticut
Torrington,04/01/1902,Connecticut
Turnerville,04/01/1902,Connecticut
Uncasville,08/01/1903,Connecticut
Unionville,10/01/1901,Connecticut
Wallingford,08/15/1900,Connecticut
Warehouse Point,05/02/1904,Connecticut
Washington,02/02/1903,Connecticut
Washington Depot,09/15/1903,Connecticut
Waterbury,12/15/1900,Connecticut
Waterford,11/01/1904,Connecticut
Watertown,09/15/1903,Connecticut
West Cheshire,09/02/1901,Connecticut
West Cornwall,02/02/1903,Connecticut
West Hartford,04/16/1900,Connecticut
West Haven,07/01/1902,Connecticut
Westport,12/15/1900,Connecticut
Westville,04/16/1900,Connecticut
Wethersfield,04/15/1904,Connecticut
Willimantic,04/16/1900,Connecticut
Wilton,04/15/1901,Connecticut
Windsor,01/01/1902,Connecticut
Winsted,04/01/1902,Connecticut
Woodbury,03/01/1902,Connecticut
Yantic,07/01/1902,Connecticut
