Name,State,Date,Latitude,Longitude
Bridgeville,Delaware,06/11/1900,38.7334835,-75.6023822881857
Cheswold,Delaware,04/01/1902,39.2192786,-75.5857596
Clayton,Delaware,04/01/1902,39.2841965,-75.6321830518547
Dagsboro,Delaware,10/01/1902,38.5452925,-75.2382342192214
Delmar,Delaware,03/01/1900,38.464224,-75.5651869422024
Dover,Delaware,04/01/1902,39.158168,-75.5243682
Edgemoor,Delaware,04/01/1904,39.7501139,-75.4996414
Ellendale,Delaware,03/02/1903,38.8074665,-75.4238342010852
Farmington,Delaware,06/18/1900,38.86991495,-75.5792677894642
Felton,Delaware,04/01/1902,39.010493,-75.5744248647887
Frankford,Delaware,10/01/1902,38.5236915,-75.2340167831479
Georgetown,Delaware,10/01/1902,38.6901099,-75.385727
Greenwood,Delaware,07/01/1902,38.806768,-75.5914126949926
Harbeson,Delaware,03/01/1904,38.7248347,-75.2849123
Harrington,Delaware,10/03/1898,38.921267,-75.5699884003043
Hartley,Delaware,04/01/1902,38.782081,-75.1411669
Hockessin,Delaware,07/01/1902,39.7876112,-75.6966001
Houston Station,Delaware,05/16/1904,38.9177865,-75.5042375314327
Kenton,Delaware,04/01/1902,39.227505,-75.6641778101152
Laurel,Delaware,11/01/1898,38.5565041,-75.5713141
Lewes,Delaware,03/01/1904,38.7745565,-75.1393498
Lincoln,Delaware,03/02/1903,38.8698352,-75.4229746
Marshallton,Delaware,11/01/1898,39.7256679,-75.6540959
Milford,Delaware,04/01/1902,38.9130342,-75.4280735
Millsboro,Delaware,10/01/1902,38.5915023,-75.2913018
Milton,Delaware,03/01/1904,38.7755095,-75.3131933615808
Newark,Delaware,07/16/1900,39.6852191,-75.7508289
Newcastle,Delaware,07/01/1902,-32.9482331,151.6444871
Oakgrove,Delaware,09/01/1903,39.8003173,-75.3337971
Porters,Delaware,04/01/1904,39.265544,-76.1110529
Seaford,Delaware,07/01/1902,38.657418,-75.6088931012753
Selbyville,Delaware,03/01/1904,38.4662755,-75.2363877102984
Selbyville,Delaware,09/01/1904,38.4662755,-75.2363877102984
Smyrna,Delaware,02/15/1899,39.2998339,-75.6046494
Townsend,Delaware,08/15/1900,39.3951115,-75.6915973
Wyoming,Delaware,04/01/1902,39.11733505,-75.5587225530614
