Name,State,Date,Latitude,Longitude
Aucilla,Florida,10/15/1904,30.4799277,-83.7543254
Cantonment,Florida,07/01/1902,30.6085265,-87.339976
Fort White,Florida,05/02/1904,29.9232908,-82.7137327
Jacksonville,Florida,09/01/1903,30.3321838,-81.655651
Jasper,Florida,10/15/1904,30.5182727,-82.94819
Jennings,Florida,09/01/1903,30.6041015,-83.0979184
Lake City,Florida,10/01/1903,30.1896756,-82.6392899
Lulu,Florida,11/01/1904,30.1074582,-82.4912303
Pensacola,Florida,06/01/1904,30.421309,-87.2169149
Plant City,Florida,09/01/1903,28.023543,-82.1272020302876
Quincy,Florida,07/01/1902,30.5871948,-84.5832619
Sanibel,Florida,04/02/1900,26.4489695,-82.0223137
South Jacksonville,Florida,09/01/1903,30.3110729,-81.6456503
Tampa,Florida,07/01/1903,27.9477595,-82.458444
Wellborn,Florida,06/01/1904,30.2310609,-82.8195716
Winterpark,Florida,01/01/1898,nf,nf
