Name,Date,State
Abbeville,10/01/1902,Georgia
Acworth,11/15/1902,Georgia
Adairsville,09/02/1901,Georgia
Adel,08/01/1901,Georgia
Adrian,12/01/1904,Georgia
Ailey,03/02/1903,Georgia
Albany,04/16/1900,Georgia
Allentown,06/01/1904,Georgia
Americus,12/01/1901,Georgia
Aragon,04/01/1904,Georgia
Arlington,02/02/1903,Georgia
Armuchee,09/15/1903,Georgia
Arnoldsville,11/02/1903,Georgia
Ashburn,12/15/1903,Georgia
Athens ,02/01/1899,Georgia
Atlanta,05/01/1903,Georgia
Atlanta Heights,03/02/1903,Georgia
Auburn,09/01/1903,Georgia
Augusta,07/01/1901,Georgia
Austell,11/15/1902,Georgia
Avalon,07/01/1902,Georgia
Avera,07/15/1904,Georgia
Baconton,05/01/1903,Georgia
Bainbridge,04/16/1900,Georgia
Bairdstown,07/15/1904,Georgia
Ballground,04/15/1904,Georgia
Banning,12/15/1903,Georgia
Barnesville,07/01/1902,Georgia
Barney,11/15/1904,Georgia
Bartow,05/01/1902,Georgia
Berner,06/15/1904,Georgia
Bethlehem ,05/01/1901,Georgia
Blakely,08/01/1901,Georgia
Blitch,06/01/1904,Georgia
Bluffton ,12/01/1902,Georgia
Blythe,05/16/1904,Georgia
Bogart,05/01/1903,Georgia
Bolingbroke,12/01/1904,Georgia
Bolton,05/01/1903,Georgia
Bonaire,09/01/1902,Georgia
Boston,08/01/1901,Georgia
Bowdon,11/01/1904,Georgia
Bowersville,05/01/1901,Georgia
Bowman,11/02/1903,Georgia
Boxspring,02/02/1903,Georgia
Bremen,10/01/1903,Georgia
Bronwood,04/01/1901,Georgia
Brooks Station,12/01/1904,Georgia
Brunswick,03/02/1903,Georgia
Buchanan,10/01/1903,Georgia
Buckhead,12/01/1904,Georgia
Buena Vista,11/01/1901,Georgia
Buford,08/01/1901,Georgia
Bullochville,02/02/1903,Georgia
Byron,09/01/1902,Georgia
Cairo,04/16/1900,Georgia
Calhoun,08/01/1902,Georgia
Camilla,08/15/1900,Georgia
Campton,07/01/1901,Georgia
Canon,06/11/1900,Georgia
Canton,09/15/1904,Georgia
Carlton,12/01/1904,Georgia
Carnesville,04/01/1904,Georgia
Carrollton,01/01/1902,Georgia
Carrs Station,12/01/1902,Georgia
Cartersville,10/01/1901,Georgia
Cass Station,05/02/1904,Georgia
Cataula,02/02/1903,Georgia
Cavespring,09/15/1903,Georgia
Cedartown,11/01/1902,Georgia
Chalker,10/01/1904,Georgia
Chamblee ,03/02/1903,Georgia
Chester,09/01/1904,Georgia
Chickamauga,09/01/1904,Georgia
Chipley,02/02/1903,Georgia
Clem,11/02/1903,Georgia
Climax,12/01/1902,Georgia
Cochran,11/01/1901,Georgia
Colbert,05/01/1903,Georgia
Coleman,08/01/1901,Georgia
Collegepark,05/01/1903,Georgia
Colquitt,12/01/1902,Georgia
Columbus,03/01/1902,Georgia
Comer,05/01/1903,Georgia
Conley,09/15/1903,Georgia
Conyers,10/15/1900,Georgia
Coosa,09/15/1903,Georgia
Cordele,04/01/1904,Georgia
Cornelia,10/15/1904,Georgia
Covington,04/15/1902,Georgia
Crawford,02/01/1902,Georgia
Crawfordville,06/02/1902,Georgia
Culloden,04/15/1904,Georgia
Culverton,10/15/1904,Georgia
Cumming,11/02/1903,Georgia
Curryville,05/16/1904,Georgia
Cusseta ,09/01/1902,Georgia
Cuthbert,04/16/1900,Georgia
Dacula,11/01/1901,Georgia
Daisy,05/16/1904,Georgia
Dallas,05/01/1902,Georgia
Dalton,05/16/1904,Georgia
Danielsville,11/02/1903,Georgia
Danville,04/15/1904,Georgia
Darien,11/01/1904,Georgia
Dawson,04/02/1900,Georgia
