Name,State,Date,Latitude,Longitude
Abbeville,Georgia,10/01/1902,31.9921223,-83.3068243
Acworth,Georgia,11/15/1902,34.0659329,-84.6768796
Adairsville,Georgia,09/02/1901,34.3687021,-84.9341093
Adel,Georgia,08/01/1901,31.1371358,-83.4234936
Adrian,Georgia,12/01/1904,32.5307224,-82.5892995
Ailey,Georgia,03/02/1903,32.1874042,-82.5656886
Albany,Georgia,04/16/1900,31.5782062,-84.1556809
Allentown,Georgia,06/01/1904,32.5932119,-83.2257127
Americus,Georgia,12/01/1901,32.0723862,-84.2326876
Aragon,Georgia,04/01/1904,34.045655,-85.056058
Arlington,Georgia,02/02/1903,31.4398976,-84.7249188
Armuchee,Georgia,09/15/1903,34.3889785,-85.1818955
Arnoldsville,Georgia,11/02/1903,33.9051167,-83.2168199
Ashburn,Georgia,12/15/1903,31.7060134,-83.653224
Athens ,Georgia,02/01/1899,33.9595974,-83.376678
Atlanta,Georgia,05/01/1903,33.7490987,-84.3901849
Atlanta Heights,Georgia,03/02/1903,33.7108817,-84.3687558
Auburn,Georgia,09/01/1903,34.0137179,-83.8276759
Augusta,Georgia,07/01/1901,33.4709714,-81.9748429
Austell,Georgia,11/15/1902,33.8186675,-84.6313142893704
Avalon,Georgia,07/01/1902,33.5226125,-84.396314
Avera,Georgia,07/15/1904,33.1940354,-82.5270728
Baconton,Georgia,05/01/1903,31.379623,-84.161017
Bainbridge,Georgia,04/16/1900,30.9037995,-84.5754699
Bairdstown,Georgia,07/15/1904,33.69818,-83.1187645
Ballground,Georgia,04/15/1904,34.674965,-84.7513319
Banning,Georgia,12/15/1903,33.5120567,-84.9310512
Barnesville,Georgia,07/01/1902,33.0545709,-84.1557496
Barney,Georgia,11/15/1904,31.008246,-83.5129406
Bartow,Georgia,05/01/1902,34.2394683,-84.8406984
Berner,Georgia,06/15/1904,33.1548498,-83.8285142
Bethlehem ,Georgia,05/01/1901,34.9020296,-84.0774118
Blakely,Georgia,08/01/1901,31.3776754,-84.934092
Blitch,Georgia,06/01/1904,32.5896148,-81.782334
Bluffton ,Georgia,12/01/1902,31.5229496,-84.8677008
Blythe,Georgia,05/16/1904,33.2926427,-82.2015103
Bogart,Georgia,05/01/1903,33.949281,-83.534608
Bolingbroke,Georgia,12/01/1904,32.9493023,-83.8032382
Bolton,Georgia,05/01/1903,33.8142719,-84.4532628
Bonaire,Georgia,09/01/1902,32.5437575,-83.5960162
Boston,Georgia,08/01/1901,30.7918613,-83.7898868
Bowdon,Georgia,11/01/1904,33.5378885,-85.2532818
Bowersville,Georgia,05/01/1901,34.3728819,-83.0826491
Bowman,Georgia,11/02/1903,34.2048296,-83.0307002
Boxspring,Georgia,02/02/1903,nf,nf
