Name,Date,State
Abingdon,09/01/1902,Illinois
Adair,03/02/1903,Illinois
Adams,02/01/1904,Illinois
Advance,12/15/1903,Illinois
Akin,04/01/1904,Illinois
Albany,10/01/1903,Illinois
Albion,02/01/1902,Illinois
Aledo,08/15/1900,Illinois
Alexander,05/02/1904,Illinois
Alexis,11/15/1900,Illinois
Alhambra,12/01/1902,Illinois
Allendale,09/15/1904,Illinois
Allenville,12/15/1903,Illinois
Allerton,05/02/1904,Illinois
Alma,10/01/1900,Illinois
Alta,09/15/1902,Illinois
Altamont,03/02/1903,Illinois
Alto Pass,04/01/1903,Illinois
Altona,09/01/1902,Illinois
Alvin,08/01/1902,Illinois
Amboy,09/01/1903,Illinois
Anchor,09/15/1903,Illinois
Anchor,10/01/1903,Illinois
Ancona,12/15/1904,Illinois
Anna,06/01/1900,Illinois
Antioch,01/01/1904,Illinois
Apple River,04/15/1904,Illinois
Appleton,10/01/1903,Illinois
Arcola,03/01/1902,Illinois
Arenzville,08/01/1902,Illinois
Argenta,07/01/1901,Illinois
Argyle,02/15/1904,Illinois
Arlington Heights,12/15/1903,Illinois
Armington,03/01/1902,Illinois
Armstrong,08/01/1902,Illinois
Arrowsmith,10/01/1902,Illinois
Arthur,04/01/1902,Illinois
Ashland,10/01/1902,Illinois
Ashley,09/01/1900,Illinois
Ashmore,11/16/1903,Illinois
Ashton,09/01/1903,Illinois
Assumption,07/01/1901,Illinois
Astoria,09/15/1903,Illinois
Athens,09/01/1902,Illinois
Atkinson,04/01/1902,Illinois
Atlanta,12/04/1898,Illinois
Atterberry,09/01/1904,Illinois
Atwater,01/01/1904,Illinois
Atwood,03/01/1902,Illinois
Auburn,12/10/1896,Illinois
Augusta,12/15/1903,Illinois
Aurora,05/14/1900,Illinois
Ava,08/15/1900,Illinois
Avena,06/01/1904,Illinois
Avon,11/01/1900,Illinois
Baileyville,04/15/1904,Illinois
Baldwin,04/01/1903,Illinois
Bardolph,06/01/1904,Illinois
Barnett,12/01/1900,Illinois
Barnhill,09/01/1904,Illinois
Barrington,06/15/1904,Illinois
Barry,08/01/1901,Illinois
Basco,04/01/1904,Illinois
Bath,09/01/1904,Illinois
Beardstown,10/01/1901,Illinois
Beason,03/01/1901,Illinois
Beecher,12/01/1902,Illinois
Beecher City,07/01/1903,Illinois
Bellerive,05/01/1900,Illinois
Belleville,03/01/1900,Illinois
Bellflower,09/15/1903,Illinois
Bellflower,10/01/1903,Illinois
Belvidere,07/16/1900,Illinois
Bement,03/01/1902,Illinois
Bensenville,12/15/1903,Illinois
Benson,04/01/1902,Illinois
Benton,11/01/1901,Illinois
Berwick,03/02/1903,Illinois
Bethalto,09/15/1903,Illinois
Bethany,09/01/1903,Illinois
Biblegrove,09/01/1904,Illinois
Biggsville,04/01/1903,Illinois
Bigrock,05/14/1900,Illinois
Billett,07/15/1904,Illinois
Bingham,10/15/1903,Illinois
Birds,06/01/1904,Illinois
Birmingham,09/15/1904,Illinois
Bishop Hill,03/01/1902,Illinois
Blackstone,09/01/1902,Illinois
Blandinsville,03/02/1903,Illinois
Bloomington,08/01/1901,Illinois
Bluemound,07/01/1902,Illinois
Bluffs,10/01/1902,Illinois
Bluford,08/01/1903,Illinois
Bondville,02/16/1903,Illinois
Bonegap,10/01/1903,Illinois
Bonfield,05/16/1904,Illinois
Bonnie,01/01/1904,Illinois
Boody,07/01/1902,Illinois
Boulder,04/15/1904,Illinois
Bowen,11/02/1903,Illinois
Braceville,10/15/1904,Illinois
Bradford,08/01/1902,Illinois
Breckenridge,08/01/1902,Illinois
Breese,03/01/1904,Illinois
Bridgeport,04/15/1904,Illinois
Brighton,01/01/1904,Illinois
Brimfield,01/15/1901,Illinois
Bristol,09/15/1900,Illinois
Broadlands,02/16/1903,Illinois
Brocton,09/02/1901,Illinois
Brookport,09/01/1903,Illinois
Broughton,10/01/1903,Illinois
Browning,07/01/1904,Illinois
Browns,03/01/1902,Illinois
Brownstown,04/01/1901,Illinois
Brubaker,01/15/1904,Illinois
Bruce,05/02/1904,Illinois
Buckingham,06/01/1904,Illinois
Buckley,07/01/1901,Illinois
Buda,09/01/1903,Illinois
Buffalo,02/15/1902,Illinois
Buffalo Hart,08/01/1901,Illinois
Buncombe,05/02/1904,Illinois
Bunkerhill,03/02/1903,Illinois
Burnt Prairie,02/15/1904,Illinois
Bushnell,03/02/1903,Illinois
Butler,07/02/1900,Illinois
Byron,10/01/1903,Illinois
Caledonia,04/01/1904,Illinois
Calhoun,07/01/1902,Illinois
Camargo,10/01/1903,Illinois
Cambridge,08/15/1900,Illinois
Cameron,03/01/1904,Illinois
Campbell Hill,04/01/1903,Illinois
Camppoint,09/01/1900,Illinois
Campus,12/15/1904,Illinois
Canton,11/01/1900,Illinois
Cantrall,12/02/1901,Illinois
Capron,02/15/1904,Illinois
Carbondale,04/02/1900,Illinois
Carlinville,10/16/1899,Illinois
Carlock,10/01/1901,Illinois
Carlyle,12/04/1899,Illinois
Carmi,09/01/1903,Illinois
Carrollton,07/02/1900,Illinois
Carter,10/15/1900,Illinois
Carthage,10/15/1900,Illinois
Casey,03/01/1902,Illinois
Caseyville,10/01/1903,Illinois
Catlin,08/01/1902,Illinois
Cave In Rock,08/01/1904,Illinois
Cazenovia,04/15/1904,Illinois
Cedarville,07/23/1900,Illinois
Centerville Station,09/15/1904,Illinois
Centralia,10/01/1900,Illinois
Cerro Gordo,03/01/1902,Illinois
Chadwick,07/01/1903,Illinois
Chambersburg,02/15/1904,Illinois
Champaign ,12/15/1900,Illinois
Chandlerville,04/01/1904,Illinois
Chapin,08/01/1900,Illinois
Charleston,10/15/1900,Illinois
Chatham,07/01/1901,Illinois
Chatsworth,12/15/1903,Illinois
Chauncey,07/01/1904,Illinois
Chenoa,10/01/1901,Illinois
Cherry Valley,01/02/1901,Illinois
Chester,06/04/1900,Illinois
Chesterfield,01/01/1904,Illinois
Chesterfield,11/16/1903,Illinois
Chestnut,01/01/1904,Illinois
Chicago,06/15/1904,Illinois
Chillicothe,09/15/1902,Illinois
Chrisman,01/15/1901,Illinois
Christopher,09/01/1904,Illinois
Cisco,03/01/1902,Illinois
Cisne,10/01/1901,Illinois
Cissnapark,08/01/1901,Illinois
Claremont,07/01/1902,Illinois
Clarence,05/02/1904,Illinois
Clay City,03/01/1902,Illinois
Clayton,04/01/1903,Illinois
Clinton,02/01/1902,Illinois
Coal City,10/15/1904,Illinois
Coal Valley,11/01/1902,Illinois
Coatsburg,11/15/1904,Illinois
Coffeen,05/01/1901,Illinois
Colchester,03/02/1903,Illinois
Colfax,10/01/1902,Illinois
Collison,05/02/1904,Illinois
Columbia,02/02/1903,Illinois
Colusa,04/01/1904,Illinois
Compton,04/01/1904,Illinois
Concord,05/02/1904,Illinois
Cooksville,08/01/1902,Illinois
Cora,07/01/1904,Illinois
Cordova,10/01/1904,Illinois
Cornell,07/01/1904,Illinois
Cornland,07/01/1901,Illinois
Coulterville,04/01/1903,Illinois
Covell,08/01/1901,Illinois
Cowden,09/01/1903,Illinois
Crab Orchard,05/01/1902,Illinois
Creal Springs,09/15/1904,Illinois
Crete,12/01/1902,Illinois
Cropsey,09/15/1903,Illinois
Cropsey,10/01/1903,Illinois
Crossville,12/01/1903,Illinois
Cuba,09/15/1903,Illinois
Cullom,06/01/1904,Illinois
Curran,07/01/1901,Illinois
Custer,05/15/1903,Illinois
Custerpark,04/01/1904,Illinois
Cutler,11/01/1900,Illinois
Cypress,06/01/1904,Illinois
Dahinda,09/01/1902,Illinois
Dahlgren,03/01/1902,Illinois
Dakota,07/23/1900,Illinois
Dallas,09/01/1900,Illinois
Dalton City ,09/01/1903,Illinois
Dana,02/16/1903,Illinois
Danvers,07/01/1902,Illinois
Danville,06/25/1900,Illinois
Davis,04/01/1902,Illinois
Davis Junction,08/01/1904,Illinois
Dawson,05/15/1903,Illinois
Decatur,06/04/1900,Illinois
Deercreek,05/02/1904,Illinois
Deerfield,06/15/1904,Illinois
Deerfield,12/15/1903,Illinois
Dekalb,07/02/1900,Illinois
Deland,03/01/1902,Illinois
Delavan,05/14/1900,Illinois
Delong,09/01/1902,Illinois
Dennison,06/01/1904,Illinois
Denver,04/01/1904,Illinois
Des Plaines,06/15/1904,Illinois
Desoto,04/01/1903,Illinois
Dewey,02/16/1903,Illinois
Dexter,08/15/1904,Illinois
Dieterich,03/01/1902,Illinois
Divernon,05/15/1903,Illinois
Dix,03/01/1902,Illinois
Dixon,06/01/1899,Illinois
Dongola,08/01/1902,Illinois
Donnellson,10/01/1901,Illinois
Donovan,07/01/1902,Illinois
Dorsey,09/01/1904,Illinois
Dow,09/15/1904,Illinois
Downers Grove,08/01/1902,Illinois
Downs,09/15/1903,Illinois
Downs,10/01/1903,Illinois
Drivers,08/01/1903,Illinois
Dubois,07/01/1903,Illinois
Dudley,05/01/1902,Illinois
Dundas,04/01/1904,Illinois
Dundee,07/01/1903,Illinois
Dunlap,10/08/1898,Illinois
Duquoin,07/05/1899,Illinois
Durand,12/15/1903,Illinois
Dwight,08/01/1902,Illinois
Earlville,11/01/1901,Illinois
East Alton,10/01/1903,Illinois
East Carondelet,08/01/1902,Illinois
East Dubuque,07/01/1902,Illinois
East Saint Louis,08/01/1902,Illinois
Easton,09/01/1903,Illinois
Edelstein,09/15/1902,Illinois
Eden,03/15/1900,Illinois
Edgar,05/01/1902,Illinois
Edgewood,01/01/1904,Illinois
Edgington,10/15/1903,Illinois
Edinburg,08/01/1902,Illinois
Edwards,09/15/1902,Illinois
Edwardsville,12/01/1902,Illinois
Effingham,03/01/1902,Illinois
Egan,04/01/1904,Illinois
Elburn,07/01/1903,Illinois
Eldorado,10/01/1903,Illinois
Eldred,06/01/1904,Illinois
Elgin,07/01/1903,Illinois
Elizabeth,04/15/1904,Illinois
Elizabethtown,04/01/1904,Illinois
Elkhart,09/02/1901,Illinois
Elkville,05/01/1903,Illinois
Ellery,04/01/1903,Illinois
Ellisville,09/15/1903,Illinois
Ellsworth,09/15/1903,Illinois
Ellsworth,10/01/1903,Illinois
Elmhurst,12/15/1903,Illinois
Elmwood,05/14/1900,Illinois
Elpaso,04/01/1902,Illinois
Elvaston,12/15/1903,Illinois
Elwood,07/01/1901,Illinois
Emden,12/15/1900,Illinois
Emerson,06/01/1904,Illinois
Emington,04/15/1904,Illinois
Enfield,09/15/1903,Illinois
Epworth,02/01/1904,Illinois
Erie,11/01/1902,Illinois
Esmond,01/01/1904,Illinois
Essex,06/01/1904,Illinois
Etna,10/15/1903,Illinois
Eureka,04/01/1902,Illinois
Evansville,05/01/1903,Illinois
Ewing,04/01/1903,Illinois
Fairbury,08/15/1900,Illinois
Fairfield,02/01/1902,Illinois
Fairman,10/15/1900,Illinois
Fairmont,02/01/1902,Illinois
Fairview,09/15/1903,Illinois
Fancy Prairie,02/15/1904,Illinois
Farina,12/15/1903,Illinois
Farmer City,03/01/1902,Illinois
Farmersville,03/01/1902,Illinois
Farmingdale,08/01/1901,Illinois
Farmington,10/15/1900,Illinois
Ferris,12/15/1903,Illinois
Fiatt,09/15/1903,Illinois
Fieldon,04/15/1904,Illinois
Fillmore,07/01/1901,Illinois
Findlay,10/01/1903,Illinois
Fisher,02/15/1902,Illinois
Fithian,08/01/1902,Illinois
Flanagan,08/01/1903,Illinois
Flatrock,02/15/1904,Illinois
Flora,03/01/1902,Illinois
Foosland,02/16/1903,Illinois
Forest City,09/01/1903,Illinois
Forrest,02/02/1903,Illinois
Forreston,04/15/1904,Illinois
Fort Gage,06/18/1900,Illinois
Fowler,02/01/1904,Illinois
Frankfort,05/01/1903,Illinois
Frankfort Station,12/01/1902,Illinois
Franklin,01/01/1904,Illinois
Franklin,03/02/1903,Illinois
Franklin Grove,11/02/1903,Illinois
Freeburg,06/02/1902,Illinois
Freeport,08/01/1900,Illinois
French Village,08/01/1902,Illinois
Fulton,09/15/1903,Illinois
Fults,10/01/1904,Illinois
Galatia,05/01/1903,Illinois
Galena,04/01/1903,Illinois
Galesburg,11/01/1901,Illinois
Garden Prairie,12/01/1900,Illinois
Gardner,04/01/1903,Illinois
Gays,03/02/1903,Illinois
Geneseo,08/15/1900,Illinois
Genoa,07/02/1900,Illinois
Georgetown,02/01/1902,Illinois
Gerlaw,03/02/1903,Illinois
German Valley,02/01/1901,Illinois
Gibson City,11/01/1901,Illinois
Gifford,02/16/1903,Illinois
Gillespie,01/01/1904,Illinois
Gilman,05/15/1902,Illinois
Gilson,09/01/1902,Illinois
Girard,02/01/1902,Illinois
Gladstone,06/01/1904,Illinois
Glasford,10/15/1900,Illinois
Glenarm,10/01/1901,Illinois
Glenavon,09/01/1904,Illinois
Glenview ,08/01/1901,Illinois
Godfrey,09/01/1903,Illinois
Golconda,09/01/1903,Illinois
Golden,02/01/1904,Illinois
Golden Eagle,07/15/1904,Illinois
Goldengate,12/01/1903,Illinois
Goodhope,03/02/1903,Illinois
Goreville,04/15/1904,Illinois
Grandridge,09/01/1902,Illinois
Granite,10/01/1903,Illinois
Grant Park,04/15/1902,Illinois
Granville,10/01/1902,Illinois
Grapecreek,08/01/1902,Illinois
Graymont,06/01/1904,Illinois
Grayslake,06/15/1904,Illinois
Green Valley,10/15/1900,Illinois
Greenfield,04/16/1900,Illinois
Greenup,03/01/1902,Illinois
Greenview,09/01/1902,Illinois
Greenville,08/01/1902,Illinois
Gridley,08/01/1901,Illinois
Griggsville,07/01/1901,Illinois
Gurnee,01/01/1904,Illinois
Gurnee,06/15/1904,Illinois
Hagarstown,06/01/1904,Illinois
Hamilton,12/15/1900,Illinois
Hammond,10/15/1904,Illinois
Hampshire,03/01/1902,Illinois
Hampton,12/02/1901,Illinois
Hanna City,12/04/1899,Illinois
Hanover,07/15/1904,Illinois
Hardin,08/01/1902,Illinois
Harrisburg,07/16/1900,Illinois
Hartsburg,07/01/1902,Illinois
Harvard,03/01/1900,Illinois
Harvel,05/01/1903,Illinois
Havana,09/01/1903,Illinois
Havana,10/01/1903,Illinois
Hazeldell,08/15/1904,Illinois
Hebron,03/01/1902,Illinois
Henning,08/01/1902,Illinois
Henry,10/15/1900,Illinois
Hermon,09/01/1902,Illinois
Herrick,10/15/1903,Illinois
Herscher,12/01/1902,Illinois
Hersman,01/15/1904,Illinois
Hettick,07/01/1902,Illinois
Heyworth,09/15/1903,Illinois
Heyworth,10/01/1903,Illinois
Hidalgo,06/01/1904,Illinois
Highland,07/01/1901,Illinois
Hillsboro,03/01/1900,Illinois
Hillsdale,10/01/1904,Illinois
Hillview,04/01/1904,Illinois
Hinckley,08/15/1900,Illinois
Hindsboro,02/02/1903,Illinois
Hinsdale,11/01/1900,Illinois
Holder,09/01/1904,Illinois
Homer,01/02/1901,Illinois
Hoopeston,06/04/1900,Illinois
Hopedale,07/01/1902,Illinois
Hornsby,01/01/1904,Illinois
Hoyleton,08/01/1902,Illinois
Hudson,08/01/1901,Illinois
Hull,02/15/1904,Illinois
Humboldt,10/01/1903,Illinois
Hume,09/02/1901,Illinois
Hunt,01/01/1904,Illinois
Huntley,03/01/1902,Illinois
Huntsville,06/01/1904,Illinois
Hutsonville,04/15/1904,Illinois
Illiopolis,07/01/1902,Illinois
Ina,01/01/1904,Illinois
Indianola,08/01/1902,Illinois
Ingleside,06/15/1904,Illinois
Iola,04/15/1904,Illinois
Ipava,09/15/1903,Illinois
Irving,05/01/1903,Illinois
Irvington,07/01/1903,Illinois
Itasca,06/15/1904,Illinois
Iuka,10/15/1900,Illinois
Ivesdale,02/16/1903,Illinois
Jacksonville,08/15/1900,Illinois
Janesville,04/01/1904,Illinois
Jeffersonville,01/01/1904,Illinois
Jerseyville,01/02/1901,Illinois
Jewett,09/15/1904,Illinois
Johnsonville,07/15/1904,Illinois
Joliet,12/01/1902,Illinois
Jonesboro,10/01/1901,Illinois
Joy ,10/01/1902,Illinois
Junction,04/01/1904,Illinois
Kampsville,04/01/1904,Illinois
Kane,04/01/1904,Illinois
Kankakee,07/01/1901,Illinois
Kansas,01/02/1901,Illinois
Keenes,12/01/1903,Illinois
Kell,02/15/1904,Illinois
Kempton,04/01/1903,Illinois
Kenney,03/01/1902,Illinois
Kent,09/15/1903,Illinois
Kewanee,03/01/1902,Illinois
Kilbourne,09/01/1903,Illinois
Kinderhook,07/01/1904,Illinois
Kings,08/01/1904,Illinois
Kingston,05/01/1903,Illinois
Kinmundy,10/15/1900,Illinois
Kirkland,07/01/1903,Illinois
Kirkwood,02/01/1902,Illinois
Knoxville,09/01/1902,Illinois
La Fayette,03/01/1902,Illinois
La Salle,09/02/1901,Illinois
Lacon,11/01/1902,Illinois
Ladd,12/15/1903,Illinois
Lagrange,07/15/1904,Illinois
Laharpe,04/16/1900,Illinois
Lake City,01/01/1904,Illinois
Lake Villa,06/15/1904,Illinois
Lakecreek,05/01/1903,Illinois
Lakewood,06/01/1904,Illinois
Lamoille,09/01/1903,Illinois
Lanark,02/15/1901,Illinois
Laprairie,01/15/1904,Illinois
Larose,11/01/1902,Illinois
Latham,04/15/1904,Illinois
Laura,09/15/1902,Illinois
Lawrenceville,10/01/1903,Illinois
Leaf River,04/01/1904,Illinois
Lebanon,07/01/1902,Illinois
Lee,01/01/1904,Illinois
Leland,04/01/1902,Illinois
Lemont,09/01/1903,Illinois
Lena,07/01/1901,Illinois
Lenzburg,06/01/1904,Illinois
Lerna,03/02/1903,Illinois
Leroy,09/01/1900,Illinois
Lewistown,07/01/1902,Illinois
Lexington,11/01/1900,Illinois
Libertyville,06/15/1904,Illinois
Lincoln,02/15/1901,Illinois
Lintner,10/15/1904,Illinois
Litchfield,07/16/1900,Illinois
Literberry,05/02/1904,Illinois
Littleton,01/01/1904,Illinois
Littleyork,04/01/1903,Illinois
Loami,02/01/1901,Illinois
Lockport,06/04/1900,Illinois
Loda,02/01/1902,Illinois
Lomax,09/01/1902,Illinois
London Mills,09/15/1903,Illinois
Longpoint,12/15/1904,Illinois
Longview,02/16/1903,Illinois
Loogootee,01/01/1904,Illinois
Loraine,04/01/1903,Illinois
Lostant,03/01/1902,Illinois
Louisville,12/01/1902,Illinois
Lovington,03/02/1903,Illinois
Lowder,05/15/1903,Illinois
Lowpoint,04/01/1902,Illinois
Ludlow,03/01/1901,Illinois
Lyndon,10/15/1903,Illinois
Lynn Center,11/02/1903,Illinois
Macedonia,03/01/1902,Illinois
Macomb,11/01/1901,Illinois
Macon,07/01/1903,Illinois
Macoupin,01/01/1904,Illinois
Magnolia,12/01/1898,Illinois
Mahomet,03/15/1900,Illinois
Makanda,05/01/1903,Illinois
Malta,01/02/1901,Illinois
Manchester,05/02/1904,Illinois
Manhattan,07/01/1901,Illinois
Manito,10/15/1900,Illinois
Mansfield,05/01/1902,Illinois
Manteno,12/01/1902,Illinois
Manville,12/15/1904,Illinois
Maple Park,07/02/1900,Illinois
Maples Mill,04/01/1904,Illinois
Mapleton,04/02/1900,Illinois
Maquon,09/01/1902,Illinois
Marengo,07/02/1900,Illinois
Marietta,08/01/1904,Illinois
Marine,10/01/1903,Illinois
Marion,05/01/1902,Illinois
Marissa,07/01/1902,Illinois
Maroa,06/04/1900,Illinois
Marseilles,02/16/1903,Illinois
Marshall,07/01/1901,Illinois
Martinsville,04/01/1903,Illinois
Mascoutah,09/01/1902,Illinois
Mason,06/01/1904,Illinois
Mason City,09/01/1903,Illinois
Massbach,12/01/1904,Illinois
Mattison,03/01/1904,Illinois
Mattoon,10/02/1899,Illinois
Maxwell,05/15/1903,Illinois
Mazon,06/01/1904,Illinois
Mc Henry,07/01/1903,Illinois
Mc Leansboro,03/01/1902,Illinois
Mc Nabb,11/01/1902,Illinois
McLean,09/15/1900,Illinois
Mechanicsburg,05/15/1903,Illinois
Media,02/02/1903,Illinois
Medora,01/01/1904,Illinois
Melvin,12/15/1903,Illinois
Mendon,09/01/1900,Illinois
Mendota,02/16/1903,Illinois
Meredosia,05/02/1904,Illinois
Metamora,04/01/1902,Illinois
Metcalf,05/01/1902,Illinois
Metropolis,07/16/1900,Illinois
Midland City,02/02/1903,Illinois
Milan,08/01/1900,Illinois
Milford,07/01/1901,Illinois
Milledgeville,11/15/1900,Illinois
Millersville,08/01/1903,Illinois
Millshoals,09/15/1903,Illinois
Millstadt,09/01/1902,Illinois
Milmine,07/01/1902,Illinois
Minier,10/01/1900,Illinois
Minonk,03/01/1902,Illinois
Minooka,06/11/1900,Illinois
Mode,06/01/1904,Illinois
Modesto,01/01/1904,Illinois
Mokena,12/01/1902,Illinois
Moline,12/02/1901,Illinois
Momence,07/15/1904,Illinois
Monee,12/01/1902,Illinois
Monica,09/15/1902,Illinois
Monmouth ,08/01/1901,Illinois
Monroe Center,02/15/1904,Illinois
Monticello,11/01/1900,Illinois
Montrose,05/01/1902,Illinois
Moro,10/01/1903,Illinois
Morris,10/01/1902,Illinois
Morrison,11/01/1902,Illinois
Morrisonville,07/01/1902,Illinois
Morton,07/01/1902,Illinois
Mortongrove,06/15/1904,Illinois
Mound,04/01/1903,Illinois
Mount Auburn,09/15/1903,Illinois
Mount Carmel,12/02/1901,Illinois
Mount Carroll,07/01/1901,Illinois
Mount Morris,04/01/1904,Illinois
Mount Olive,01/01/1904,Illinois
Mount Prospect,06/15/1904,Illinois
Mount Pulaski,07/01/1901,Illinois
Mount Sterling,06/04/1900,Illinois
Mount Vernon,05/14/1900,Illinois
Mount Zion,09/01/1904,Illinois
Moweaqua,09/01/1902,Illinois
Mulberry Grove,07/01/1902,Illinois
Mulkeytown,04/01/1903,Illinois
Muncie,08/01/1902,Illinois
Murphysboro,04/03/1899,Illinois
Murrayville,05/02/1904,Illinois
Naperville,05/14/1900,Illinois
Naples,04/15/1904,Illinois
Nashville,10/15/1900,Illinois
Nauvoo,09/01/1900,Illinois
Nebo,04/15/1904,Illinois
Neoga,02/01/1901,Illinois
Neponset,09/01/1903,Illinois
New Athens,09/01/1902,Illinois
New Berlin,12/04/1899,Illinois
New Boston,08/15/1900,Illinois
New Burnside,09/15/1904,Illinois
New Canton,07/01/1904,Illinois
New Design,09/01/1902,Illinois
New Douglas,01/01/1903,Illinois
New Holland,12/01/1903,Illinois
New Lenox,12/01/1902,Illinois
New Salem,02/15/1904,Illinois
New Windsor,10/01/1900,Illinois
Newark,08/01/1900,Illinois
Newman,07/01/1902,Illinois
Newton,01/02/1901,Illinois
Niantic,09/01/1903,Illinois
Nilwood,03/02/1903,Illinois
Niota,12/15/1903,Illinois
Noble,07/01/1902,Illinois
Nokomis,09/01/1902,Illinois
Normal,09/03/1900,Illinois
Norris City,09/01/1903,Illinois
Nunda,07/01/1902,Illinois
O’ Fallon,09/01/1903,Illinois
Oak Hill,12/15/1900,Illinois
Oakdale,09/15/1903,Illinois
Oakland,05/01/1900,Illinois
Oaklawn,07/01/1904,Illinois
Oakley,07/01/1903,Illinois
Oakwood,08/01/1902,Illinois
Oblong,02/02/1903,Illinois
Oconee,11/02/1903,Illinois
Odell,08/01/1902,Illinois
Odin,10/01/1900,Illinois
Ogden,02/16/1903,Illinois
Ohio,09/01/1903,Illinois
Okawville,02/02/1903,Illinois
Olmsted,06/01/1904,Illinois
Olney,09/02/1901,Illinois
Omaha,09/15/1904,Illinois
Onarga,07/01/1901,Illinois
Oneida ,12/02/1901,Illinois
Opdyke,11/15/1900,Illinois
Orangeville,09/01/1903,Illinois
Oregon,08/15/1900,Illinois
Orion,04/03/1899,Illinois
Orland,03/01/1902,Illinois
Osco,01/15/1904,Illinois
Oswego,06/04/1900,Illinois
Ottawa,07/01/1901,Illinois
Owaneco,07/01/1902,Illinois
Ozark,04/15/1904,Illinois
Palatine,06/15/1904,Illinois
Palestine,02/02/1903,Illinois
Palmyra,01/01/1904,Illinois
Paloma,11/01/1900,Illinois
Pana,03/01/1901,Illinois
Panola,08/15/1900,Illinois
Paris,10/01/1899,Illinois
Parkersburg,07/01/1902,Illinois
Patoka,10/01/1900,Illinois
Pawnee,10/01/1901,Illinois
Pawpaw,04/01/1904,Illinois
Paxton,11/01/1901,Illinois
Payson,02/01/1904,Illinois
Pearl,07/01/1904,Illinois
Pearl City,02/02/1903,Illinois
Pecatonica,09/01/1903,Illinois
Pekin,11/01/1901,Illinois
Penfield,02/16/1903,Illinois
Peoria,11/01/1900,Illinois
Peotone,07/01/1901,Illinois
Percy,04/01/1903,Illinois
Peru,03/01/1902,Illinois
Pesotum,02/16/1903,Illinois
Petersburg,07/01/1901,Illinois
Philo,12/04/1899,Illinois
Piasa,01/01/1904,Illinois
Pinckneyville,08/15/1900,Illinois
Piper City,11/01/1902,Illinois
Pittsfield,09/15/1903,Illinois
Plainfield,07/05/1899,Illinois
Plainview,01/01/1904,Illinois
Plainville,04/01/1904,Illinois
Plano,07/16/1900,Illinois
Pleasant Plains,07/01/1901,Illinois
Pleasanthill,06/01/1904,Illinois
Plymouth,10/15/1900,Illinois
Pocahontas,09/01/1902,Illinois
Polo,08/15/1900,Illinois
Pomona,05/01/1903,Illinois
Pontiac,09/15/1900,Illinois
Pontoosuc,12/15/1903,Illinois
Poplargrove,11/01/1900,Illinois
Port Byron,11/01/1901,Illinois
Potomac,07/01/1901,Illinois
Prairie City,03/02/1903,Illinois
Prairie Du Rocher,06/01/1904,Illinois
Prairie View,04/02/1900,Illinois
Preemption,10/01/1903,Illinois
Prentice,05/02/1904,Illinois
Princeton,04/02/1900,Illinois
Princeville,10/03/1898,Illinois
Prophetstown,10/01/1903,Illinois
Putnam,11/01/1902,Illinois
Quincy,10/15/1900,Illinois
Raleigh,09/01/1903,Illinois
Ramsey,07/16/1900,Illinois
Randolph,08/01/1902,Illinois
Rankin,07/01/1902,Illinois
Ransom,02/16/1903,Illinois
Rapatee,10/01/1903,Illinois
Rapatee,11/16/1903,Illinois
