Name,State,Date,Latitude,Longitude
Abingdon,Illinois,09/01/1902,40.8044833,-90.4017954
Adair,Illinois,03/02/1903,40.4189309,-90.4967942
Adams,Illinois,02/01/1904,39.9787786,-91.2110065
Advance,Illinois,12/15/1903,39.1567061,-88.0289236
Akin,Illinois,04/01/1904,37.9881043,-88.7475606
Albany,Illinois,10/01/1903,41.7894748,-90.2192941
Albion,Illinois,02/01/1902,38.3775484,-88.0561465
Aledo,Illinois,08/15/1900,41.1997568,-90.7493063
Alexander,Illinois,05/02/1904,37.1801529,-89.3502834
Alexis,Illinois,11/15/1900,41.0633703,-90.5559675
Alhambra,Illinois,12/01/1902,38.88838,-89.7314813
Allendale,Illinois,09/15/1904,38.5267143,-87.7097495
Allenville,Illinois,12/15/1903,39.5555892,-88.5297779
Allerton,Illinois,05/02/1904,39.9117014,-87.9364215
Alma,Illinois,10/01/1900,38.7217147,-88.9092242
Alta,Illinois,09/15/1902,40.8108703,-89.6342645
Altamont,Illinois,03/02/1903,38.9231036,-90.2098327
Alto Pass,Illinois,04/01/1903,37.5703276,-89.3175879
Altona,Illinois,09/01/1902,41.1147594,-90.1645637
Alvin,Illinois,08/01/1902,40.3083697,-87.6083537
Amboy,Illinois,09/01/1903,41.7141997,-89.3287061
Anchor,Illinois,09/15/1903,40.5680898,-88.5356146
Anchor,Illinois,10/01/1903,40.5680898,-88.5356146
Ancona,Illinois,12/15/1904,41.0405883,-88.8725742
Anna,Illinois,06/01/1900,37.4603274,-89.2470282
Antioch,Illinois,01/01/1904,42.4772418,-88.0956396
Apple River,Illinois,04/15/1904,42.503225,-90.1278909
Appleton,Illinois,10/01/1903,40.9358711,-90.1609537
Arcola,Illinois,03/01/1902,39.684755,-88.3064367
Arenzville,Illinois,08/01/1902,39.8769918,-90.3734571
Argenta,Illinois,07/01/1901,39.9819808,-88.8228535
Argyle,Illinois,02/15/1904,42.3600186,-88.9401049
Arlington Heights,Illinois,12/15/1903,42.0812678,-87.9800662
Armington,Illinois,03/01/1902,40.3389352,-89.3123278
Armstrong,Illinois,08/01/1902,40.3064245,-87.8778088
Arrowsmith,Illinois,10/01/1902,40.4494787,-88.6317305
Arthur,Illinois,04/01/1902,39.7147552,-88.472278
Ashland,Illinois,10/01/1902,41.778945,-87.66389
Ashley,Illinois,09/01/1900,38.3294942,-89.1909097
Ashmore,Illinois,11/16/1903,39.5330909,-88.0222582
Ashton,Illinois,09/01/1903,41.8661417,-89.2212088
Assumption,Illinois,07/01/1901,39.5203188,-89.0489712
Astoria,Illinois,09/15/1903,40.227545,-90.3595683
Athens,Illinois,09/01/1902,39.9608826,-89.7239944
Atkinson,Illinois,04/01/1902,41.4208678,-90.0151121
Atlanta,Illinois,12/04/1898,40.2594846,-89.2334236
Atterberry,Illinois,09/01/1904,40.0608805,-89.9237234
Atwater,Illinois,01/01/1904,39.332828,-89.7250937
Atwood,Illinois,03/01/1902,39.7994772,-88.4622789
Auburn,Illinois,12/10/1896,39.5917197,-89.7464874
Augusta,Illinois,12/15/1903,40.2300454,-90.9501342
Aurora,Illinois,05/14/1900,41.7605849,-88.3200715
Ava,Illinois,08/15/1900,37.8883846,-89.4948169
Avena,Illinois,06/01/1904,39.0075445,-88.9278387
Avon,Illinois,11/01/1900,40.6642065,-90.4348506
Baileyville,Illinois,04/15/1904,42.197398,-89.5880984
Baldwin,Illinois,04/01/1903,38.1831051,-89.8426029
Bardolph,Illinois,06/01/1904,40.4950406,-90.5645735
Barnett,Illinois,12/01/1900,38.8544915,-89.8845431
Barnhill,Illinois,09/01/1904,38.2844921,-88.3642131
Barrington,Illinois,06/15/1904,42.1539141,-88.1361888
Barry,Illinois,08/01/1901,39.6942135,-91.0390246
Basco,Illinois,04/01/1904,40.3278229,-91.2001437
Bath,Illinois,09/01/1904,40.1933784,-90.1409523
Beardstown,Illinois,10/01/1901,40.0175483,-90.4242916
Beason,Illinois,03/01/1901,40.1436515,-89.1934222
Beecher,Illinois,12/01/1902,41.34059,-87.6214286
Beecher City,Illinois,07/01/1903,39.1880983,-88.7867278
Bellerive,Illinois,05/01/1900,39.7745267,-89.7053688
Belleville,Illinois,03/01/1900,38.5200504,-89.9839935
Bellflower,Illinois,09/15/1903,40.3400336,-88.5270053
Bellflower,Illinois,10/01/1903,40.3400336,-88.5270053
Belvidere,Illinois,07/16/1900,42.2583112,-88.8416157
Bement,Illinois,03/01/1902,39.9219782,-88.572008
Bensenville,Illinois,12/15/1903,41.9538384,-87.9431781
Benson,Illinois,04/01/1902,40.8505901,-89.1223021
Benton,Illinois,11/01/1901,37.9967163,-88.9200685
Berwick,Illinois,03/02/1903,40.7992058,-90.5384656
Bethalto,Illinois,09/15/1903,38.9092138,-90.0406608
Bethany,Illinois,09/01/1903,39.6455916,-88.7381252
Biblegrove,Illinois,09/01/1904,nf,nf
Biggsville,Illinois,04/01/1903,40.8536498,-90.8648617
Bigrock,Illinois,05/14/1900,nf,nf
Billett,Illinois,07/15/1904,38.6644916,-87.6522474
Bingham,Illinois,10/15/1903,39.1142114,-89.2134097
Birds,Illinois,06/01/1904,41.4750307,-88.1972839
Birmingham,Illinois,09/15/1904,40.2642112,-90.820965
Bishop Hill,Illinois,03/01/1902,41.2017036,-90.1190054
Blackstone,Illinois,09/01/1902,41.0844774,-88.6909013
Blandinsville,Illinois,03/02/1903,40.556152,-90.8659692
Bloomington,Illinois,08/01/1901,40.4731073,-88.9941403
Bluemound,Illinois,07/01/1902,38.696658,-89.7169569
Bluffs,Illinois,10/01/1902,39.7519902,-90.5351258
Bluford,Illinois,08/01/1903,38.3308817,-88.7258912
Bondville,Illinois,02/16/1903,40.1132048,-88.3695046
Bonegap,Illinois,10/01/1903,nf,nf
Bonfield,Illinois,05/16/1904,41.1466986,-88.0578276
Bonnie,Illinois,01/01/1904,38.2028273,-88.9033993
Boody,Illinois,07/01/1902,39.7664272,-89.0492448
Boulder,Illinois,04/15/1904,38.6967148,-89.225627
Bowen,Illinois,11/02/1903,40.2333789,-91.0626375
Braceville,Illinois,10/15/1904,41.2269765,-88.2647833
Bradford,Illinois,08/01/1902,41.1774952,-89.6578789
Breckenridge,Illinois,08/01/1902,40.2436569,-91.2865348
Breese,Illinois,03/01/1904,38.6106042,-89.5270306
Bridgeport,Illinois,04/15/1904,41.8380887,-87.6511631
Brighton,Illinois,01/01/1904,39.0397688,-90.1406643
Brimfield,Illinois,01/15/1901,40.838926,-89.8864976
Bristol,Illinois,09/15/1900,41.8989017,-87.6262345403516
Broadlands,Illinois,02/16/1903,39.9086455,-87.9942016
Brocton,Illinois,09/02/1901,39.7155902,-87.9325327
Brookport,Illinois,09/01/1903,37.1236664,-88.6303267
Broughton,Illinois,10/01/1903,37.9347695,-88.4619932
Browning,Illinois,07/01/1904,40.1289355,-90.3720685
Browns,Illinois,03/01/1902,38.3769927,-87.9830886
Brownstown,Illinois,04/01/1901,38.995878,-88.9528394
Brubaker,Illinois,01/15/1904,38.6931035,-88.8764461
Bruce,Illinois,05/02/1904,39.5189236,-88.594504
Buckingham,Illinois,06/01/1904,41.0473308,-88.174434
Buckley,Illinois,07/01/1901,40.5969794,-88.0380959
Buda,Illinois,09/01/1903,41.3261476,-89.6789874
Buffalo,Illinois,02/15/1902,39.852547,-89.4087032
Buffalo Hart,Illinois,08/01/1901,39.913937,-89.4475963
Buncombe,Illinois,05/02/1904,37.4714403,-88.9770151
Bunkerhill,Illinois,03/02/1903,nf,nf
Burnt Prairie,Illinois,02/15/1904,38.2517139,-88.2614318
Bushnell,Illinois,03/02/1903,40.5528183,-90.50624
Butler,Illinois,07/02/1900,39.1994924,-89.5339783
