Name,Date,State
Acton,06/01/1901,Indiana
Advance,08/01/1903,Indiana
Akron,01/15/1901,Indiana
Albany,11/08/1897,Indiana
Albion,04/02/1900,Indiana
Alexandria,02/15/1902,Indiana
Alfordsville,12/01/1902,Indiana
Algiers,09/01/1903,Indiana
Alpine,07/15/1903,Indiana
Ambia,07/01/1902,Indiana
Amboy,09/01/1902,Indiana
Amo,09/15/1903,Indiana
Anderson,04/02/1900,Indiana
Andrews,11/01/1900,Indiana
Angola,09/01/1900,Indiana
Arcadia,01/01/1902,Indiana
Arcola,02/01/1904,Indiana
Argos,10/15/1900,Indiana
Arlington,06/02/1902,Indiana
Armstrong,03/02/1903,Indiana
Ashley,11/02/1903,Indiana
Athens,03/02/1903,Indiana
Atlanta,02/01/1902,Indiana
Attica,05/14/1900,Indiana
Atwood,11/16/1903,Indiana
Auburn,10/01/1900,Indiana
Auburn Junction,07/01/1901,Indiana
Aurora,05/15/1901,Indiana
Austin ,05/01/1902,Indiana
Avilla,12/01/1902,Indiana
Bainbridge,09/15/1904,Indiana
Balbec,05/16/1904,Indiana
Batesville,03/01/1904,Indiana
Battleground,10/01/1900,Indiana
Bedford,04/16/1900,Indiana
Bellmore,06/02/1902,Indiana
Bennetts Switch,03/01/1902,Indiana
Bennington,11/01/1904,Indiana
Bentonville,07/15/1903,Indiana
Berlin,05/15/1901,Indiana
Bern ,02/02/1903,Indiana
Bicknell,11/02/1903,Indiana
Bippus,07/01/1902,Indiana
Blaine,05/16/1904,Indiana
Blocher,09/01/1902,Indiana
Bloomfield,07/01/1903,Indiana
Bloomingdale,06/02/1902,Indiana
Bloomington,04/16/1900,Indiana
Blountsville,03/01/1904,Indiana
Bluffton,04/02/1900,Indiana
Boonville,10/15/1900,Indiana
Borden,11/01/1901,Indiana
Boston,01/01/1904,Indiana
Boswell,10/01/1903,Indiana
Bourbon,07/01/1902,Indiana
Bowling Green,10/01/1903,Indiana
Brazil,09/02/1901,Indiana
Bremen,11/01/1900,Indiana
Bridgeport,10/02/1899,Indiana
Brimfield,12/01/1902,Indiana
Bringhurst,10/01/1901,Indiana
Bristol,02/01/1902,Indiana
Brook,01/01/1903,Indiana
Brooklyn,02/01/1902,Indiana
Brooksburg,04/01/1903,Indiana
Brookston,11/01/1900,Indiana
Brookville,09/01/1902,Indiana
Browns Valley,09/15/1904,Indiana
Browns Valley,12/01/1904,Indiana
Brownsburg,06/02/1902,Indiana
Brownstown,11/01/1900,Indiana
Brownsville,10/15/1903,Indiana
Bruceville,11/02/1903,Indiana
Bryant,04/01/1902,Indiana
Buckcreek,10/15/1902,Indiana
Bunker Hill ,07/01/1902,Indiana
Burket,07/01/1902,Indiana
Burnetts Creek,10/15/1903,Indiana
Burns City,12/01/1904,Indiana
Burr Oak,09/01/1902,Indiana
Burrows,11/01/1902,Indiana
Butler,07/01/1903,Indiana
Cale,12/01/1904,Indiana
Cambridge City,11/01/1901,Indiana
Camby,09/01/1902,Indiana
Camden,10/15/1900,Indiana
Campbellsburg,01/01/1904,Indiana
Canaan,04/01/1903,Indiana
Cannelburg,12/01/1902,Indiana
Carbon,04/01/1902,Indiana
Carlisle,05/16/1904,Indiana
Carlos,12/15/1903,Indiana
Carmel,04/16/1900,Indiana
Carthage,11/01/1901,Indiana
Castleton,06/01/1901,Indiana
Cayuga,03/02/1903,Indiana
Cedargrove,09/15/1903,Indiana
Center,10/01/1903,Indiana
Centerpoint,03/02/1903,Indiana
Centerville,10/01/1900,Indiana
Chalmers,07/01/1902,Indiana
Chandler,12/15/1903,Indiana
Charlestown,04/01/1902,Indiana
Charlottesville,04/01/1903,Indiana
Chesterton,07/01/1904,Indiana
Chili,03/01/1904,Indiana
Chrisney,12/01/1903,Indiana
Churubusco,11/01/1900,Indiana
Cicero,02/01/1902,Indiana
Clarkshill,04/16/1900,Indiana
Clay City,09/15/1903,Indiana
Claypool,11/01/1900,Indiana
Clayton,11/01/1902,Indiana
Clermont,06/01/1900,Indiana
Clinton,02/01/1902,Indiana
Cloverdale,10/01/1901,Indiana
Clymers,09/15/1903,Indiana
Coal City,08/01/1904,Indiana
Coatesville,11/01/1902,Indiana
Coe,09/01/1903,Indiana
Colburn,10/15/1902,Indiana
Colfax,09/15/1900,Indiana
Columbia City,10/02/1899,Indiana
Columbus,04/16/1900,Indiana
Commiskey,01/15/1904,Indiana
Connersville,10/07/1900,Indiana
Converse,04/16/1900,Indiana
Cortland,11/01/1902,Indiana
Corunna,04/01/1904,Indiana
Cory,03/02/1903,Indiana
Corydon,05/16/1904,Indiana
Covington,06/01/1899,Indiana
Craigville,03/01/1904,Indiana
Crawfordsville,08/01/1898,Indiana
Crete,12/15/1903,Indiana
Cromwell,10/01/1900,Indiana
Crothersville,11/01/1902,Indiana
Crown Point,11/01/1900,Indiana
Culver,11/01/1901,Indiana
