Name,State,Date,Latitude,Longitude
Acton,Indiana,06/01/1901,39.6556013,-85.9669266
Advance,Indiana,08/01/1903,39.9958763,-86.620004
Akron,Indiana,01/15/1901,41.0383766,-86.0280502
Albany,Indiana,11/08/1897,40.3008764,-85.2419145
Albion,Indiana,04/02/1900,41.3956043,-85.4244241
Alexandria,Indiana,02/15/1902,40.2628184,-85.675809
Alfordsville,Indiana,12/01/1902,38.5606067,-86.9483354
Algiers,Indiana,09/01/1903,38.4872721,-87.1750093
Alpine,Indiana,07/15/1903,39.5539375,-85.1757968
Ambia,Indiana,07/01/1902,40.4900363,-87.5169642
Amboy,Indiana,09/01/1902,40.6014291,-85.9288757
Amo,Indiana,09/15/1903,39.6881019,-86.6136129
Anderson,Indiana,04/02/1900,40.1053196,-85.6802541
Andrews,Indiana,11/01/1900,40.8625448,-85.6016458
Angola,Indiana,09/01/1900,41.634874,-84.99928
Arcadia,Indiana,01/01/1902,40.1758704,-86.0216521
Arcola,Indiana,02/01/1904,41.1036642,-85.294142
Argos,Indiana,10/15/1900,41.2394105,-86.2532318876707
Arlington,Indiana,06/02/1902,39.1836155,-86.5497778
Armstrong,Indiana,03/02/1903,38.10921,-87.6472434
Ashley,Indiana,11/02/1903,41.5272725,-85.0655232
Athens,Indiana,03/02/1903,41.0536539,-86.1252752
Atlanta,Indiana,02/01/1902,40.2153151,-86.0263746
Attica,Indiana,05/14/1900,40.2942012,-87.2489024
Atwood,Indiana,11/16/1903,41.260878,-85.9752735
Auburn,Indiana,10/01/1900,41.3669902,-85.0588632
Auburn Junction,Indiana,07/01/1901,41.3519941,-85.0746914
Aurora,Indiana,05/15/1901,39.0570022,-84.9013402
Austin ,Indiana,05/01/1902,38.75839,-85.8080251
Avilla,Indiana,12/01/1902,41.3658823,-85.2388673
Bainbridge,Indiana,09/15/1904,39.761157,-86.8119523
Balbec,Indiana,05/16/1904,40.5308784,-85.1488595
Batesville,Indiana,03/01/1904,39.3000511,-85.222184
Battleground,Indiana,10/01/1900,38.9276756,-86.53168
Bedford,Indiana,04/16/1900,38.8611619,-86.4872149
Bellmore,Indiana,06/02/1902,39.7592093,-87.1052905
Bennetts Switch,Indiana,03/01/1902,40.5845303,-86.1160564
Bennington,Indiana,11/01/1904,38.8589483,-85.1405093
Bentonville,Indiana,07/15/1903,39.7451524,-85.2438822
Berlin,Indiana,05/15/1901,41.6367169,-84.8766268
Bern ,Indiana,02/02/1903,46.9498775,7.4407767
Bicknell,Indiana,11/02/1903,38.7742136,-87.3077936
Bippus,Indiana,07/01/1902,40.9442119,-85.6238696
Blaine,Indiana,05/16/1904,40.4025446,-85.05608
Blocher,Indiana,09/01/1902,38.718114,-85.6566311
Bloomfield,Indiana,07/01/1903,39.0269903,-86.9375068
Bloomingdale,Indiana,06/02/1902,39.8333736,-87.2497354
Bloomington,Indiana,04/16/1900,39.1670396,-86.5342881
Blountsville,Indiana,03/01/1904,40.0596508,-85.2394106
Bluffton,Indiana,04/02/1900,40.7386579,-85.1716368
Boonville,Indiana,10/15/1900,38.0493288,-87.2746568
Borden,Indiana,11/01/1901,38.4667284,-85.9458044
Boston,Indiana,01/01/1904,39.7415986,-84.8512012
Boswell,Indiana,10/01/1903,40.5211476,-87.3783507
Bourbon,Indiana,07/01/1902,41.2956002,-86.1163889
Bowling Green,Indiana,10/01/1903,39.3830983,-87.0116791
Brazil,Indiana,09/02/1901,39.523652,-87.1250154
Bremen,Indiana,11/01/1900,41.4464361,-86.1480581
Bridgeport,Indiana,10/02/1899,39.732267,-86.3172136
Brimfield,Indiana,12/01/1902,41.4542161,-85.3980348
Bringhurst,Indiana,10/01/1901,40.5253139,-86.5249984
Bristol,Indiana,02/01/1902,41.7212656,-85.817728
Brook,Indiana,01/01/1903,40.8664258,-87.3636368
Brooklyn,Indiana,02/01/1902,39.5392141,-86.3691598
Brooksburg,Indiana,04/01/1903,38.7364499,-85.2435659
Brookston,Indiana,11/01/1900,40.6028144,-86.8672339
Brookville,Indiana,09/01/1902,39.4231065,-85.0127376
Browns Valley,Indiana,09/15/1904,39.9030998,-86.9919539
Browns Valley,Indiana,12/01/1904,39.9030998,-86.9919539
Brownsburg,Indiana,06/02/1902,39.8433769,-86.3977736
Brownstown,Indiana,11/01/1900,38.8789426,-86.0419247
Brownsville,Indiana,10/15/1903,39.6644924,-85.0046842
Bruceville,Indiana,11/02/1903,38.7594911,-87.4155739
Bryant,Indiana,04/01/1902,40.533379,-84.9638564
Buckcreek,Indiana,10/15/1902,nf,nf
Bunker Hill ,Indiana,07/01/1902,38.6558803,-87.5352995
Burket,Indiana,07/01/1902,41.1553219,-85.9686053
Burnetts Creek,Indiana,10/15/1903,40.494627,-86.8581994
Burns City,Indiana,12/01/1904,38.8225486,-86.8869483
Burr Oak,Indiana,09/01/1902,41.3231034,-85.4330352
Burrows,Indiana,11/01/1902,40.6767053,-86.5075019
Butler,Indiana,07/01/1903,41.4297694,-84.8713507
Cale,Indiana,12/01/1904,38.7958829,-86.7513884
Cambridge City,Indiana,11/01/1901,39.8129285,-85.1708971
Camby,Indiana,09/01/1902,39.6625457,-86.3166582
Camden,Indiana,10/15/1900,40.6086485,-86.5400013
Campbellsburg,Indiana,01/01/1904,38.6514445,-86.2610944
Canaan,Indiana,04/01/1903,38.8667247,-85.2957906
Cannelburg,Indiana,12/01/1902,38.6697717,-86.9983389
Carbon,Indiana,04/01/1902,39.5978193,-87.1186256
Carlisle,Indiana,05/16/1904,38.9622119,-87.4028708
Carlos,Indiana,12/15/1903,40.026435,-85.0344088
Carmel,Indiana,04/16/1900,39.9783711,-86.1180435
Carthage,Indiana,11/01/1901,39.7383781,-85.5719189
Castleton,Indiana,06/01/1901,39.9069833,-86.0522071
Cayuga,Indiana,03/02/1903,39.9486489,-87.4597385
Cedargrove,Indiana,09/15/1903,nf,nf
Center,Indiana,10/01/1903,38.048673,-87.3430327
Centerpoint,Indiana,03/02/1903,39.936176,-86.0268049
Centerville,Indiana,10/01/1900,39.8178246,-84.9963518
Chalmers,Indiana,07/01/1902,40.6630933,-86.8694571
Chandler,Indiana,12/15/1903,38.4214371,-87.352237
Charlestown,Indiana,04/01/1902,38.45312,-85.6702407
Charlottesville,Indiana,04/01/1903,39.5361624,-84.8530123
Chesterton,Indiana,07/01/1904,41.6105938,-87.0641992
Chili,Indiana,03/01/1904,40.8600426,-86.0263814
Chrisney,Indiana,12/01/1903,38.0147731,-87.036386
Churubusco,Indiana,11/01/1900,41.2306037,-85.3194291
Cicero,Indiana,02/01/1902,40.1239257,-86.0133181
Clarkshill,Indiana,04/16/1900,nf,nf
Clay City,Indiana,09/15/1903,39.2767084,-87.1127908
Claypool,Indiana,11/01/1900,41.129211,-85.8805466
Clayton,Indiana,11/01/1902,39.6892129,-86.5224984
Clermont,Indiana,06/01/1900,39.8097656,-86.3224925
Clinton,Indiana,02/01/1902,40.2992769,-86.4692735
