Name,State,Date,Latitude,Longitude
Ackley,Iowa,11/01/1900,42.5539385,-93.0526788
Ackworth,Iowa,08/01/1903,41.3669373,-93.4727132
Adair,Iowa,11/02/1903,41.3127814,-94.4953303
Adaza,Iowa,03/02/1903,42.1943392,-94.4950277
Adel,Iowa,10/01/1900,41.6144325,-94.017453
Afton,Iowa,10/01/1902,41.0274908,-94.1980083
Agency,Iowa,01/02/1901,40.9950205,-92.3070886
Ainsworth,Iowa,03/15/1900,41.2889098,-91.5523838
Akron,Iowa,10/15/1900,42.8288818,-96.5594773
Albia,Iowa,11/15/1900,41.0266746,-92.8057514
Albion,Iowa,12/02/1901,42.1124866,-92.9885339
Alburnett,Iowa,02/01/1902,42.1483285,-91.6185065
Alden,Iowa,11/15/1901,42.50914925,-93.3728747314243
Alexander,Iowa,10/15/1902,42.8058039,-93.4765943
Algona,Iowa,02/15/1904,43.0699663,-94.233019
Allerton,Iowa,05/01/1902,40.7063954,-93.3652135
Allison,Iowa,04/01/1902,42.7527548,-92.7951945
Almont,Iowa,10/01/1903,41.9753045,-90.1990171
Alta,Iowa,05/01/1901,42.671412,-95.3041433411236
Altavista,Iowa,11/01/1904,42.237481,-91.1979279
Alton,Iowa,12/01/1902,42.9874869,-96.0105735
Altoona,Iowa,11/01/1900,41.6441557,-93.4646571
Alvord,Iowa,02/01/1904,43.3421993,-96.3011403
Amana,Iowa,08/01/1902,41.8000071,-91.8707335
Ames,Iowa,10/01/1900,42.0346917,-93.6201507
Anamosa,Iowa,05/01/1900,42.1083371,-91.2851594
Anita,Iowa,04/01/1904,41.445265,-94.7647015
Ankeny,Iowa,03/01/1902,41.7318715,-93.6003837
Anthon,Iowa,07/01/1903,42.3883232,-95.8666772
Aplington,Iowa,10/15/1902,42.5841454,-92.8843642
Arcadia,Iowa,03/02/1903,42.0872073,-95.0461023
Aredale,Iowa,10/15/1902,42.8330278,-93.0054745
Arlington,Iowa,07/01/1901,42.7491501,-91.6712664
Armstrong,Iowa,09/01/1904,43.3960697,-94.4783082
Arthur,Iowa,11/01/1901,42.3347078,-95.3474969
Ashton,Iowa,05/16/1904,43.3113619,-95.7911276
Atalissa,Iowa,05/15/1901,41.5711357,-91.1659888
Atkins,Iowa,12/01/1902,41.9945216,-91.8639973
Atlantic,Iowa,11/01/1900,41.4036007,-95.0138776
Auburn,Iowa,01/01/1903,42.2513724,-94.8777638
Audubon,Iowa,11/01/1900,41.670205,-94.9106526
Aurelia,Iowa,09/01/1900,42.71276,-95.4366701
Aurora,Iowa,09/15/1900,41.4958408,-92.2396261
Austinville,Iowa,10/15/1902,42.5858112,-92.9571425
Avoca,Iowa,02/01/1904,41.4766571,-95.3380549
Avon,Iowa,09/01/1904,41.528601,-93.5232701
Badger,Iowa,09/01/1904,42.6144147,-94.14607
Bagley,Iowa,03/02/1903,41.8460964,-94.4299694
Baldwin,Iowa,01/01/1904,42.0741832,-90.8415301
