Name,Date,State
Abbyville,12/01/1902,Kansas
Abilene,08/15/1900,Kansas
Ackerland,12/15/1900,Kansas
Ada,04/01/1904,Kansas
Admire,10/15/1900,Kansas
Agenda,12/01/1903,Kansas
Agra,04/01/1902,Kansas
Agricola,12/01/1903,Kansas
Allen,01/15/1904,Kansas
Alma,03/01/1904,Kansas
Almena,04/01/1902,Kansas
Altamont,03/01/1904,Kansas
Altavista,03/01/1904,Kansas
Alton,09/15/1903,Kansas
Altoona,07/01/1903,Kansas
Americus,07/01/1901,Kansas
Ames,10/01/1902,Kansas
Andover,03/01/1904,Kansas
Anness,08/01/1904,Kansas
Anthony,07/01/1904,Kansas
Arcadia,10/01/1902,Kansas
Argentine,11/01/1902,Kansas
Argonia,07/15/1902,Kansas
Arkansas City,11/01/1902,Kansas
Arlington,12/01/1902,Kansas
Arrington,05/01/1903,Kansas
Asherville,02/01/1902,Kansas
Ashton,07/15/1902,Kansas
Assaria,07/01/1903,Kansas
Atchison,07/02/1900,Kansas
Athol ,10/01/1901,Kansas
Atlanta,03/01/1904,Kansas
Attica,11/02/1903,Kansas
Auburn,11/15/1900,Kansas
Augusta,02/01/1902,Kansas
Aurora,12/15/1903,Kansas
Axtell,02/01/1902,Kansas
Baileyville,01/02/1901,Kansas
Baker,05/02/1904,Kansas
Bala,12/15/1903,Kansas
Baldwin,11/01/1900,Kansas
Bancroft,06/15/1904,Kansas
Barclay,03/15/1901,Kansas
Barnard,10/01/1901,Kansas
Barnes,02/01/1902,Kansas
Bartlett ,12/01/1904,Kansas
Basil,06/15/1904,Kansas
Bavaria,10/15/1904,Kansas
Baxter Springs,04/01/1903,Kansas
Bayard,10/01/1904,Kansas
Beattie,10/01/1900,Kansas
Bellaire,04/01/1902,Kansas
Belle Plaine,07/15/1902,Kansas
Belleville,08/15/1900,Kansas
Beloit,09/15/1900,Kansas
Belvue,10/01/1900,Kansas
Bendena,05/01/1902,Kansas
Benedict,12/15/1903,Kansas
Bennington,07/01/1903,Kansas
Benton ,11/01/1900,Kansas
Bern,04/01/1903,Kansas
Berryton,07/01/1903,Kansas
Bethel,11/01/1902,Kansas
Beverly,09/01/1902,Kansas
Bigelow,01/01/1902,Kansas
Blackstone,07/15/1902,Kansas
Blaine,03/01/1901,Kansas
Bloomington,02/15/1904,Kansas
Blue Rapids,10/15/1900,Kansas
Bluemound,09/01/1902,Kansas
Bluff City,09/01/1904,Kansas
Boicourt,09/01/1902,Kansas
Bonner Springs,10/26/1896,Kansas
Bremen,02/01/1902,Kansas
Bridgeport,07/01/1903,Kansas
Brockville,07/01/1903,Kansas
Bronson,12/02/1901,Kansas
