Name,State,Date,Latitude,Longitude
Abbyville,Kansas,12/01/1902,37.9708468,-98.2042298
Abilene,Kansas,08/15/1900,38.9172516,-97.2137703
Ackerland,Kansas,12/15/1900,39.194859,-95.9474126
Ada,Kansas,04/01/1904,39.1513917,-97.8892088
Admire,Kansas,10/15/1900,38.6416022,-96.1022437
Agenda,Kansas,12/01/1903,39.7077797,-97.4317035
Agra,Kansas,04/01/1902,39.7616776,-99.1192544
Agricola,Kansas,12/01/1903,38.4194601,-95.5349823
Allen,Kansas,01/15/1904,37.8882168,-95.3170208
Alma,Kansas,03/01/1904,39.0166657,-96.2891624
Almena,Kansas,04/01/1902,39.8922294,-99.707058
Altamont,Kansas,03/01/1904,37.1903448,-95.2971928
Altavista,Kansas,03/01/1904,nf,nf
Alton,Kansas,09/15/1903,39.4708437,-98.9481389
Altoona,Kansas,07/01/1903,37.5239434,-95.6613696
Americus,Kansas,07/01/1901,38.506956,-96.2619425
Ames,Kansas,10/01/1902,39.5694437,-97.4419792
Andover,Kansas,03/01/1904,37.7139041,-97.1364294
Anness,Kansas,08/01/1904,37.4819631,-97.728662
Anthony,Kansas,07/01/1904,37.1533554,-98.0311728
Arcadia,Kansas,10/01/1902,37.6419893,-94.6238481
Argentine,Kansas,11/01/1902,39.0750047,-94.6724584
Argonia,Kansas,07/15/1902,37.265854,-97.7656092
Arkansas City,Kansas,11/01/1902,37.0620507,-97.038575
Arlington,Kansas,12/01/1902,37.8966808,-98.1786739
Arrington,Kansas,05/01/1903,39.4627757,-95.5363667
Asherville,Kansas,02/01/1902,39.4058375,-97.9769886
Ashton,Kansas,07/15/1902,37.0830827,-97.2386534
Assaria,Kansas,07/01/1903,38.6802826,-97.6044806
Atchison,Kansas,07/02/1900,39.545816,-95.3326052
Athol ,Kansas,10/01/1901,39.7650117,-98.9195242
Atlanta,Kansas,03/01/1904,37.4356784,-96.7691606
Attica,Kansas,11/02/1903,37.2414101,-98.226735
Auburn,Kansas,11/15/1900,38.906114,-95.8160968
Augusta,Kansas,02/01/1902,37.6913769,-96.9707179
Aurora,Kansas,12/15/1903,39.4519428,-97.5272565
Axtell,Kansas,02/01/1902,39.8716662,-96.2588985
Baileyville,Kansas,01/02/1901,39.8444434,-96.1850063
Baker,Kansas,05/02/1904,39.7541696,-95.5630376
Bala,Kansas,12/15/1903,39.3086519,-96.9497816
Baldwin,Kansas,11/01/1900,38.775007,-95.1863603
Bancroft,Kansas,06/15/1904,39.6083292,-95.9002689
Barclay,Kansas,03/15/1901,38.5772329,-95.8802665
Barnard,Kansas,10/01/1901,39.1905604,-98.0419914
Barnes,Kansas,02/01/1902,39.7119465,-96.8744658
Bartlett ,Kansas,12/01/1904,37.0547927,-95.2107992
Basil,Kansas,06/15/1904,37.5164057,-98.0903402
Bavaria,Kansas,10/15/1904,38.7972268,-97.7555952
