Name,Date,State
Adairville,10/15/1903,Kentucky
Allensville,01/11/1897,Kentucky
Anchorage,08/15/1902,Kentucky
Arlington,10/01/1904,Kentucky
Ashland,04/15/1904,Kentucky
Auburn,07/15/1904,Kentucky
Augusta,02/02/1903,Kentucky
Bagdad,02/02/1903,Kentucky
Bardstown,03/02/1903,Kentucky
Bardwell,07/01/1904,Kentucky
Barlow,10/15/1904,Kentucky
Beard,08/01/1903,Kentucky
Belmont,12/15/1904,Kentucky
Benton,08/01/1904,Kentucky
Berry,02/02/1903,Kentucky
Blackford,09/15/1904,Kentucky
Bloomfield,03/01/1904,Kentucky
Boaz,07/01/1904,Kentucky
Bondville,07/15/1904,Kentucky
Bonnieville,10/15/1904,Kentucky
Bowling Green,02/01/1902,Kentucky
Boxville,12/15/1904,Kentucky
Boyd,05/02/1904,Kentucky
Bradford,05/02/1904,Kentucky
Bradfordsville,01/01/1898,Kentucky
Brandenberg,12/01/1904,Kentucky
Brooksville,06/15/1904,Kentucky
Buechel,08/15/1902,Kentucky
Burlington,10/15/1904,Kentucky
Butler,02/01/1902,Kentucky
Campbellsburg,03/02/1903,Kentucky
Carlisle,12/01/1902,Kentucky
Catlettsburg,04/15/1904,Kentucky
Cave City,10/01/1902,Kentucky
Cecilian,07/01/1904,Kentucky
Chilesburg,11/01/1904,Kentucky
Clay,09/15/1904,Kentucky
Clinton,03/02/1903,Kentucky
Corinth,03/02/1903,Kentucky
Corydon,10/01/1902,Kentucky
Covington,05/01/1900,Kentucky
Crittenden,06/01/1904,Kentucky
Crutchfield,10/15/1904,Kentucky
Cullen,10/01/1904,Kentucky
Cynthiana,04/16/1900,Kentucky
De Mossville,05/01/1903,Kentucky
Dixon,09/01/1904,Kentucky
Dover,11/01/1904,Kentucky
Dover,12/15/1903,Kentucky
Dryridge,03/02/1903,Kentucky
Eagle Station,03/02/1903,Kentucky
Elizabethtown,03/02/1903,Kentucky
Elkton,12/01/1904,Kentucky
Elliston,06/01/1904,Kentucky
Eminence,08/01/1902,Kentucky
English,06/01/1904,Kentucky
Ewing,12/01/1902,Kentucky
Falmouth,04/01/1903,Kentucky
Farmington,07/15/1904,Kentucky
Ferguson,12/15/1904,Kentucky
Finchville,02/02/1903,Kentucky
Flemingsburg,12/01/1902,Kentucky
Foster,10/01/1903,Kentucky
Frankfort,03/02/1903,Kentucky
Franklin,03/02/1903,Kentucky
Fulton,03/02/1903,Kentucky
Georgetown,03/01/1902,Kentucky
Germantown,06/15/1904,Kentucky
Glasgow,03/02/1903,Kentucky
Glasgow Junction,09/15/1904,Kentucky
Glencoe,09/15/1904,Kentucky
Glendale,08/01/1904,Kentucky
Gravel Switch,10/01/1902,Kentucky
Guthrie,07/01/1902,Kentucky
Hanson,12/01/1904,Kentucky
Hardin,04/01/1904,Kentucky
Harrods Creek,08/15/1902,Kentucky
Harrodsburg,05/16/1904,Kentucky
Hawesville,10/01/1903,Kentucky
Hazel,10/15/1904,Kentucky
Hebbardsville,04/01/1904,Kentucky
Henderson,10/01/1902,Kentucky
Henshaw,10/01/1903,Kentucky
Hickman,02/01/1902,Kentucky
Hickorygrove,09/15/1904,Kentucky
Hillsboro,06/01/1904,Kentucky
Hodgensville,09/01/1904,Kentucky
Hopkinsville,02/15/1901,Kentucky
Horsecave,03/02/1903,Kentucky
Howel,09/01/1904,Kentucky
Jeffersontown,08/15/1902,Kentucky
Kenton,07/15/1904,Kentucky
Kevil,07/15/1904,Kentucky
Lancaster,11/01/1904,Kentucky
Lathonia,04/01/1903,Kentucky
Lawrenceburg,01/01/1904,Kentucky
Lebanon,03/02/1903,Kentucky
Lewisport,02/02/1903,Kentucky
Lexington,08/01/1899,Kentucky
Livia,09/01/1904,Kentucky
Loretto,07/01/1904,Kentucky
Louisa,04/15/1904,Kentucky
Louisville,03/01/1902,Kentucky
Ludlow,04/01/1903,Kentucky
Lynnville,10/01/1904,Kentucky
Maceo ,10/15/1903,Kentucky
Mackville,07/15/1904,Kentucky
Madisonville,03/02/1903,Kentucky
Manitou,09/01/1904,Kentucky
Mayfield,09/01/1903,Kentucky
Mays Lick,04/01/1903,Kentucky
Maysville,02/02/1903,Kentucky
Midway,04/01/1903,Kentucky
Milton,07/01/1903,Kentucky
Moorefield,12/01/1904,Kentucky
Moreland,02/02/1903,Kentucky
Morgan ,05/02/1904,Kentucky
Morganfield,04/01/1902,Kentucky
Morningview,04/15/1904,Kentucky
Moscow,10/01/1904,Kentucky
