Name,State,Date,Latitude,Longitude
Adairville,Kentucky,10/15/1903,36.6675425,-86.8519417
Allensville,Kentucky,01/11/1897,36.7167081,-87.0661104
Anchorage,Kentucky,08/15/1902,38.2665993,-85.5330114
Arlington,Kentucky,10/01/1904,37.760635,-84.3077098
Ashland,Kentucky,04/15/1904,38.4784144,-82.6379387
Auburn,Kentucky,07/15/1904,36.8642088,-86.7102735
Augusta,Kentucky,02/02/1903,38.7717376,-84.0057628
Bagdad,Kentucky,02/02/1903,38.2622928,-85.0577313
Bardstown,Kentucky,03/02/1903,37.8092279,-85.4669025
Bardwell,Kentucky,07/01/1904,36.8706111,-89.0097869
Barlow,Kentucky,10/15/1904,37.0517194,-89.0467346
Beard,Kentucky,08/01/1903,38.129401,-85.6320539
Belmont,Kentucky,12/15/1904,38.3895191,-84.3085462
Benton,Kentucky,08/01/1904,36.8572781,-88.350315
Berry,Kentucky,02/02/1903,38.5206283,-84.3843829
Blackford,Kentucky,09/15/1904,37.4483806,-87.9347427
Bloomfield,Kentucky,03/01/1904,37.9103403,-85.316622
Boaz,Kentucky,07/01/1904,36.8856121,-88.6344933
Bondville,Kentucky,07/15/1904,37.9217419,-84.8718953
Bonnieville,Kentucky,10/15/1904,37.3786665,-85.9030233
Bowling Green,Kentucky,02/01/1902,36.9903199,-86.4436018
Boxville,Kentucky,12/15/1904,37.6283772,-87.8277974
Boyd,Kentucky,05/02/1904,38.3608934,-82.6945926
Bradford,Kentucky,05/02/1904,38.7850696,-84.1454883
Bradfordsville,Kentucky,01/01/1898,37.4942356,-85.1488483
Brandenberg,Kentucky,12/01/1904,37.9989592,-86.1694143
Brooksville,Kentucky,06/15/1904,38.6825719,-84.0657632
Buechel,Kentucky,08/15/1902,38.1950696,-85.6519047
Burlington,Kentucky,10/15/1904,39.0220835,-84.7202308876138
Butler,Kentucky,02/01/1902,37.240158,-86.673921
Campbellsburg,Kentucky,03/02/1903,38.5236762,-85.2027327
Carlisle,Kentucky,12/01/1902,36.8432751,-88.9636817
Catlettsburg,Kentucky,04/15/1904,38.4048042,-82.6004369
Cave City,Kentucky,10/01/1902,37.1367544,-85.9562169
Cecilian,Kentucky,07/01/1904,37.65318,-84.7581959
Chilesburg,Kentucky,11/01/1904,38.0070226,-84.3596559
Clay,Kentucky,09/15/1904,37.1540436,-83.723144
Clinton,Kentucky,03/02/1903,36.7190018,-85.1426047
Corinth,Kentucky,03/02/1903,36.7889307,-86.8038857
Corydon,Kentucky,10/01/1902,38.2120121,-86.1219155
Covington,Kentucky,05/01/1900,39.0837489,-84.5086221
Crittenden,Kentucky,06/01/1904,37.3600974,-88.0885106
Crutchfield,Kentucky,10/15/1904,36.576727,-88.9353389
Cullen,Kentucky,10/01/1904,37.5894893,-87.8780767
Cynthiana,Kentucky,04/16/1900,38.3903526,-84.2941013
De Mossville,Kentucky,05/01/1903,nf,nf
Dixon,Kentucky,09/01/1904,37.5178218,-87.6902886
Dover,Kentucky,11/01/1904,38.7581273,-83.8829813
Dover,Kentucky,12/15/1903,38.7581273,-83.8829813
Dryridge,Kentucky,03/02/1903,nf,nf
Eagle Station,Kentucky,03/02/1903,38.6693113,-84.9152074
Elizabethtown,Kentucky,03/02/1903,37.693952,-85.8591285
Elkton,Kentucky,12/01/1904,36.8100425,-87.1541675
Elliston,Kentucky,06/01/1904,37.7409136,-84.1552061
Eminence,Kentucky,08/01/1902,38.3700683,-85.1805105
English,Kentucky,06/01/1904,38.628397,-85.1280083
Ewing,Kentucky,12/01/1902,38.4272984,-83.8632557
Falmouth,Kentucky,04/01/1903,38.6767372,-84.3302142
Farmington,Kentucky,07/15/1904,38.21452865,-85.6681440503424
Ferguson,Kentucky,12/15/1904,36.7794849,-86.9772193
Finchville,Kentucky,02/02/1903,38.153679,-85.3127333
Flemingsburg,Kentucky,12/01/1902,38.4222995,-83.7338076
Foster,Kentucky,10/01/1903,38.7992355,-84.2129899
Frankfort,Kentucky,03/02/1903,38.2009055,-84.8732836
Franklin,Kentucky,03/02/1903,38.2520423,-84.8633812
Fulton,Kentucky,03/02/1903,36.5577082,-89.102082
Georgetown,Kentucky,03/01/1902,38.2097967,-84.5588311
Germantown,Kentucky,06/15/1904,38.654795,-83.9646491
Glasgow,Kentucky,03/02/1903,36.9958841,-85.9119215
Glasgow Junction,Kentucky,09/15/1904,nf,nf
Glencoe,Kentucky,09/15/1904,38.7145093,-84.8227255
Glendale,Kentucky,08/01/1904,37.6017278,-85.9055189
Gravel Switch,Kentucky,10/01/1902,37.5786819,-85.052181
Guthrie,Kentucky,07/01/1902,36.6485623,-87.1661261
Hanson,Kentucky,12/01/1904,37.4172671,-87.4808336
Hardin,Kentucky,04/01/1904,37.6645815,-85.9634901
Harrods Creek,Kentucky,08/15/1902,38.3275686,-85.6277393
Harrodsburg,Kentucky,05/16/1904,37.762298,-84.8432852
Hawesville,Kentucky,10/01/1903,37.9000554,-86.754988
Hazel,Kentucky,10/15/1904,37.5122696,-87.989469
Hebbardsville,Kentucky,04/01/1904,37.776156,-87.3752822
Henderson,Kentucky,10/01/1902,37.8367513,-87.5907631
Henshaw,Kentucky,10/01/1903,37.6217133,-88.055585
Hickman,Kentucky,02/01/1902,36.6903525,-88.9587214
Hickorygrove,Kentucky,09/15/1904,nf,nf
Hillsboro,Kentucky,06/01/1904,38.293412,-83.6588043
Hodgensville,Kentucky,09/01/1904,nf,nf
Hopkinsville,Kentucky,02/15/1901,36.8657651,-87.4889532
Horsecave,Kentucky,03/02/1903,nf,nf
Howel,Kentucky,09/01/1904,36.6992142,-87.5355679
Jeffersontown,Kentucky,08/15/1902,38.1942356,-85.5644033
Kenton,Kentucky,07/15/1904,38.9252546,-84.5331967
Kevil,Kentucky,07/15/1904,37.0850537,-88.8867275
Lancaster,Kentucky,11/01/1904,37.6195246,-84.5779957
Lathonia,Kentucky,04/01/1903,nf,nf
Lawrenceburg,Kentucky,01/01/1904,38.0372967,-84.8966171
Lebanon,Kentucky,03/02/1903,37.5697869,-85.2527381
Lewisport,Kentucky,02/02/1903,37.9369974,-86.9022146
Lexington,Kentucky,08/01/1899,38.0464066,-84.4970393
Livia,Kentucky,09/01/1904,37.570881,-87.1044407
Loretto,Kentucky,07/01/1904,37.6353404,-85.4007952
Louisa,Kentucky,04/15/1904,38.1142544,-82.6032119
Louisville,Kentucky,03/01/1902,38.2542376,-85.759407
Ludlow,Kentucky,04/01/1903,39.0925598,-84.5474435
Lynnville,Kentucky,10/01/1904,36.5603357,-88.5692149
Maceo ,Kentucky,10/15/1903,37.8639396,-86.9938836
Mackville,Kentucky,07/15/1904,37.7367355,-85.0674597
Madisonville,Kentucky,03/02/1903,37.3280037,-87.4986989
