Name,State,Date,Latitude,Longitude
Alexandria,Louisiana,10/01/1901,31.311248,-92.4449087
Baton Rouge,Louisiana,05/16/1904,30.4507462,-91.154551
Bienville,Louisiana,07/15/1904,32.3231432,-93.0761115
Bunkie,Louisiana,09/01/1903,30.9532472,-92.1826258
Campti,Louisiana,08/01/1903,31.8934954,-93.1182202
Jeanerette,Louisiana,10/01/1901,29.9110378,-91.6634484
Monroe,Louisiana,08/01/1903,32.5093109,-92.1193012
Natchitoches,Louisiana,08/01/1903,31.6464192,-93.1427138
New Orleans,Louisiana,10/01/1901,29.9499323,-90.0701156
Plaquemine,Louisiana,08/15/1904,30.2890833,-91.2342744
Thibodaux,Louisiana,11/01/1896,29.7957633,-90.822871
