Name,State,Date,Latitude,Longitude
Aberdeen,Maryland,04/01/1903,39.5095556,-76.1641197
Annapolis,Maryland,10/01/1903,38.9786401,-76.492786
Araby,Maryland,11/15/1901,39.3539916,-77.3855408
Baldwin,Maryland,12/01/1904,39.4945894,-76.4701866
Baltimore,Maryland,02/20/1899,39.2908608,-76.6108073
Barclay,Maryland,04/01/1904,39.3149545,-76.6122023
Bethesda,Maryland,08/01/1904,38.9848265,-77.0946459
Bethlehem,Maryland,10/01/1903,38.746226,-75.9441036
Bigpool,Maryland,03/16/1903,nf,nf
Bishop,Maryland,06/01/1904,38.4276143,-75.2210218
Boonsboro,Maryland,03/16/1903,39.5061332,-77.652425
Boring ,Maryland,05/15/1901,39.5315623,-76.8223124
Boyds,Maryland,01/15/1904,39.1840886,-77.3122325
Cambridge,Maryland,12/02/1901,38.5631744,-76.0788292
Centerville,Maryland,10/01/1901,39.5245453,-77.2716494
Chester,Maryland,07/15/1904,38.9753903,-76.2893991
Chestertown,Maryland,05/01/1900,39.2089986,-76.0666126
Clearspring,Maryland,03/16/1903,39.2726051,-77.206094
Cockeysville,Maryland,08/01/1902,39.4845658,-76.6502845
Colora,Maryland,03/01/1902,39.6720536,-76.0985613
Conowingo,Maryland,10/01/1903,39.692939,-76.2634654
Cordova,Maryland,03/02/1903,38.8756695,-75.9960505
Crisfield,Maryland,06/01/1901,37.9834575,-75.8538211
Cumberland,Maryland,10/01/1903,39.6528509,-78.7624714
Deer Park,Maryland,02/02/1903,38.4712341,-76.9146935
Denton,Maryland,03/02/1903,38.8845583,-75.8271564
East New Market,Maryland,08/01/1902,38.5992145,-75.9246216
Easton,Maryland,02/15/1899,38.7742826,-76.0763305
Eden,Maryland,03/02/1903,38.2806755,-75.6510368
Elk Ridge,Maryland,08/01/1901,39.6775751,-75.8751343
Ellicott City,Maryland,01/01/1898,39.2673284,-76.7983067
Emmittsburg,Maryland,11/15/1901,nf,nf
Fallston,Maryland,10/01/1901,39.5145515,-76.4110732
Federalsburg,Maryland,08/01/1902,38.6940347,-75.7731132
Finksburg,Maryland,07/01/1904,39.4928811,-76.8894232
Foresthill,Maryland,12/01/1900,nf,nf
Frederick,Maryland,11/15/1901,39.414443,-77.4105783
Freeland,Maryland,05/01/1902,39.7048259,-76.6838605
Fruitland,Maryland,04/01/1904,38.3220633,-75.620203
Gapland,Maryland,11/15/1901,39.4028784,-77.6602687
Germantown,Maryland,09/15/1904,39.1731621,-77.2716502
Girdletree,Maryland,03/01/1902,38.0945648,-75.3974189
Glenarm,Maryland,12/01/1904,39.345774,-76.5417849
Glencoe,Maryland,07/01/1902,39.5489944,-76.6352484
Glyndon,Maryland,07/01/1901,39.4762132,-76.8161977
Goldsboro,Maryland,04/01/1904,39.0340022,-75.7865995
Grange,Maryland,05/01/1899,39.2653855,-76.4980177
Granite,Maryland,05/01/1903,39.3423327,-76.8539436
Greensboro,Maryland,12/01/1903,38.9737248,-75.8049334
Hagerstown,Maryland,03/16/1903,39.64725705,-77.6966135194512
Halethorp,Maryland,04/01/1901,nf,nf
Hampstead,Maryland,12/15/1899,39.6048252,-76.8499775
Hancock,Maryland,03/16/1903,39.6989809,-78.1797293
Hanover,Maryland,11/15/1904,39.1928853,-76.7241371
Havre de Grace,Maryland,02/01/1899,39.5489964,-76.0914718
