Name,Date,State
Abington,02/01/1902,Massachusetts
Acushnet,01/02/1901,Massachusetts
Agawam,12/15/1900,Massachusetts
Amesbury,05/01/1903,Massachusetts
Amherst,09/01/1903,Massachusetts
Andover,02/02/1903,Massachusetts
Ashby,08/15/1904,Massachusetts
Ashland,05/16/1904,Massachusetts
Assonet,04/01/1902,Massachusetts
Athol,08/01/1898,Massachusetts
Attleboro,04/01/1901,Massachusetts
Auburn,12/01/1901,Massachusetts
Bardwells Ferry,09/01/1900,Massachusetts
Bedford,11/01/1902,Massachusetts
Belchertown,09/01/1903,Massachusetts
Bernardston,11/02/1896,Massachusetts
Billerica,11/01/1902,Massachusetts
Blackstone,08/15/1900,Massachusetts
Boylston Center,03/02/1903,Massachusetts
Bridgewater,12/02/1901,Massachusetts
Brookfield,09/01/1903,Massachusetts
Bryantville,07/01/1903,Massachusetts
Canton,07/01/1903,Massachusetts
Chester,10/01/1903,Massachusetts
Clifford,07/01/1902,Massachusetts
Colerain,02/01/1901,Massachusetts
Concord,11/01/1902,Massachusetts
Concord Junction,07/01/1902,Massachusetts
Conway,07/01/1901,Massachusetts
Danvers,12/01/1900,Massachusetts
Dartmouth,03/01/1902,Massachusetts
Deerfield,09/01/1898,Massachusetts
Dighton,10/01/1903,Massachusetts
Dodge,03/01/1904,Massachusetts
Dudley,02/01/1902,Massachusetts
East Bridgewater,07/01/1903,Massachusetts
East Brookfield,03/02/1903,Massachusetts
East Norton,05/01/1902,Massachusetts
East Pepperell,09/15/1903,Massachusetts
East Taunton,07/01/1901,Massachusetts
Easthampton,09/01/1903,Massachusetts
Easton,07/01/1902,Massachusetts
Fairhaven,09/02/1901,Massachusetts
Feeding Hills,11/01/1901,Massachusetts
Fitchburg,11/01/1902,Massachusetts
Foxboro,09/15/1903,Massachusetts
Franklin,07/01/1901,Massachusetts
Gardner,08/01/1901,Massachusetts
Gloucester,01/01/1903,Massachusetts
Grafton,12/01/1904,Massachusetts
Granby,03/02/1903,Massachusetts
Great Barrington,07/01/1901,Massachusetts
Greenfield,11/02/1896,Massachusetts
Greenwich Village,05/02/1904,Massachusetts
Groton,07/01/1903,Massachusetts
Haverhill,08/15/1904,Massachusetts
Haydenville,04/01/1902,Massachusetts
Holden,07/01/1902,Massachusetts
Hopkinton,07/01/1902,Massachusetts
Housatonic,09/01/1903,Massachusetts
Hudson,11/01/1902,Massachusetts
Ipswich,07/01/1901,Massachusetts
Jefferson,09/15/1904,Massachusetts
Lakeville,10/03/1898,Massachusetts
Lawrence,11/01/1901,Massachusetts
Lee,09/01/1903,Massachusetts
Lexington,05/16/1904,Massachusetts
Lowell,09/15/1900,Massachusetts
Ludlow,02/01/1902,Massachusetts
Lunenburg,11/01/1902,Massachusetts
Lynn,08/01/1901,Massachusetts
Mansfield,10/15/1903,Massachusetts
Marion,07/01/1902,Massachusetts
Marlboro,04/01/1902,Massachusetts
Mattapoisett,06/02/1902,Massachusetts
Maynard,11/01/1902,Massachusetts
Medfield,07/01/1903,Massachusetts
Medway,07/01/1903,Massachusetts
Middleboro,05/01/1902,Massachusetts
Millburg,06/04/1900,Massachusetts
Monson,09/01/1904,Massachusetts
Montague,11/15/1900,Massachusetts
Myricks,01/01/1902,Massachusetts
Needham,09/01/1902,Massachusetts
North Adams,02/02/1903,Massachusetts
North Andover Depot,07/01/1902,Massachusetts
North Attleboro,09/02/1901,Massachusetts
North Brookfield,07/01/1903,Massachusetts
North Dartmouth,07/01/1901,Massachusetts
North Easton,05/01/1903,Massachusetts
North Grafton,10/01/1903,Massachusetts
North Middleboro,09/15/1904,Massachusetts
North Raynham,01/02/1901,Massachusetts
North Reading,08/01/1904,Massachusetts
North Westport,09/02/1901,Massachusetts
North Wilbraham,07/01/1902,Massachusetts
Northampton,09/01/1903,Massachusetts
Northboro,07/01/1901,Massachusetts
Northfield,02/01/1902,Massachusetts
Norton,08/01/1904,Massachusetts
Orange,11/23/1896,Massachusetts
Oxford,10/01/1903,Massachusetts
Palmer,05/01/1902,Massachusetts
Petersham,04/01/1903,Massachusetts
Pittsfield,03/01/1902,Massachusetts
Pratts Junction,12/01/1900,Massachusetts
Randolph,07/01/1903,Massachusetts
Raynham,01/02/1901,Massachusetts
Reading,07/01/1903,Massachusetts
Rehoboth,09/15/1903,Massachusetts
Richmond,03/02/1903,Massachusetts
Rock,09/15/1903,Massachusetts
Rockland,07/01/1903,Massachusetts
Rowley,07/01/1903,Massachusetts
Rutland,06/01/1904,Massachusetts
Shawmut,12/01/1900,Massachusetts
Sheffield,09/01/1903,Massachusetts
Shelbourne Falls,11/01/1901,Massachusetts
Shirley,05/16/1904,Massachusetts
Shrewsbury,07/01/1901,Massachusetts
Somerset,09/01/1904,Massachusetts
South Dartmouth,11/15/1897,Massachusetts
South Deerfield,12/01/1896,Massachusetts
South Easton,07/01/1902,Massachusetts
South Framingham,07/01/1902,Massachusetts
South Hadley,09/01/1903,Massachusetts
South Lincoln,11/01/1902,Massachusetts
South Sudbury,11/15/1904,Massachusetts
South Westport,09/18/1899,Massachusetts
Southampton,11/01/1902,Massachusetts
Southbridge,09/01/1903,Massachusetts
Southwick,07/01/1901,Massachusetts
Spencer,07/01/1902,Massachusetts
Springfield,09/15/1904,Massachusetts
Stateline,10/01/1901,Massachusetts
Sterling Junction,02/01/1902,Massachusetts
Stow,11/02/1903,Massachusetts
Sunderland,10/02/1899,Massachusetts
Swansea,04/01/1903,Massachusetts
Taunton,01/01/1902,Massachusetts
Townsend,02/01/1902,Massachusetts
Townsend Harbor,11/01/1902,Massachusetts
Turners Falls,08/01/1900,Massachusetts
Upton,10/01/1904,Massachusetts
Wakefield,07/02/1900,Massachusetts
Walpole,09/15/1904,Massachusetts
Waltham,09/01/1902,Massachusetts
Ware,03/02/1903,Massachusetts
Wellesley,06/04/1900,Massachusetts
Wellesley Hill,11/01/1900,Massachusetts
West Acton,11/01/1902,Massachusetts
West Groton,06/01/1904,Massachusetts
West Newbury,01/01/1903,Massachusetts
West Peabody,08/28/1899,Massachusetts
West Stockbridge,07/01/1903,Massachusetts
West Wareham,09/15/1904,Massachusetts
West Wrentham,09/01/1903,Massachusetts
Westboro,09/01/1900,Massachusetts
Westfield,01/01/1902,Massachusetts
Westford,11/01/1904,Massachusetts
Westminster,07/01/1902,Massachusetts
Westport,09/02/1901,Massachusetts
Whitman,02/01/1902,Massachusetts
Williamsburg,11/01/1902,Massachusetts
Williamstown,12/02/1901,Massachusetts
Wilmington,07/01/1904,Massachusetts
Winchendon,07/01/1903,Massachusetts
Winchester,08/01/1903,Massachusetts
Woburn,10/23/1899,Massachusetts
Wrentham,09/01/1904,Massachusetts
