Name,Date,State
Abbottsford,08/01/1904,Michigan
Ada,07/01/1901,Michigan
Addison,04/01/1903,Michigan
Adrian,12/04/1899,Michigan
Akron,03/02/1903,Michigan
Alamo,10/01/1903,Michigan
Albion,03/15/1900,Michigan
Alger,07/01/1902,Michigan
Algonac,12/15/1903,Michigan
Allegan,07/23/1900,Michigan
Allen,07/01/1901,Michigan
Alma,07/16/1900,Michigan
Almont,08/01/1902,Michigan
Alpena,03/01/1902,Michigan
Alpine,10/01/1903,Michigan
Alto,02/02/1903,Michigan
Amadore,09/01/1904,Michigan
Ann Arbor,03/15/1900,Michigan
Applegate,04/01/1904,Michigan
Arcadia,11/01/1901,Michigan
Armada,07/01/1903,Michigan
Ashley,02/01/1902,Michigan
Athens,07/01/1902,Michigan
Atkins,10/01/1903,Michigan
Attica,10/01/1903,Michigan
Auburn,03/01/1902,Michigan
Augres,04/01/1904,Michigan
Augusta,10/01/1903,Michigan
Avoca,11/02/1903,Michigan
Azalia,07/01/1903,Michigan
Bad Axe,08/01/1902,Michigan
Bancroft,05/01/1900,Michigan
Bangor,04/01/1903,Michigan
Bannister,03/16/1903,Michigan
Baroda,10/01/1903,Michigan
Barryton,04/15/1904,Michigan
Batavia,08/01/1904,Michigan
Bath,04/01/1902,Michigan
Battlecreek,04/02/1900,Michigan
Bay City,10/01/1900,Michigan
Bayport,09/01/1902,Michigan
Bayshore,07/15/1904,Michigan
Bearlake,09/15/1903,Michigan
Beaverton,04/15/1904,Michigan
Belding,10/01/1901,Michigan
Bellaire,10/15/1904,Michigan
Belleville,03/01/1902,Michigan
Bellevue,04/01/1903,Michigan
Belmont,02/02/1903,Michigan
Bendon,10/01/1903,Michigan
Bennington,08/01/1902,Michigan
Benton Harbor,10/15/1898,Michigan
Benzonia,10/01/1903,Michigan
Berlamont,06/01/1904,Michigan
Berlin,09/15/1903,Michigan
Berrien Center,04/01/1903,Michigan
Berrien Springs,10/01/1902,Michigan
Berville,11/02/1903,Michigan
Big Rapids,09/01/1903,Michigan
Birchrun,07/01/1903,Michigan
Birmingham,05/01/1902,Michigan
Blaine,12/01/1904,Michigan
Blanchard,03/01/1902,Michigan
Blissfield,04/16/1900,Michigan
Bloomingdale,04/01/1903,Michigan
Boyne,10/01/1903,Michigan
Bravo,06/01/1904,Michigan
Breckenridge,04/01/1902,Michigan
Bridgeport,07/01/1902,Michigan
Bridgman,02/15/1904,Michigan
Brighton,03/01/1901,Michigan
Britton,04/01/1903,Michigan
Bronson,05/01/1900,Michigan
Brooklyn,09/01/1900,Michigan
Brown City,10/01/1900,Michigan
Buchanan,08/01/1901,Michigan
Burlington,07/01/1902,Michigan
Burnside,02/01/1904,Michigan
Burr Oak,07/01/1901,Michigan
Burt,05/15/1901,Michigan
Burton,07/01/1901,Michigan
Butternut,03/01/1902,Michigan
Byron,11/01/1900,Michigan
Byron Center,11/01/1901,Michigan
Cadillac,09/15/1903,Michigan
Caldwell,04/15/1904,Michigan
Caledonia,12/02/1901,Michigan
Cambria,12/15/1903,Michigan
Camden,12/01/1900,Michigan
Capac,10/01/1900,Michigan
Carleton,03/01/1902,Michigan
Caro,04/02/1900,Michigan
Carson City,04/01/1902,Michigan
Carsonville,09/01/1902,Michigan
Caseville,08/01/1902,Michigan
Casnovia,10/01/1903,Michigan
Cass City,09/01/1903,Michigan
Cassopolis,10/01/1901,Michigan
Cedar Springs,05/14/1900,Michigan
Cement City,04/01/1903,Michigan
Centerville,02/01/1902,Michigan
Central Lake,04/15/1904,Michigan
Ceresco,07/23/1900,Michigan
Charlevoix,09/15/1903,Michigan
Charlotte,10/15/1900,Michigan
Cheboygan,10/01/1904,Michigan
Chelsea,05/15/1901,Michigan
Chesaning,08/15/1900,Michigan
Chief,11/01/1901,Michigan
Chilson,03/02/1903,Michigan
Clare ,09/01/1903,Michigan
Clarklake,11/01/1904,Michigan
Clarkston,09/01/1900,Michigan
Clarksville,08/15/1902,Michigan
Clayton,04/01/1902,Michigan
Clifford,12/01/1903,Michigan
Climax,12/03/1896,Michigan
Clinton,11/15/1900,Michigan
Clio,09/01/1902,Michigan
Clyde,09/01/1902,Michigan
Coldwater,09/01/1900,Michigan
Coleman,04/15/1904,Michigan
Coloma,10/01/1903,Michigan
Colon  ,08/01/1902,Michigan
Columbiaville,01/15/1904,Michigan
Concord,08/01/1902,Michigan
Conklin,09/02/1901,Michigan
Conners Creek,09/15/1904,Michigan
Constantine,03/01/1902,Michigan
Coopersville,07/01/1901,Michigan
Copemish,02/01/1902,Michigan
Coral,09/15/1903,Michigan
Corunna,11/01/1900,Michigan
Covert ,10/01/1903,Michigan
Cressey,01/15/1904,Michigan
Croswell,11/02/1903,Michigan
Crystal,03/01/1904,Michigan
Custer,10/01/1903,Michigan
Daggett,08/01/1904,Michigan
Danville,03/16/1903,Michigan
Davisburg,04/01/1902,Michigan
Davison,02/01/1901,Michigan
Dearborn,09/02/1901,Michigan
Decatur,03/01/1902,Michigan
Deckerville,04/01/1903,Michigan
Deerfield,07/01/1903,Michigan
Deford,10/01/1903,Michigan
Delton,05/16/1904,Michigan
Denton,09/01/1903,Michigan
Detroit,05/16/1898,Michigan
Devils Lake,07/01/1903,Michigan
Dewitt,03/16/1903,Michigan
Dexter,11/01/1901,Michigan
Dimondale,09/01/1902,Michigan
Dorr,09/15/1903,Michigan
Doster,04/01/1903,Michigan
Dowagiac,02/01/1902,Michigan
Dowling,04/01/1904,Michigan
Dryden,10/01/1900,Michigan
Dundee,07/01/1903,Michigan
Durand,05/14/1900,Michigan
Dutton,10/01/1903,Michigan
Eagle,03/15/1901,Michigan
East Jordan,10/01/1903,Michigan
East Leroy,11/02/1903,Michigan
East Saugatuck,11/01/1904,Michigan
Eaton Rapids,09/15/1900,Michigan
Eau Claire,04/01/1903,Michigan
Eckford,07/05/1899,Michigan
Edmore,01/01/1904,Michigan
Edwardsburg,08/01/1902,Michigan
Elba,08/01/1904,Michigan
Elk Rapids,10/01/1903,Michigan
Elkton,10/01/1903,Michigan
Elkton,11/02/1903,Michigan
Ellsworth,09/15/1904,Michigan
Elmhall,07/15/1904,Michigan
Elsie ,11/01/1900,Michigan
Elwell,02/01/1904,Michigan
Emmett,10/15/1900,Michigan
Empire,10/01/1904,Michigan
Erie,06/01/1904,Michigan
Evart,09/15/1903,Michigan
Fairgrove,11/01/1900,Michigan
Fairhaven,07/15/1904,Michigan
Farmington ,08/01/1900,Michigan
Farwell,03/01/1902,Michigan
Fennville,10/15/1900,Michigan
Fenton,10/15/1900,Michigan
Fenwick,03/01/1902,Michigan
Fife Lake,12/01/1904,Michigan
Filion,10/15/1904,Michigan
Flat Rock,09/01/1902,Michigan
Flint,11/15/1900,Michigan
Flushing,08/15/1900,Michigan
Foresthill,12/15/1904,Michigan
Fosters,07/01/1902,Michigan
Fostoria,02/15/1904,Michigan
Fountain,10/15/1904,Michigan
Fowler,04/16/1900,Michigan
Fowlerville,06/04/1900,Michigan
Frankenmuth,10/15/1904,Michigan
Freeland,05/01/1902,Michigan
Freeport,04/01/1903,Michigan
Freesoil,10/01/1901,Michigan
Fremont,08/15/1900,Michigan
Frontier,12/15/1903,Michigan
Fulton,10/01/1903,Michigan
Gagetown,09/01/1903,Michigan
Gaines Station,05/01/1902,Michigan
Galesburg,10/01/1903,Michigan
Galien,08/01/1902,Michigan
Gaylord,04/15/1904,Michigan
Gera,03/02/1903,Michigan
Gilead,11/01/1904,Michigan
Gladwin,07/01/1902,Michigan
Gobleville,03/01/1902,Michigan
Goodells,10/01/1903,Michigan
Goodison,07/01/1903,Michigan
Goodrich,08/01/1902,Michigan
Gowen,02/15/1904,Michigan
Grand Blanc,07/01/1902,Michigan
Grand Haven,07/01/1901,Michigan
Grand Junction,09/15/1903,Michigan
Grand Ledge,06/04/1900,Michigan
Grand Rapids,10/16/1899,Michigan
Grandville,09/15/1902,Michigan
Grant,07/01/1901,Michigan
Grass Lake,09/05/1899,Michigan
Greenfield,08/01/1902,Michigan
Greenville,02/01/1901,Michigan
Gregory,10/01/1902,Michigan
Grindstone,10/01/1903,Michigan
Grosse Ile,08/15/1902,Michigan
Grosse Pointe Farms,05/02/1904,Michigan
Hamburg,08/01/1900,Michigan
Hamilton,06/01/1904,Michigan
Hand Station,09/01/1903,Michigan
Hanover,04/01/1902,Michigan
Harbor Beach,10/15/1900,Michigan
Harbor Springs,08/01/1902,Michigan
Harrison,09/15/1903,Michigan
Harrisville,03/01/1902,Michigan
Hart,04/01/1902,Michigan
Hartford,04/01/1903,Michigan
Harvard,10/01/1903,Michigan
Hastings,07/01/1901,Michigan
Hemlock,07/01/1902,Michigan
Henderson,07/01/1902,Michigan
Hersey,09/15/1903,Michigan
Hesperia,04/15/1904,Michigan
Hickey,11/02/1903,Michigan
Highland Park,11/01/1902,Michigan
Highland Station,07/01/1902,Michigan
Hillsdale,07/05/1899,Michigan
Hobson,09/15/1904,Michigan
Holland,07/01/1901,Michigan
Holloway,09/01/1902,Michigan
Holly,05/01/1901,Michigan
Holt,09/15/1900,Michigan
Holton,11/01/1901,Michigan
Homer,03/15/1900,Michigan
Hopkins Station,04/01/1903,Michigan
Horton,07/01/1902,Michigan
Howard City,09/15/1903,Michigan
Howell,08/15/1900,Michigan
Hubbardston,01/01/1904,Michigan
Hudson,07/23/1900,Michigan
Hudsonville,11/01/1902,Michigan
Hunters Creek,11/01/1904,Michigan
Ida,07/01/1903,Michigan
