Name,State,Date,Latitude,Longitude
Abbottsford,Michigan,08/01/1904,43.020028,-82.6332564
Ada,Michigan,07/01/1901,42.9541963,-85.4889121
Addison,Michigan,04/01/1903,41.9863066,-84.3479749
Adrian,Michigan,12/04/1899,41.8975471,-84.0371659
Akron,Michigan,03/02/1903,43.5680759,-83.5141259
Alamo,Michigan,10/01/1903,42.3753143,-85.7077914
Albion,Michigan,03/15/1900,42.243097,-84.7530304
Alger,Michigan,07/01/1902,46.4047895,-86.5280993
Algonac,Michigan,12/15/1903,42.6183675,-82.531018
Allegan,Michigan,07/23/1900,42.5867203,-85.8861492
Allen,Michigan,07/01/1901,41.9571583,-84.7680831
Alma,Michigan,07/16/1900,43.3789199,-84.6597274
Almont,Michigan,08/01/1902,42.9205842,-83.0449348
Alpena,Michigan,03/01/1902,45.0616794,-83.4327528
Alpine,Michigan,10/01/1903,43.0728031,-85.6850351
Alto,Michigan,02/02/1903,42.8566988,-85.3802937
Amadore,Michigan,09/01/1904,43.1950266,-82.5857581
Ann Arbor,Michigan,03/15/1900,42.2681569,-83.7312291
Applegate,Michigan,04/01/1904,43.3553017,-82.6371499
Arcadia,Michigan,11/01/1901,44.4930555,-86.2317586
Armada,Michigan,07/01/1903,42.8441964,-82.8843722
Ashley,Michigan,02/01/1902,43.186696,-84.4744347
Athens,Michigan,07/01/1902,42.0886576,-85.2347052
Atkins,Michigan,10/01/1903,43.0630836,-82.5768666
Attica,Michigan,10/01/1903,43.0303053,-83.1660514
Auburn,Michigan,03/01/1902,43.6033583,-84.0697048
Augres,Michigan,04/01/1904,43.988923,-83.6823189
Augusta,Michigan,10/01/1903,42.3364294,-85.3522219
Avoca,Michigan,11/02/1903,43.0619715,-82.6910367
Azalia,Michigan,07/01/1903,42.018933,-83.665771
Bad Axe,Michigan,08/01/1902,43.8019592,-83.0007774
Bancroft,Michigan,05/01/1900,42.8786421,-84.0638525
Bangor,Michigan,04/01/1903,42.3125356,-86.1130794
Bannister,Michigan,03/16/1903,43.1325286,-84.4216521
Baroda,Michigan,10/01/1903,41.9570248,-86.4843483
Barryton,Michigan,04/15/1904,43.7525253,-85.1469787
Batavia,Michigan,08/01/1904,41.9125489,-85.0980258
Bath,Michigan,04/01/1902,42.8189923,-84.4489754
Battlecreek,Michigan,04/02/1900,nf,nf
Bay City,Michigan,10/01/1900,43.5944677,-83.8888648
Bayport,Michigan,09/01/1902,42.8541948,-83.7177299
Bayshore,Michigan,07/15/1904,44.2559296,-83.5320379
Bearlake,Michigan,09/15/1903,nf,nf
Beaverton,Michigan,04/15/1904,43.8822464,-84.4847316
Belding,Michigan,10/01/1901,43.0978095,-85.228906
Bellaire,Michigan,10/15/1904,44.9802822,-85.2111728
Belleville,Michigan,03/01/1902,42.2047619,-83.4852133
Bellevue,Michigan,04/01/1903,42.4435593,-85.0178291
Belmont,Michigan,02/02/1903,43.0755822,-85.6091987
Bendon,Michigan,10/01/1903,44.6330566,-85.8378587
Bennington,Michigan,08/01/1902,42.9353058,-84.2419148
Benton Harbor,Michigan,10/15/1898,42.1167065,-86.4541894
Benzonia,Michigan,10/01/1903,44.6213885,-86.0992576
Berlamont,Michigan,06/01/1904,42.3900347,-85.9939137
Berlin,Michigan,09/15/1903,42.034624,-83.2525922947091
Berrien Center,Michigan,04/01/1903,41.9567124,-86.2766818
Berrien Springs,Michigan,10/01/1902,41.9464336,-86.3388965
