Name,Date,State
Ada,04/01/1904,Minnesota
Adams,01/02/1901,Minnesota
Adrian,08/15/1900,Minnesota
Afton,05/01/1901,Minnesota
Albany,09/15/1904,Minnesota
Albert Lea,11/01/1900,Minnesota
Alden,02/01/1902,Minnesota
Alexandria,02/01/1902,Minnesota
Alpha,08/15/1904,Minnesota
Amboy,05/14/1900,Minnesota
Amiret,03/02/1903,Minnesota
Annandale,03/02/1903,Minnesota
Anoka,05/01/1901,Minnesota
Appleton,02/01/1902,Minnesota
Arco,02/01/1904,Minnesota
Arlington,10/01/1902,Minnesota
Ashby,04/15/1904,Minnesota
Atwater,02/02/1903,Minnesota
Audubon,07/15/1904,Minnesota
Austin,10/16/1899,Minnesota
Avoca,01/15/1904,Minnesota
Avon,11/15/1904,Minnesota
Balaton,12/01/1900,Minnesota
Barnum,10/01/1900,Minnesota
Barrett,04/01/1903,Minnesota
Barry,02/02/1903,Minnesota
Battle Lake,01/01/1904,Minnesota
Beardsley,07/15/1904,Minnesota
Beavercreek,09/01/1902,Minnesota
Becker,12/15/1903,Minnesota
Belgrade,10/01/1901,Minnesota
Belleplaine,02/02/1903,Minnesota
Belview,09/01/1904,Minnesota
Bertha ,09/01/1903,Minnesota
Bigelow,09/15/1904,Minnesota
Biglake,02/01/1904,Minnesota
Bingham Lake,07/01/1902,Minnesota
Bird Island,11/02/1903,Minnesota
Blakely,02/02/1903,Minnesota
Blooming Prairie,02/01/1902,Minnesota
Blue Earth City,03/01/1902,Minnesota
Boyd,02/02/1903,Minnesota
Braham,12/01/1902,Minnesota
Brandon,04/15/1904,Minnesota
Brewster,08/01/1902,Minnesota
Bricelyn,12/02/1901,Minnesota
Brooten,05/02/1904,Minnesota
Browerville,02/01/1902,Minnesota
Brownsdale,05/02/1904,Minnesota
Brownton,11/02/1903,Minnesota
Buffalo,11/15/1902,Minnesota
Buffalo Lake,04/01/1902,Minnesota
Burtrum,06/01/1904,Minnesota
Butterfield,12/15/1903,Minnesota
Byron,02/15/1904,Minnesota
Caledonia,01/01/1902,Minnesota
Cambridge,11/01/1902,Minnesota
Canby,02/01/1904,Minnesota
Cannon Falls,03/01/1901,Minnesota
Canton,07/01/1902,Minnesota
Carlton,09/01/1904,Minnesota
Carver,03/02/1903,Minnesota
Cedar,03/02/1903,Minnesota
Center City,12/04/1900,Minnesota
Chandler,11/01/1902,Minnesota
Chaska,12/01/1902,Minnesota
Chatfield,06/18/1900,Minnesota
Chisago City,11/16/1903,Minnesota
Chokio,02/02/1903,Minnesota
Clara City,09/15/1904,Minnesota
