Name,State,Date,Latitude,Longitude
Ada,Minnesota,04/01/1904,47.299689,-96.5153463
Adams,Minnesota,01/02/1901,43.565067,-92.7185344
Adrian,Minnesota,08/15/1900,43.6349415,-95.9333548
Afton,Minnesota,05/01/1901,44.9027452,-92.7835373
Albany,Minnesota,09/15/1904,45.6299647,-94.5700048
Albert Lea,Minnesota,11/01/1900,43.6480127,-93.3682656
Alden,Minnesota,02/01/1902,43.6703382,-93.5761961
Alexandria,Minnesota,02/01/1902,45.8846686,-95.377883
Alpha,Minnesota,08/15/1904,43.6388459,-94.8708195
Amboy,Minnesota,05/14/1900,43.8880148,-94.1566258
Amiret,Minnesota,03/02/1903,44.316625,-95.6969587
Annandale,Minnesota,03/02/1903,45.2627428,-94.1244271
Anoka,Minnesota,05/01/1901,45.1977428,-93.3871758
Appleton,Minnesota,02/01/1902,45.1969058,-96.0197673
Arco,Minnesota,02/01/1904,44.3835765,-96.1836478
Arlington,Minnesota,10/01/1902,44.6082967,-94.0805278
Ashby,Minnesota,04/15/1904,46.093016,-95.8175498
Atwater,Minnesota,02/02/1903,45.138852,-94.7780564
Audubon,Minnesota,07/15/1904,46.8632922,-95.9817183
Austin,Minnesota,10/16/1899,43.6680928,-92.9744896
Avoca,Minnesota,01/15/1904,43.9497207,-95.6434184
Avon,Minnesota,11/15/1904,45.6091313,-94.4516668
Balaton,Minnesota,12/01/1900,44.2332955,-95.8722421
Barnum,Minnesota,10/01/1900,46.5030014,-92.6885313
Barrett,Minnesota,04/01/1903,45.9105157,-95.8903298
Barry,Minnesota,02/02/1903,45.5580184,-96.5592307
Battle Lake,Minnesota,01/01/1904,46.281056,-95.7139599
Beardsley,Minnesota,07/15/1904,45.5582951,-96.7122913
Beavercreek,Minnesota,09/01/1902,nf,nf
Becker,Minnesota,12/15/1903,46.9298236,-95.6761851
Belgrade,Minnesota,10/01/1901,45.4530207,-95.0044608
Belleplaine,Minnesota,02/02/1903,nf,nf
Belview,Minnesota,09/01/1904,44.6052358,-95.3294509
Bertha ,Minnesota,09/01/1903,46.2666295,-95.0628047
Bigelow,Minnesota,09/15/1904,43.505243,-95.6900136
Biglake,Minnesota,02/01/1904,nf,nf
Bingham Lake,Minnesota,07/01/1902,43.9066239,-95.0463791
Bird Island,Minnesota,11/02/1903,44.7674614,-94.8955521
Blakely,Minnesota,02/02/1903,44.1779088,-92.4643803
Blooming Prairie,Minnesota,02/01/1902,43.8660489,-93.0564198
Blue Earth City,Minnesota,03/01/1902,,
Boyd,Minnesota,02/02/1903,44.84857,-95.9030864
Braham,Minnesota,12/01/1902,45.7227387,-93.1707758
Brandon,Minnesota,04/15/1904,45.9651633,-95.5987378
Brewster,Minnesota,08/01/1902,43.698573,-95.4686153
Bricelyn,Minnesota,12/02/1901,43.5621765,-93.8118931
Brooten,Minnesota,05/02/1904,45.5010752,-95.1244669
Browerville,Minnesota,02/01/1902,46.0857974,-94.8658555
Brownsdale,Minnesota,05/02/1904,43.7402404,-92.8693543
Brownton,Minnesota,11/02/1903,44.7319068,-94.3502593
