Name,Date,State
Abbot,04/01/1903,Mississippi
Aberdeen,09/15/1903,Mississippi
Ackerman,09/01/1903,Mississippi
Amory,09/15/1903,Mississippi
Ashley,12/15/1904,Mississippi
Baldwin,12/01/1902,Mississippi
Batesville,09/01/1903,Mississippi
Bethany,10/01/1903,Mississippi
Blue Mountain,12/15/1904,Mississippi
Bluesprings,09/15/1903,Mississippi
Booneville,12/01/1902,Mississippi
Brookhaven,12/15/1904,Mississippi
Burnsville,11/15/1904,Mississippi
Caledonia,12/01/1902,Mississippi
Carthage,12/01/1904,Mississippi
Cedarbluff,04/01/1903,Mississippi
Centerville,12/01/1904,Mississippi
Chunkeys Station,03/02/1903,Mississippi
Clinton,11/01/1904,Mississippi
Columbus,12/01/1902,Mississippi
Conehatta,10/15/1904,Mississippi
Corinth,12/01/1902,Mississippi
Crawford,12/01/1902,Mississippi
Decatur,11/02/1903,Mississippi
Dennis,12/01/1904,Mississippi
Dixon,10/01/1903,Mississippi
Dryrun,10/01/1904,Mississippi
Eagle,01/15/1904,Mississippi
Eastman,02/01/1904,Mississippi
Edinburg,12/15/1904,Mississippi
Edwards,09/01/1903,Mississippi
Engine,10/01/1903,Mississippi
Enterprise,02/02/1903,Mississippi
Eupora,09/15/1903,Mississippi
Forest,09/15/1904,Mississippi
Fulton,12/01/1903,Mississippi
Greenwood Springs,06/01/1904,Mississippi
Guntown,12/01/1902,Mississippi
Hamilton,10/15/1904,Mississippi
Harperville,02/01/1904,Mississippi
Hazelhurst,03/02/1903,Mississippi
Hickory,10/01/1901,Mississippi
Iuka,09/01/1903,Mississippi
Jackson,04/01/1903,Mississippi
Java,10/01/1904,Mississippi
Kendrick,01/15/1904,Mississippi
Kossuth,04/01/1904,Mississippi
Lawrence,10/01/1904,Mississippi
Learned,09/15/1904,Mississippi
Leighton,12/01/1902,Mississippi
Liberty,12/01/1904,Mississippi
Louisville,05/16/1904,Mississippi
Lyon,11/15/1904,Mississippi
Maben,07/15/1904,Mississippi
Macon,10/15/1904,Mississippi
Marietta,10/15/1903,Mississippi
Mathiston,04/01/1903,Mississippi
Mc Cool,03/02/1903,Mississippi
Meridian,10/01/1903,Mississippi
Merigold,09/15/1904,Mississippi
Montpelier,04/01/1904,Mississippi
Morton,10/01/1904,Mississippi
Natchez,02/02/1903,Mississippi
Nettleton,12/01/1902,Mississippi
New Albany,09/01/1903,Mississippi
Newton,03/02/1903,Mississippi
Okolona,02/02/1903,Mississippi
Oxford,05/02/1904,Mississippi
Pheba,04/01/1904,Mississippi
Philadelphia,03/02/1903,Mississippi
Plantersville,05/16/1904,Mississippi
Pontotoc,09/01/1903,Mississippi
Quincy,10/15/1904,Mississippi
Rara Avis,12/01/1902,Mississippi
Ratliff,02/15/1904,Mississippi
Rienzi,12/01/1902,Mississippi
Ripley,08/01/1904,Mississippi
Saltillo,12/01/1902,Mississippi
Sapa,10/01/1904,Mississippi
Shannon,12/01/1902,Mississippi
Sibleyton,12/01/1904,Mississippi
Slate Spring,12/01/1904,Mississippi
Smithville,12/01/1902,Mississippi
Splunge,06/01/1904,Mississippi
Steens,06/15/1904,Mississippi
Sturgis,09/15/1903,Mississippi
Terry,09/15/1904,Mississippi
Tiplersville,07/15/1904,Mississippi
Toomsuba,03/02/1903,Mississippi
Troy,08/01/1904,Mississippi
Tupelo,12/01/1902,Mississippi
Union,11/02/1903,Mississippi
Venus,09/15/1904,Mississippi
Verona,05/16/1904,Mississippi
Wallerville,06/01/1904,Mississippi
Wallerville,08/01/1904,Mississippi
Waynesboro,09/01/1903,Mississippi
Weir,09/01/1903,Mississippi
Wesson,04/01/1903,Mississippi
West Point,03/01/1902,Mississippi
Winona,11/01/1904,Mississippi
