Name,State,Date,Latitude,Longitude
Abbot,Mississippi,04/01/1903,31.5597185,-91.3967439
Aberdeen,Mississippi,09/15/1903,33.828449,-88.5541782295075
Ackerman,Mississippi,09/01/1903,33.3117185,-89.1711082197867
Amory,Mississippi,09/15/1903,33.983388,-88.481099527705
Ashley,Mississippi,12/15/1904,31.8021065,-90.2631443
Baldwin,Mississippi,12/01/1902,34.5134326,-88.5983859
Batesville,Mississippi,09/01/1903,34.319065,-89.9278977537573
Bethany,Mississippi,10/01/1903,34.5053779,-88.7292226
Blue Mountain,Mississippi,12/15/1904,34.670931,-89.0264538
Bluesprings,Mississippi,09/15/1903,nf,nf
Booneville,Mississippi,12/01/1902,34.660563,-88.5672981527065
Brookhaven,Mississippi,12/15/1904,31.58369,-90.4418086715699
Burnsville,Mississippi,11/15/1904,34.8406453,-88.3147665
Caledonia,Mississippi,12/01/1902,33.682358,-88.3279287102843
Carthage,Mississippi,12/01/1904,32.7326356,-89.5361825
Cedarbluff,Mississippi,04/01/1903,nf,nf
Centerville,Mississippi,12/01/1904,33.4542887,-90.0350836
Chunkeys Station,Mississippi,03/02/1903,nf,nf
Clinton,Mississippi,11/01/1904,32.34672,-90.3390874161175
Columbus,Mississippi,12/01/1902,33.507352,-88.4047342638993
Conehatta,Mississippi,10/15/1904,32.455322,-89.2729314
Corinth,Mississippi,12/01/1902,34.943392,-88.5173238170979
Crawford,Mississippi,12/01/1902,33.3015121,-88.6147687
Decatur,Mississippi,11/02/1903,32.4390303,-89.1083912
Dennis,Mississippi,12/01/1904,34.5587071,-88.2261547
Dixon,Mississippi,10/01/1903,32.3257011,-90.2525899
Dryrun,Mississippi,10/01/1904,nf,nf
Eagle,Mississippi,01/15/1904,33.1317925,-88.6100454
Eastman,Mississippi,02/01/1904,34.3384341,-88.2361545
Edinburg,Mississippi,12/15/1904,32.7993005,-89.3361784
Edwards,Mississippi,09/01/1903,32.3301465,-90.6056548
Engine,Mississippi,10/01/1903,nf,nf
Enterprise,Mississippi,02/02/1903,32.1743154,-88.8197734
Eupora,Mississippi,09/15/1903,33.5406769,-89.2670124
Forest,Mississippi,09/15/1904,32.349231,-89.4715190656048
Fulton,Mississippi,12/01/1903,34.264446,-88.4015830170717
Greenwood Springs,Mississippi,06/01/1904,33.887054,-88.3089273
Guntown,Mississippi,12/01/1902,34.4431571,-88.6597758
Hamilton,Mississippi,10/15/1904,34.9167586,-89.0539534
Harperville,Mississippi,02/01/1904,32.4943075,-89.489513
Hazelhurst,Mississippi,03/02/1903,31.8929371,-90.4023145
Hickory,Mississippi,10/01/1901,32.3176442,-89.0256113
Iuka,Mississippi,09/01/1903,34.809352,-88.1941237263491
Jackson,Mississippi,04/01/1903,32.4104385,-90.162064888255
Java,Mississippi,10/01/1904,30.338841,-89.4020789
Kendrick,Mississippi,01/15/1904,34.9703648,-88.381711
Kossuth,Mississippi,04/01/1904,34.8720349,-88.6458856
Lawrence,Mississippi,10/01/1904,31.5129753,-90.1205396
Learned,Mississippi,09/15/1904,32.196817,-90.5473202
Leighton,Mississippi,12/01/1902,34.27029,-88.7387459
Liberty,Mississippi,12/01/1904,31.1582312,-90.8123243
Louisville,Mississippi,05/16/1904,33.122708,-89.0552371924791
Lyon,Mississippi,11/15/1904,34.2178865,-90.5420429
Maben,Mississippi,07/15/1904,33.5553988,-89.0847849
Macon,Mississippi,10/15/1904,33.12129,-88.5554791327214
