Name,Date,State
Aaron,02/15/1904,Missouri
Adrian,04/01/1902,Missouri
Agency,07/01/1902,Missouri
Alba,11/02/1903,Missouri
Albany,09/01/1903,Missouri
Alberton ,02/01/1902,Missouri
Aldrich,11/15/1904,Missouri
Alexandria,03/02/1903,Missouri
Allendale ,11/16/1903,Missouri
Allenton,06/01/1904,Missouri
Alllenville,09/15/1904,Missouri
Alma,09/01/1903,Missouri
Altamont,11/02/1903,Missouri
Altona,02/15/1904,Missouri
Amazonia,03/02/1903,Missouri
Amity,11/01/1901,Missouri
Amoret,02/15/1904,Missouri
Amsterdam,02/15/1904,Missouri
Anabel,10/01/1902,Missouri
Anabel,12/15/1902,Missouri
Anderson,04/01/1903,Missouri
Anglum,06/01/1904,Missouri
Anniston,09/01/1904,Missouri
Appleton City,03/15/1902,Missouri
Arbela,02/02/1903,Missouri
Archie,11/02/1903,Missouri
Armstrong,07/01/1902,Missouri
Asbury,12/02/1901,Missouri
Ashgrove,10/01/1903,Missouri
Ashland,04/15/1904,Missouri
Ashley,04/01/1904,Missouri
Atlanta,10/01/1902,Missouri
Atlanta,12/15/1902,Missouri
Aullville,03/02/1903,Missouri
Aurora,04/01/1903,Missouri
Auxvasse,12/01/1902,Missouri
Bachelor,10/01/1904,Missouri
Baring,10/01/1903,Missouri
Barnard,09/02/1901,Missouri
Barnett,08/15/1904,Missouri
Bates City,11/02/1903,Missouri
Bedford,09/15/1903,Missouri
Bellefontaine,06/01/1904,Missouri
Belton,11/01/1902,Missouri
Benton,03/15/1901,Missouri
Benton City,04/01/1904,Missouri
Berwick,07/15/1904,Missouri
Bethany,03/02/1903,Missouri
Bethel,09/01/1902,Missouri
Bevier,01/15/1904,Missouri
Bigelow,02/02/1903,Missouri
Billings,02/02/1903,Missouri
Blackburn,08/01/1904,Missouri
Blackwater,03/15/1901,Missouri
Blairstown,03/01/1902,Missouri
Blodgett,02/02/1903,Missouri
Bloomfield,09/15/1904,Missouri
Blue Springs,02/01/1902,Missouri
Blythedale,04/01/1903,Missouri
Bogard,03/02/1903,Missouri
Bois D’ Arc,10/01/1903,Missouri
Bolckow,10/01/1902,Missouri
Bolivar,07/01/1903,Missouri
Boonville,03/01/1901,Missouri
Bosworth,03/02/1903,Missouri
Bower Mills,10/15/1904,Missouri
Bowling Green,07/01/1901,Missouri
Brashear,09/15/1903,Missouri
Braymer,09/02/1901,Missouri
Breckinridge,09/02/1901,Missouri
Brimson,01/15/1904,Missouri
