Name,State,Date,Latitude,Longitude
Aaron,Missouri,02/15/1904,38.4230734,-94.1538332
Adrian,Missouri,04/01/1902,38.397518,-94.3516159
Agency,Missouri,07/01/1902,39.644718,-94.7399611
Alba,Missouri,11/02/1903,37.2383894,-94.4174489
Albany,Missouri,09/01/1903,40.2486069,-94.331068
Alberton ,Missouri,02/01/1902,nf,nf
Aldrich,Missouri,11/15/1904,37.5475408,-93.5546465
Alexandria,Missouri,03/02/1903,40.3594887,-91.455432
Allendale ,Missouri,11/16/1903,40.4855492,-94.2885672
Allenton,Missouri,06/01/1904,38.5036646,-90.6759615
Alllenville,Missouri,09/15/1904,nf,nf
Alma,Missouri,09/01/1903,39.0952954,-93.5452125
Altamont,Missouri,11/02/1903,39.8886155,-94.0891132
Altona,Missouri,02/15/1904,38.3997405,-94.2349463
Amazonia,Missouri,03/02/1903,39.8861052,-94.891913
Amity,Missouri,11/01/1901,39.8708312,-94.4357869
Amoret,Missouri,02/15/1904,38.2553017,-94.5877329
Amsterdam,Missouri,02/15/1904,38.3497423,-94.5891216
Anabel,Missouri,10/01/1902,39.7458688,-92.3332389
Anabel,Missouri,12/15/1902,39.7458688,-92.3332389
Anderson,Missouri,04/01/1903,36.650627,-94.44355
Anglum,Missouri,06/01/1904,38.7710445,-90.3887421
Anniston,Missouri,09/01/1904,36.8258878,-89.3278513
Appleton City,Missouri,03/15/1902,38.1905819,-94.0293867
Arbela,Missouri,02/02/1903,40.4625355,-92.0168425
Archie,Missouri,11/02/1903,38.4816813,-94.3543929
Armstrong,Missouri,07/01/1902,39.2697545,-92.7012937
Asbury,Missouri,12/02/1901,37.2744997,-94.6055102
Ashgrove,Missouri,10/01/1903,nf,nf
Ashland,Missouri,04/15/1904,38.7744802,-92.2571304
Ashley,Missouri,04/01/1904,39.2511547,-91.2204236
Atlanta,Missouri,10/01/1902,39.898646,-92.4810208
Atlanta,Missouri,12/15/1902,39.898646,-92.4810208
Aullville,Missouri,03/02/1903,39.0177901,-93.6779944
Aurora,Missouri,04/01/1903,36.970891,-93.717979
Auxvasse,Missouri,12/01/1902,39.0180962,-91.8971198
Bachelor,Missouri,10/01/1904,38.9933725,-91.7721151
Baring,Missouri,10/01/1903,40.2442046,-92.2057395
Barnard,Missouri,09/02/1901,40.1744363,-94.8238577
Barnett,Missouri,08/15/1904,38.3783618,-92.6746337
Bates City,Missouri,11/02/1903,39.0061187,-94.072446
Bedford,Missouri,09/15/1903,39.6961324,-93.3729874
Bellefontaine,Missouri,06/01/1904,38.025884,-90.7001298
Belton,Missouri,11/01/1902,38.8119527,-94.5318982
Benton,Missouri,03/15/1901,38.2930723,-93.3036786
Benton City,Missouri,04/01/1904,39.1344837,-91.7651669
Berwick,Missouri,07/15/1904,36.933119,-94.0946568
Bethany,Missouri,03/02/1903,40.2683344,-94.0282861
Bethel,Missouri,09/01/1902,39.8767065,-92.0240623
Bevier,Missouri,01/15/1904,39.7469768,-92.5640769
Bigelow,Missouri,02/02/1903,40.1105524,-95.2896996
Billings,Missouri,02/02/1903,37.0675544,-93.5521411
Blackburn,Missouri,08/01/1904,39.1064081,-93.4835442
Blackwater,Missouri,03/15/1901,38.9802996,-92.99075
Blairstown,Missouri,03/01/1902,38.5558482,-93.960774
Blodgett,Missouri,02/02/1903,37.0042161,-89.5270246
Bloomfield,Missouri,09/15/1904,36.8858853,-89.9292572
Blue Springs,Missouri,02/01/1902,39.01723,-94.2822095
Blythedale,Missouri,04/01/1903,40.4752789,-93.9268947
Bogard,Missouri,03/02/1903,39.4575206,-93.5235459
Bois D’ Arc,Missouri,10/01/1903,nf,nf
Bolckow,Missouri,10/01/1902,40.1130481,-94.8221907
Bolivar,Missouri,07/01/1903,37.6144838,-93.4104749
Boonville,Missouri,03/01/1901,38.9736392,-92.7432418
Bosworth,Missouri,03/02/1903,39.469745,-93.3346524
Bower Mills,Missouri,10/15/1904,nf,nf
Bowling Green,Missouri,07/01/1901,39.3419891,-91.1951437
Brashear,Missouri,09/15/1903,40.1489249,-92.3790771
Braymer,Missouri,09/02/1901,39.5869582,-93.796047
Breckinridge,Missouri,09/02/1901,29.5396213,-95.5093278
Brimson,Missouri,01/15/1904,40.1436209,-93.7388334
Briscoe,Missouri,02/01/1904,39.0819912,-91.0120842
Bronaugh,Missouri,09/01/1902,37.69421,-94.4688426
Brookfield,Missouri,11/01/1901,39.7844687,-93.0735348
Brookline Station,Missouri,10/01/1903,37.1632152,-93.4204818
Browning,Missouri,01/15/1901,40.0352984,-93.1624291
Brownington,Missouri,12/15/1903,38.2458581,-93.7229889
Brunswick,Missouri,05/16/1904,39.4233577,-93.1304782
Bucklin,Missouri,12/02/1901,39.7816731,-92.8903898
Buckner,Missouri,02/01/1902,39.132506,-94.1985575
Buffalo,Missouri,09/15/1903,37.6439289,-93.0924093
Bunceton,Missouri,07/01/1902,38.7880775,-92.7993592
Burksville,Missouri,12/01/1904,39.8619854,-91.9173913
Burlington Junction,Missouri,08/01/1900,40.4470801,-95.0665308
Butler,Missouri,03/01/1901,36.7151346,-90.4146358
Cainesville,Missouri,09/15/1903,nf,nf
