Name,Date
Adams,01/01/1904
Adams Basin,11/01/1901
Adams Center,07/01/1903
Adams Center,08/15/1903
Addison,12/02/1901
Afton,09/01/1903
Akin,03/01/1904
Akron,08/01/1901
Albion,12/01/1900
Alden,05/01/1902
Alexander,09/02/1901
Alfred Station,12/01/1903
Allegany,03/02/1903
Almond,03/01/1902
Alpine,09/01/1902
Altamont,05/16/1904
Altmar,10/01/1902
Altona ,07/01/1903
Amenia,10/01/1903
Amsterdam,11/01/1901
Andover,10/01/1903
Angelica,03/01/1902
Angola,09/02/1901
Antwerp,05/02/1898
Appleton,11/15/1901
Arcade,11/01/1900
Argyle,02/15/1904
Arkport,03/01/1902
Arlington,05/01/1902
Ashville,11/15/1900
Athens,11/02/1903
Attica,07/01/1903
Atwater,09/01/1903
Auburn,11/01/1900
Aurora,09/01/1903
Ava,09/01/1904
Avoca,10/01/1902
Avon ,11/01/1904
Bainbridge,10/01/1903
Baldwinsville,07/05/1898
Ballston Lake,11/02/1903
Ballston Spa,07/01/1903
Bangall,10/01/1902
Barker,10/03/1898
Barnards Crossing,08/15/1900
Barneveld,07/01/1903
Barton,07/01/1903
Basom,07/01/1902
Batavia,12/15/1900
Bath,11/01/1900
Beaver Dams,04/01/1904
Belmont,03/01/1902
Bemuspoint,12/15/1900
Bergen,01/15/1901
Berkshire,12/01/1902
Bern,07/01/1903
Bernhards Bay,07/01/1902
Binghamton,07/01/1902
Black River,01/01/1904
Blackcreek,03/01/1902
Blasdell,03/02/1903
Bliss,03/15/1900
Bloomville,04/01/1904
Blossvale,04/01/1903
Bluff Point,10/01/1901
Bolivar,04/01/1902
Bolton Landing,07/01/1903
Bombay,11/01/1904
Boonville,03/01/1902
Bouckville,11/02/1903
Bradford,10/01/1903
Brainard,09/15/1903
Branchport,02/15/1901
Brewerton,04/01/1903
Brewster,07/05/1899
Brighton,03/01/1902
Bristol Center,10/01/1903
Broadalbin,06/15/1904
Broadalbin,07/01/1903
Brockport,05/01/1900
Brocton,11/15/1900
Brokenstraw,09/15/1902
Brookton,07/01/1902
Brookton,09/01/1902
Brushton,12/01/1903
Burdett,11/16/1903
Burke,07/01/1903
Burt,11/15/1901
Buskirk Bridge,09/15/1903
Byron,02/15/1901
Caledonia,09/01/1903
Cambridge,03/01/1902
Camden,11/01/1900
Cameron,12/02/1901
Cameron Mills,10/01/1902
Camillus,02/01/1900
Campbell,10/01/1902
Canaan Four Corners,04/01/1902
Canajoharie,11/01/1901
Canandaigua,12/01/1900
Canaseraga,08/01/1904
Canastota,12/01/1900
Candor,07/01/1903
Caneadea,03/01/1902
Canisteo,03/01/1902
Canton,09/02/1901
Cape Vincent,07/01/1903
Carmel,04/01/1904
Carthage,10/15/1900
Cassadaga,01/02/1901
Cassville,12/02/1901
Castile,10/15/1900
Castleton,08/01/1902
Castorland,12/01/1902
Cato,02/02/1903
Catskill,05/01/1903
Cattaraugus,03/02/1903
Cayuga,01/01/1902
Cayuta,05/16/1904
Cazenovia,10/01/1903
Central Bridge,09/01/1904
Central Square,07/01/1903
Chafee,05/01/1902
Champlain,10/01/1903
Charlotte,01/01/1902
Chateaugay,07/01/1903
Chatham,03/01/1902
Chazy,12/15/1900
Chenango Forks,04/01/1904
Cherrycreek,09/15/1902
Chili,04/01/1901
Chili Station,07/01/1902
Chittenango,10/01/1903
Chittenango Station,04/01/1903
Churchville,11/15/1900
Churubusco,11/01/1904
Cincinnatus,02/02/1903
Clarence,05/01/1902
Clarence Center,05/01/1902
Clarkson,01/01/1902
Clay,10/15/1903
Clayton,07/01/1903
Clayville,08/01/1902
Clifton Springs,11/15/1900
Clinton,04/02/1900
Clinton Corners,10/01/1903
Clyde,11/01/1901
Clymer,09/15/1902
Coeymans Hollow,11/15/1904
Cohoes,04/01/1901
Coldbrook,11/02/1903
Colden,12/01/1902
Coldspring,09/01/1902
Collins,01/15/1902
Collins Center,01/15/1902
Colosse,01/15/1904
Conesus,04/01/1904
Conewango Valley,09/15/1902
Conewango Valley,07/01/1903
Constable,06/15/1904
Constableville,07/05/1899
Constantia,10/01/1903
Coopers Plains,11/15/1904
Cooperstown,10/01/1903
Copenhagen,07/01/1903
Corfu,03/01/1902
Corning,12/15/1900
Cortland,12/01/1900
Coshocton,10/01/1902
Cowlesville,03/02/1903
Coxsackie,11/01/1904
Cranesville,01/01/1904
Crittenden,01/15/1902
Croghan,05/16/1904
Croton On Hudson,01/01/1904
Cuba,03/01/1902
Cuyler,10/01/1903
Dalton,03/01/1902
Dansville,02/01/1902
Darien,02/01/1902
Darien Center,11/01/1900
De Kalb Junction,08/01/1901
Deansboro,02/01/1902
Deerfield,04/01/1902
Delancey,04/01/1904
Delanson,10/01/1903
Delevan,03/02/1903
Delhi,05/01/1903
Delmar,03/01/1902
Demster,09/01/1904
Depew,05/14/1900
Derby,09/02/1901
Deruyter,10/15/1904
Dewittville,09/15/1902
Dickinson Center,06/01/1904
Dormansville,11/01/1904
Dover Plains,10/01/1903
Dresden,08/01/1904
Dryden,12/15/1902
Duanesburg,11/15/1904
Dundee,07/01/1901
Dunkirk,09/15/1902
Durhamville,07/01/1903
Eagle Bridge,12/01/1902
Earlville,08/01/1902
East Aurora,10/01/1903
East Berne,08/01/1901
East Bethany,09/02/1901
East Bloomfield,02/02/1903
East Chatham,04/16/1900
East Concord,12/01/1902
East Greenbush,09/15/1903
East Hamlin,11/01/1902
East Nassau,09/15/1903
East Otto,12/01/1903
East Palmyra,10/01/1901
East Pembroke,02/01/1902
East Schodack,09/15/1903
East Syracuse,08/01/1902
Ebenezer,09/01/1903
Eden,07/01/1902
Edmeston,09/01/1904
Elba,10/15/1896
Elbridge,09/02/1901
Ellenburg Center,10/15/1903
Ellenburg Depot,02/15/1904
Ellicottville,02/15/1904
Elmira,06/04/1900
Ensenore,02/02/1903
Esperance,02/15/1904
Evans Mills,11/01/1901
Fabius,11/01/1904
Fairport,07/01/1902
Falconer,08/15/1900
Farmer,03/01/1902
Farmersville Station,10/01/1903
Fayetteville,04/01/1903
Fernwood,07/01/1903
Fillmore,10/15/1900
Fishkill,10/01/1903
Flycreek,08/01/1904
Fonda,03/01/1904
Forest,02/15/1904
Forestport,09/01/1904
Forestville,07/16/1900
Forks,01/15/1902
Fort Edward,09/15/1903
Fort Plain,03/01/1902
Frankfort,06/01/1901
Franklin,09/15/1903
Franklinville,03/02/1903
Fredonia,09/01/1900
Freehold,11/01/1904
Freeville,07/01/1902
Frewsburg,12/15/1900
Friendship,10/15/1903
Fulton,07/01/1903
Fultonville,07/01/1902
Gage,10/01/1901
Gainesville,02/01/1901
Galway,11/15/1904
Gansevoort,02/01/1904
Gardenville,12/15/1902
Gardiner,04/01/1904
Garrison,04/01/1902
Gasport,11/15/1901
Gates,02/15/1901
Geneseo,11/15/1904
Geneva,12/01/1900
Genoa,02/02/1903
Germantown,08/01/1899
Getzville,05/01/1902
Ghent,04/01/1902
Glenmont,01/15/1904
Glenmore,01/15/1904
Glens Falls,04/01/1903
Glenwood,05/01/1902
Gloversville,03/01/1902
Gouverneur,01/01/1904
Gowanda,07/01/1901
Grand Island,12/01/1902
Great Valley,03/02/1903
Greene,11/01/1901
Greenfield Center,11/01/1904
Greenville,07/01/1903
Greenwich,03/01/1902
Groton,08/01/1902
Groveland Station,10/15/1903
Guilford,07/01/1903
Hagaman,01/01/1902
Hague,11/01/1900
Halls Corners,03/01/1901
Hamburg,07/15/1902
Hamilton,08/01/1902
Hamlet,10/10/1898
Hamlin,05/01/1902
Hammond,08/01/1899
Hammondsport,11/15/1900
Hannibal,07/01/1903
Harford,12/01/1904
Harkness,07/01/1903
Harpursville,11/01/1900
Harrisville,02/01/1902
Hastings,10/15/1903
Hector,01/15/1904
Hemlock,09/15/1904
Henrietta,08/15/1900
Herkimer,12/02/1901
Heuvelton,11/01/1900
Hicksville,12/15/1904
Highland,05/02/1898
Hillsdale,07/01/1903
Hilton,11/01/1902
Himrod,07/01/1902
Hinsdale,11/15/1904
Holcomb,11/15/1904
Holland,05/01/1902
Holland Patent,07/01/1902
Holley,06/02/1902
Holmes,10/01/1903
Homer,10/01/1903
Honeoye Falls,01/01/1902
Hoosick Falls,07/01/1902
Hopewell Junction,05/01/1903
Hornellsville,11/01/1900
Horseheads,04/01/1902
Houghton,03/01/1902
Hubbardsville,10/01/1903
Hudson,05/16/1904
Hunt,10/01/1900
Huntington,07/01/1902
Hydepark,10/01/1900
Ilion,03/15/1901
Ira,09/01/1903
Irondequoit,10/02/1899
Irving,09/02/1901
Ischua,11/02/1903
Ithaca,07/01/1902
Jackson Corners,10/01/1903
Jamestown,08/15/1900
Jamesville,12/01/1903
Jasper,09/15/1903
Java Center,04/01/1904
Jerusalem,07/01/1903
Johnsonburg,11/02/1903
Johnsonville,08/01/1902
Johnstown,05/01/1903
Jordan,08/01/1901
Kanona,04/01/1902
Keeseville,12/01/1904
Kendall,09/15/1903
Kenmore,10/17/1898
Kennedy,11/15/1900
Kent,07/01/1902
