Name,Date,State
Alton,05/01/1903,New Hampshire
Amherst,02/01/1902,New Hampshire
Amherst,02/01/1902,New Hampshire
Andover,02/15/1904,New Hampshire
Antrim,12/15/1900,New Hampshire
Ashland,03/01/1902,New Hampshire
Ashuelot,04/01/1904,New Hampshire
Auburn,07/01/1902,New Hampshire
Bradford,03/01/1902,New Hampshire
Bristol,03/01/1902,New Hampshire
Canaan,12/15/1903,New Hampshire
Candia,02/01/1902,New Hampshire
Center Barnstead,05/16/1904,New Hampshire
Center Conway,02/01/1902,New Hampshire
Center Harbor,05/01/1903,New Hampshire
Chester,05/01/1903,New Hampshire
Claremont,08/01/1903,New Hampshire
Colebrook,08/01/1903,New Hampshire
Concord,09/05/1899,New Hampshire
Contoocook,11/01/1900,New Hampshire
Danbury,08/01/1903,New Hampshire
Derry,05/01/1903,New Hampshire
Dover,11/15/1900,New Hampshire
Durham,12/01/1902,New Hampshire
East Andover,10/01/1903,New Hampshire
Epping,12/01/1902,New Hampshire
Exeter,05/02/1904,New Hampshire
Farmington,05/01/1903,New Hampshire
Francestown,07/01/1901,New Hampshire
Franklin,02/15/1901,New Hampshire
Franklin Falls,03/15/1901,New Hampshire
Fremont,05/16/1904,New Hampshire
Gilmanton Iron Works,07/01/1903,New Hampshire
Goffstown,11/15/1900,New Hampshire
Gonic,09/01/1902,New Hampshire
Gossville,05/01/1903,New Hampshire
Grasmere,02/01/1902,New Hampshire
Greenland,05/16/1904,New Hampshire
Hancock,10/01/1902,New Hampshire
Henniker,03/01/1902,New Hampshire
Hill,08/01/1903,New Hampshire
Hudson,12/02/1901,New Hampshire
Keene,10/15/1904,New Hampshire
Laconia,06/01/1901,New Hampshire
Lakeport,02/15/1902,New Hampshire
Lancaster,01/01/1902,New Hampshire
Lisbon,11/01/1902,New Hampshire
Littleton,12/01/1902,New Hampshire
Manchester,10/15/1900,New Hampshire
Marlboro,05/02/1904,New Hampshire
Mason,04/01/1904,New Hampshire
Meredith,02/01/1902,New Hampshire
Milford,03/01/1901,New Hampshire
Moultonboro,07/15/1903,New Hampshire
Mount Vernon,07/01/1901,New Hampshire
Nashua ,11/01/1900,New Hampshire
New Boston,07/01/1901,New Hampshire
New Durham,05/01/1903,New Hampshire
New London,02/02/1903,New Hampshire
Newbury,07/01/1902,New Hampshire
Newmarket,09/01/1903,New Hampshire
North Chichester,09/15/1899,New Hampshire
North Conway,05/16/1904,New Hampshire
North Hampton,09/01/1903,New Hampshire
North Haverhill,02/02/1903,New Hampshire
Petersboro,07/05/1899,New Hampshire
Pike Station,11/01/1901,New Hampshire
Pittsburg,05/16/1904,New Hampshire
Pittsfield,10/20/1898,New Hampshire
Plymouth,09/01/1900,New Hampshire
Portsmouth,05/01/1903,New Hampshire
Raymond,02/01/1902,New Hampshire
Reads Ferry,02/01/1902,New Hampshire
Rochester,05/15/1901,New Hampshire
Salem Depot,04/01/1904,New Hampshire
Somerworth,02/01/1902,New Hampshire
South Lyndeboro,03/01/1901,New Hampshire
Stratham,12/15/1900,New Hampshire
Suncook,05/01/1903,New Hampshire
Tilton,04/01/1901,New Hampshire
Walpole,06/02/1902,New Hampshire
Warner,07/01/1901,New Hampshire
West Canaan ,12/15/1903,New Hampshire
West Lebanon,09/01/1900,New Hampshire
Whitefield,08/01/1903,New Hampshire
Wilton,12/01/1900,New Hampshire
Winchester,08/01/1903,New Hampshire
Woodsville,03/15/1901,New Hampshire
