Name,Date,State
Allendale,07/01/1903,New Jersey
Asbury Park,01/01/1904,New Jersey
Bellemead,09/01/1903,New Jersey
Belmar,09/01/1903,New Jersey
Belvidere,10/01/1901,New Jersey
Berlin,07/01/1903,New Jersey
Beverly,02/01/1904,New Jersey
Beverly,07/01/1901,New Jersey
Blairstown,09/15/1903,New Jersey
Bloomsbury,09/01/1903,New Jersey
Boonton,12/15/1903,New Jersey
Boundbrook,09/01/1904,New Jersey
Bridgeton,04/01/1902,New Jersey
Bridgeville,01/01/1904,New Jersey
Broadway,12/01/1904,New Jersey
Burlington,10/01/1900,New Jersey
Camden,10/01/1900,New Jersey
Chatham,11/01/1898,New Jersey
Clarksboro,04/01/1902,New Jersey
Columbus,07/01/1901,New Jersey
Cranbury,02/01/1902,New Jersey
Danville,09/01/1903,New Jersey
Delaware,08/01/1899,New Jersey
Dover,12/15/1903,New Jersey
Elmer,07/01/1903,New Jersey
Englewood,09/02/1901,New Jersey
Englishtown,08/01/1902,New Jersey
Franklinville,06/01/1904,New Jersey
Hackensack,09/02/1901,New Jersey
Haddonfield,07/01/1902,New Jersey
Hightstown,08/01/1903,New Jersey
Jamesburg,08/01/1902,New Jersey
Jobstown,07/01/1902,New Jersey
Kinkora,01/01/1904,New Jersey
Lafayette,07/01/1903,New Jersey
Laurel Springs,05/16/1904,New Jersey
Marlton,12/01/1898,New Jersey
Medford,11/01/1900,New Jersey
Merchantville,07/01/1901,New Jersey
Midlandpark,07/01/1903,New Jersey
Milford,09/01/1903,New Jersey
Millstone,08/01/1902,New Jersey
Millville,12/15/1904,New Jersey
Monmouth Junction,12/01/1904,New Jersey
Monroeville,12/15/1902,New Jersey
Montville,08/01/1903,New Jersey
Moorestown,06/06/1898,New Jersey
Morristown,07/01/1903,New Jersey
Mount Ephraim,09/15/1903,New Jersey
Mount Holly,12/01/1902,New Jersey
Mount Laurel,01/01/1899,New Jersey
Mullica Hill,04/01/1902,New Jersey
New Brunswick,09/15/1900,New Jersey
Newfield,09/02/1901,New Jersey
Newfoundland,12/01/1903,New Jersey
Newton,05/01/1900,New Jersey
Orange,05/02/1904,New Jersey
Oxford,03/01/1902,New Jersey
Palmyra,12/01/1898,New Jersey
Paterson,05/01/1902,New Jersey
Pattenburg,07/01/1904,New Jersey
Paulsboro,08/01/1902,New Jersey
Pedricktown,11/02/1903,New Jersey
Penngrove,11/02/1903,New Jersey
Phillipsburg,10/15/1900,New Jersey
Pittstown,11/01/1900,New Jersey
Plainfield,12/01/1903,New Jersey
Port Murray,07/01/1903,New Jersey
Princeton,08/01/1903,New Jersey
Rahway,11/16/1903,New Jersey
Ramsey,12/15/1904,New Jersey
Redbank,08/01/1902,New Jersey
Ridgewood,11/01/1901,New Jersey
Riverside,02/01/1902,New Jersey
Riverton,06/13/1898,New Jersey
Robbinsville,04/01/1904,New Jersey
Salem,11/02/1903,New Jersey
Sewell,07/01/1901,New Jersey
Sicklerville,03/01/1904,New Jersey
Somerville,09/15/1904,New Jersey
Stewartsville,11/01/1900,New Jersey
Sussex,05/01/1903,New Jersey
Swedesboro,04/01/1902,New Jersey
Thorofare,12/15/1902,New Jersey
Townsbury,01/15/1904,New Jersey
Trenton,04/01/1902,New Jersey
Tuckahoe,10/01/1904,New Jersey
Tuckerton,10/01/1903,New Jersey
Vincetown,07/01/1901,New Jersey
Vineland,12/01/1900,New Jersey
Washington,06/15/1904,New Jersey
Westwood,01/01/1902,New Jersey
Whippany,04/01/1902,New Jersey
Woodstown,11/02/1903,New Jersey
