Name,Date,State
Adams,01/01/1904,New York
Adams Basin,11/01/1901,New York
Adams Center,07/01/1903,New York
Adams Center,08/15/1903,New York
Addison,12/02/1901,New York
Afton,09/01/1903,New York
Akin,03/01/1904,New York
Akron,08/01/1901,New York
Albion,12/01/1900,New York
Alden,05/01/1902,New York
Alexander,09/02/1901,New York
Alfred Station,12/01/1903,New York
Allegany,03/02/1903,New York
Almond,03/01/1902,New York
Alpine,09/01/1902,New York
Altamont,05/16/1904,New York
Altmar,10/01/1902,New York
Altona ,07/01/1903,New York
Amenia,10/01/1903,New York
Amsterdam,11/01/1901,New York
Andover,10/01/1903,New York
Angelica,03/01/1902,New York
Angola,09/02/1901,New York
Antwerp,05/02/1898,New York
Appleton,11/15/1901,New York
Arcade,11/01/1900,New York
Argyle,02/15/1904,New York
Arkport,03/01/1902,New York
Arlington,05/01/1902,New York
Ashville,11/15/1900,New York
Athens,11/02/1903,New York
Attica,07/01/1903,New York
Atwater,09/01/1903,New York
Auburn,11/01/1900,New York
Aurora,09/01/1903,New York
Ava,09/01/1904,New York
Avoca,10/01/1902,New York
Avon ,11/01/1904,New York
Bainbridge,10/01/1903,New York
Baldwinsville,07/05/1898,New York
Ballston Lake,11/02/1903,New York
Ballston Spa,07/01/1903,New York
Bangall,10/01/1902,New York
Barker,10/03/1898,New York
Barnards Crossing,08/15/1900,New York
Barneveld,07/01/1903,New York
Barton,07/01/1903,New York
Basom,07/01/1902,New York
Batavia,12/15/1900,New York
Bath,11/01/1900,New York
Beaver Dams,04/01/1904,New York
Belmont,03/01/1902,New York
Bemuspoint,12/15/1900,New York
Bergen,01/15/1901,New York
Berkshire,12/01/1902,New York
Bern,07/01/1903,New York
Bernhards Bay,07/01/1902,New York
Binghamton,07/01/1902,New York
Black River,01/01/1904,New York
Blackcreek,03/01/1902,New York
Blasdell,03/02/1903,New York
Bliss,03/15/1900,New York
Bloomville,04/01/1904,New York
Blossvale,04/01/1903,New York
Bluff Point,10/01/1901,New York
Bolivar,04/01/1902,New York
Bolton Landing,07/01/1903,New York
Bombay,11/01/1904,New York
Boonville,03/01/1902,New York
Bouckville,11/02/1903,New York
Bradford,10/01/1903,New York
Brainard,09/15/1903,New York
Branchport,02/15/1901,New York
Brewerton,04/01/1903,New York
Brewster,07/05/1899,New York
Brighton,03/01/1902,New York
Bristol Center,10/01/1903,New York
Broadalbin,06/15/1904,New York
Broadalbin,07/01/1903,New York
Brockport,05/01/1900,New York
Brocton,11/15/1900,New York
Brokenstraw,09/15/1902,New York
Brookton,07/01/1902,New York
Brookton,09/01/1902,New York
Brushton,12/01/1903,New York
Burdett,11/16/1903,New York
Burke,07/01/1903,New York
Burt,11/15/1901,New York
Buskirk Bridge,09/15/1903,New York
Byron,02/15/1901,New York
Caledonia,09/01/1903,New York
Cambridge,03/01/1902,New York
Camden,11/01/1900,New York
Cameron,12/02/1901,New York
Cameron Mills,10/01/1902,New York
Camillus,02/01/1900,New York
Campbell,10/01/1902,New York
Canaan Four Corners,04/01/1902,New York
Canajoharie,11/01/1901,New York
Canandaigua,12/01/1900,New York
Canaseraga,08/01/1904,New York
Canastota,12/01/1900,New York
Candor,07/01/1903,New York
Caneadea,03/01/1902,New York
Canisteo,03/01/1902,New York
Canton,09/02/1901,New York
Cape Vincent,07/01/1903,New York
Carmel,04/01/1904,New York
Carthage,10/15/1900,New York
Cassadaga,01/02/1901,New York
Cassville,12/02/1901,New York
Castile,10/15/1900,New York
Castleton,08/01/1902,New York
Castorland,12/01/1902,New York
Cato,02/02/1903,New York
Catskill,05/01/1903,New York
Cattaraugus,03/02/1903,New York
Cayuga,01/01/1902,New York
Cayuta,05/16/1904,New York
Cazenovia,10/01/1903,New York
Central Bridge,09/01/1904,New York
Central Square,07/01/1903,New York
Chafee,05/01/1902,New York
Champlain,10/01/1903,New York
Charlotte,01/01/1902,New York
Chateaugay,07/01/1903,New York
Chatham,03/01/1902,New York
Chazy,12/15/1900,New York
Chenango Forks,04/01/1904,New York
Cherrycreek,09/15/1902,New York
Chili,04/01/1901,New York
Chili Station,07/01/1902,New York
Chittenango,10/01/1903,New York
Chittenango Station,04/01/1903,New York
Churchville,11/15/1900,New York
Churubusco,11/01/1904,New York
Cincinnatus,02/02/1903,New York
Clarence,05/01/1902,New York
Clarence Center,05/01/1902,New York
Clarkson,01/01/1902,New York
Clay,10/15/1903,New York
Clayton,07/01/1903,New York
Clayville,08/01/1902,New York
Clifton Springs,11/15/1900,New York
Clinton,04/02/1900,New York
Clinton Corners,10/01/1903,New York
Clyde,11/01/1901,New York
Clymer,09/15/1902,New York
Coeymans Hollow,11/15/1904,New York
Cohoes,04/01/1901,New York
Coldbrook,11/02/1903,New York
Colden,12/01/1902,New York
Coldspring,09/01/1902,New York
Collins,01/15/1902,New York
Collins Center,01/15/1902,New York
Colosse,01/15/1904,New York
Conesus,04/01/1904,New York
Conewango Valley,09/15/1902,New York
