Name,State,Date,Latitude,Longitude
Adams,New York,01/01/1904,43.8092321,-76.0240892
Adams Basin,New York,11/01/1901,43.1961806,-77.8571354
Adams Center,New York,07/01/1903,43.8600635,-76.0054785
Adams Center,New York,08/15/1903,43.8600635,-76.0054785
Addison,New York,12/02/1901,42.1028514,-77.2335879
Afton,New York,09/01/1903,42.228136,-75.5265715
Akin,New York,03/01/1904,42.920736,-73.5136469
Akron,New York,08/01/1901,43.0150996,-78.4945499453653
Albion,New York,12/01/1900,43.2464874,-78.1935159
Alden,New York,05/01/1902,42.9000596,-78.4919671
Alexander,New York,09/02/1901,42.9011711,-78.2566834
Alfred Station,New York,12/01/1903,42.2697921,-77.7591607
Allegany,New York,03/02/1903,42.2446061,-78.0419281
Almond,New York,03/01/1902,42.3222916,-77.738327
Alpine,New York,09/01/1902,42.3131298,-76.7241178
Altamont,New York,05/16/1904,42.7006324,-74.0337382
Altmar,New York,10/01/1902,43.5100703,-76.002142
Altona ,New York,07/01/1903,44.8883722,-73.6556985
Amenia,New York,10/01/1903,41.8492599,-73.5567919
Amsterdam,New York,11/01/1901,42.943367,-74.1850436
Andover,New York,10/01/1903,42.1564581,-77.7955509
Angelica,New York,03/01/1902,42.3067345,-78.0158388
Angola,New York,09/02/1901,42.6383925,-79.0278156
Antwerp,New York,05/02/1898,44.1992272,-75.6068791
Appleton,New York,11/15/1901,43.3271814,-78.6487085
Arcade,New York,11/01/1900,42.5339513,-78.4230737
Argyle,New York,02/15/1904,43.2378519,-73.4915018
Arkport,New York,03/01/1902,42.3945133,-77.6966596
Arlington,New York,05/01/1902,40.6323257,-74.1651437
Ashville,New York,11/15/1900,42.096446,-79.3756044
Athens,New York,11/02/1903,42.2603648,-73.8095707
Attica,New York,07/01/1903,42.8642267,-78.2802946
Atwater,New York,09/01/1903,40.5851205,-73.9733261
Auburn,New York,11/01/1900,42.9320202,-76.5672029
Aurora,New York,09/01/1903,42.7338777,-78.6374367434978
Ava,New York,09/01/1904,43.4189585,-75.4793436
Avoca,New York,10/01/1902,42.4091649,-77.4206245
Avon ,New York,11/01/1904,42.9119925,-77.7454567
Bainbridge,New York,10/01/1903,42.2934131,-75.4793477
Baldwinsville,New York,07/05/1898,43.1586786,-76.3327095
Ballston Lake,New York,11/02/1903,42.9117428,-73.8681782
Ballston Spa,New York,07/01/1903,43.0009087,-73.8490111
Bangall,New York,10/01/1902,41.8756486,-73.6912393
Barker,New York,10/03/1898,43.3303344,-78.5545308
Barnards Crossing,New York,08/15/1900,nf,nf
Barneveld,New York,07/01/1903,43.2722916,-75.1898871
Barton,New York,07/01/1903,42.042852,-76.4485515
Basom,New York,07/01/1902,43.0672812,-78.3914111
Batavia,New York,12/15/1900,42.9980144,-78.1875515
Bath,New York,11/01/1900,42.3370164,-77.3177577
Beaver Dams,New York,04/01/1904,42.2911853,-76.9596855
Belmont,New York,03/01/1902,42.2231241,-78.0344506
Bemuspoint,New York,12/15/1900,nf,nf
Bergen,New York,01/15/1901,43.0853911,-77.9417136
Berkshire,New York,12/01/1902,43.0492397,-74.3190238
Bern,New York,07/01/1903,40.69462425,-73.9856361
Bernhards Bay,New York,07/01/1902,43.2445133,-75.933527
Binghamton,New York,07/01/1902,42.096968,-75.914341
Black River,New York,01/01/1904,44.0070824,-75.7925007
Blackcreek,New York,03/01/1902,nf,nf
Blasdell,New York,03/02/1903,42.797281,-78.8233661
Bliss,New York,03/15/1900,42.5770065,-78.2527907
Bloomville,New York,04/01/1904,42.3334161,-74.8076575
Blossvale,New York,04/01/1903,43.2797915,-75.6435156
Bluff Point,New York,10/01/1901,43.0620098,-76.710784
Bolivar,New York,04/01/1902,43.0711783,-75.8888033
Bolton Landing,New York,07/01/1903,43.5572898,-73.6548408
Bombay,New York,11/01/1904,44.9389348,-74.5676877
Boonville,New York,03/01/1902,43.4836801,-75.3365607
Bouckville,New York,11/02/1903,42.8892358,-75.5512901
Bradford,New York,10/01/1903,42.3711837,-77.1088596
Brainard,New York,09/15/1903,42.4959149,-73.5120564
Branchport,New York,02/15/1901,42.5986805,-77.1538624
Brewerton,New York,04/01/1903,43.2381242,-76.1407575
Brewster,New York,07/05/1899,41.3973335,-73.6171915
Brighton,New York,03/01/1902,42.9911685,-78.8369796
Bristol Center,New York,10/01/1903,42.8096572,-77.3916353
Broadalbin,New York,06/15/1904,43.0586846,-74.1965206
Broadalbin,New York,07/01/1903,43.0586846,-74.1965206
Brockport,New York,05/01/1900,43.2136713,-77.9391797
Brocton,New York,11/15/1900,42.3886688,-79.4411573
Brokenstraw,New York,09/15/1902,42.0069211,-79.5437492
Brookton,New York,07/01/1902,nf,nf
Brookton,New York,09/01/1902,nf,nf
Brushton,New York,12/01/1903,44.8303288,-74.5135123
Burdett,New York,11/16/1903,42.4200726,-76.8488463
Burke,New York,07/01/1903,44.9047681,-74.1693397
Burt,New York,11/15/1901,43.3164256,-78.7135965
Buskirk Bridge,New York,09/15/1903,42.9536888,-73.4342797
Byron,New York,02/15/1901,43.0797824,-78.0639037
Caledonia,New York,09/01/1903,42.9731175,-77.852785
Cambridge,New York,03/01/1902,43.0281329,-73.3812231
Camden,New York,11/01/1900,43.3345138,-75.747964
Cameron,New York,12/02/1901,42.199239,-77.4063715
Cameron Mills,New York,10/01/1902,42.1803504,-77.3635923
Camillus,New York,02/01/1900,43.039233,-76.3040965
Campbell,New York,10/01/1902,42.2331295,-77.1974748
Canaan Four Corners,New York,04/01/1902,nf,nf
Canajoharie,New York,11/01/1901,42.9056288,-74.5718073
Canandaigua,New York,12/01/1900,42.8844625,-77.278399
Canaseraga,New York,08/01/1904,42.4614564,-77.7769405
Canastota,New York,12/01/1900,43.0795121,-75.7507413
Candor,New York,07/01/1903,42.232902,-76.3424188
Caneadea,New York,03/01/1902,42.3864543,-78.1536209
Canisteo,New York,03/01/1902,42.2703487,-77.6058225
Canton,New York,09/02/1901,44.5956163,-75.1690942
Cape Vincent,New York,07/01/1903,44.1278299,-76.3330006
Carmel,New York,04/01/1904,41.4266361,-73.6788272
Carthage,New York,10/15/1900,43.9781236,-75.6093591
Cassadaga,New York,01/02/1901,42.3442247,-79.309489
Cassville,New York,12/02/1901,42.9459036,-75.2543302
Castile,New York,10/15/1900,42.6289515,-78.0544514
Castleton,New York,08/01/1902,40.6131597,-74.1223647
Castorland,New York,12/01/1902,43.8884026,-75.5112979
Cato,New York,02/02/1903,43.1681226,-76.5729987
Catskill,New York,05/01/1903,42.2173102,-73.8645734
Cattaraugus,New York,03/02/1903,42.2234823,-78.6477096
Cayuga,New York,01/01/1902,42.8093409,-76.5700777
Cayuta,New York,05/16/1904,42.2817412,-76.6968945
Cazenovia,New York,10/01/1903,42.9300668,-75.8526915
Central Bridge,New York,09/01/1904,42.7111862,-74.3387443
Central Square,New York,07/01/1903,43.2867356,-76.1460357
Chafee,New York,05/01/1902,nf,nf
Champlain,New York,10/01/1903,44.9864273,-73.4465251
Charlotte,New York,01/01/1902,43.2550618,-77.6169467
Chateaugay,New York,07/01/1903,44.9264337,-74.0796081
Chatham,New York,03/01/1902,42.3642517,-73.5948391
Chazy,New York,12/15/1900,44.889762,-73.4359687
Chenango Forks,New York,04/01/1904,42.2356313,-75.8482503
Cherrycreek,New York,09/15/1902,nf,nf
Chili,New York,04/01/1901,-29.9149704,-71.2500968
Chili Station,New York,07/01/1902,43.0843793,-77.7387203
Chittenango,New York,10/01/1903,43.0450671,-75.86658
Chittenango Station,New York,04/01/1903,42.982502,-75.848136381043
Churchville,New York,11/15/1900,43.1042278,-77.8844543
Churubusco,New York,11/01/1904,44.9539315,-73.9315417
Cincinnatus,New York,02/02/1903,42.5422923,-75.8957534
Clarence,New York,05/01/1902,42.9769726,-78.5920377
Clarence Center,New York,05/01/1902,43.0106139,-78.6375283
Clarkson,New York,01/01/1902,43.2331158,-77.9275129
Clay,New York,10/15/1903,43.1859013,-76.1724254
