Name,Date
Abbottsburg,10/15/1904
Advance,07/01/1902
Alexander,03/02/1903
Alexis,10/15/1904
Altamahaw,09/01/1904
Angier,10/01/1903
Apex,01/01/1902
Archer,06/01/1904
Arden,07/01/1902
Asheville,12/02/1901
Ashpole,05/01/1902
Atkinson,05/01/1903
Aulander,12/15/1903
Aurora,06/01/1904
Autryville,04/01/1904
Ayden,11/01/1902
Bahama,09/01/1904
Barber,04/01/1903
Barnesville,05/01/1903
Battleboro,07/01/1902
Bearcreek,03/02/1903
Beasley,10/01/1903
Beaufort,10/01/1903
Belew Creek,08/01/1904
Belgrade,04/01/1902
Belmont,12/01/1902
Belvidere,01/01/1904
Benaja,06/01/1904
Benson,03/02/1903
Bessemer City,03/01/1902
Bethel,11/01/1902
Biltmore,01/01/1902
Blackcreek,07/15/1904
Blackjack,04/01/1904
Blanch,10/01/1904
Boomer,02/02/1903
Boone,12/01/1904
Boonville,10/15/1904
Bostic,06/01/1904
Bower,04/01/1903
Brevard,03/02/1903
Bridgewater,09/01/1904
Brim,01/15/1904
Browns Summit,09/15/1903
Buies,11/01/1904
Burgaw,02/01/1902
Burlington,04/01/1903
Bynum,10/15/1904
Campbell,06/01/1904
Candler,03/02/1903
Canton,12/02/1901
Cardenas,10/15/1904
Cary,03/02/1903
Castoria,02/01/1904
Catawba,09/15/1904
Cerrogordo,06/01/1904
Chadbourn,07/01/1903
Chapelhill,11/02/1903
Charlotte,07/16/1900
China Grove,10/23/1896
Chocowinity,04/01/1902
Claremont,04/01/1903
Clarendon,06/15/1904
Clarkton,02/02/1903
Clayton,07/01/1902
Cleveland,04/01/1903
Clyde,12/02/1901
Colerain,01/01/1904
Concho,01/15/1904
Concord,04/01/1902
Conetoe,02/02/1903
Conover,04/01/1903
Corapeake,11/01/1904
Cove,02/02/1903
Coxville,04/01/1904
Creedmoor,03/01/1902
Crocker,10/15/1904
Crouse,02/01/1904
Cunningham,11/15/1904
Currie,04/15/1904
Dallas,12/01/1902
Dalton,11/01/1904
Dalton,12/01/1904
Danbury,10/01/1904
Davidson,10/01/1904
Davidsons River,03/02/1903
Dellar,06/15/1904
Deppe,10/01/1902
Derita,07/15/1903
Dover,01/01/1902
Duke,07/15/1904
Dunn,01/01/1902
Durham,03/01/1902
Edenton,11/01/1902
Elizabeth City,03/02/1903
Elizabethtown,09/01/1904
Ellenboro,03/02/1903
Elm City,07/01/1902
Elon College,03/01/1902
Enfield,06/01/1904
Essex,11/15/1904
Etowah,08/01/1904
Fairmount,02/02/1903
Fairview,03/01/1904
Faison,03/02/1903
Farmville,11/01/1902
Fayetteville,09/01/1903
Fletcher,07/01/1902
Forest City,04/01/1904
Fort Barnwell,01/01/1902
Fountain,06/01/1904
Fouroaks,01/01/1902
Francisco,11/01/1904
Franklin,04/01/1904
Franklinton,01/01/1902
Fremont,04/15/1904
Fuquay Springs,10/15/1904
Garland,04/01/1902
Garner,01/01/1902
Garysburg,01/01/1903
Gastonia,05/01/1902
Germanton,11/02/1903
Gibson,08/01/1900
Gibsonville,07/15/1904
Glass,09/15/1903
Glover,04/15/1904
Goldhill,04/01/1902
Goldsboro,03/02/1903
Gorman,03/01/1902
Graham,04/01/1903
Granite Falls,10/01/1902
Grassycreek,03/01/1902
Greensboro,08/01/1903
Greenville,09/02/1901
Grimesland,01/01/1904
Grover,10/01/1902
Guilford College,04/01/1903
Hallsville,05/16/1904
Hamptonville,08/01/1904
Harmony,08/15/1904
Harrellsville,10/15/1904
Hayesville,08/01/1904
Hays ,02/02/1903
Henderson,01/01/1902
Hendersonville,07/01/1904
Henry,11/01/1904
Hertford,05/01/1902
Hester,11/02/1903
Hickory,04/01/1903
Hiddenite,02/02/1903
Highpoint,07/01/1903
Hillsboro,10/15/1903
Hobgood,06/01/1904
Hollysprings,03/02/1903
Hope,02/02/1903
Hope Mills,06/01/1904
Horseshoe,03/02/1903
Hubert,05/02/1904
Huntersville,05/01/1902
Indiantrail,09/01/1904
Ivanhoe,04/15/1904
Jacksonville,03/02/1903
Jamesville,11/01/1902
Jessama,12/01/1904
Jonesboro,06/01/1904
Jubilee,06/01/1904
Julian,07/01/1904
Keener,05/02/1904
Kenansville,04/01/1903
Kenly,07/01/1902
Kernersville,03/01/1902
Kerr,06/01/1904
King,11/02/1903
Kings Mountain,03/01/1902
Kinston,07/01/1902
Kittrell,03/02/1903
La Grange,07/01/1902
Lake Landing,06/15/1904
Lattimore,04/01/1904
Laurinburg,02/15/1904
Leaksville,11/01/1904
Leland,10/15/1904
Lenoir,03/01/1902
Lexington,07/01/1902
Liberty,01/01/1902
Lillian,11/15/1904
Lillington,07/15/1904
Lincolnton,07/01/1903
Linwood,09/01/1903
Littleton,10/01/1904
Lockville,10/15/1904
Loray,08/01/1904
Louisburg,03/02/1903
Lowell,03/01/1902
Lucama,12/01/1903
Lucia,11/16/1903
Lumber Bridge,05/01/1903
Lumberton,10/01/1901
Lyons,05/16/1904
Macclesfield,12/15/1904
Macon,06/01/1904
Madison,04/01/1903
Magnolia,03/02/1903
Maiden,09/15/1904
Margaret,11/01/1904
Marietta,10/01/1904
Marshville,10/01/1903
Matthews,07/15/1903
Maxton,01/01/1902
Maysville,02/02/1903
Mc Cullers ,03/02/1903
Meadows,11/01/1904
Millboro,11/15/1904
Milton,11/02/1903
Mocksville,07/01/1902
Moltonville,12/15/1904
Monroe,08/01/1900
Mooresboro,11/01/1904
Mooresville,04/01/1903
Morganton,02/02/1903
Moriah,09/15/1904
Morrisville,08/01/1903
Morven,10/01/1904
Mount Airy,02/02/1903
Mount Holly,12/01/1902
Mount Olive,05/01/1903
Mount Pisgah,12/15/1904
Mount Ulla,11/15/1904
Murphy,03/02/1903
Nashville,08/01/1902
Neuse,06/01/1904
Newbern,01/01/1902
Newcastle,11/01/1904
Newell,09/01/1904
Newhill,04/15/1904
Newton,04/01/1902
Newton Grove,03/01/1904
Norlina,01/15/1904
Northside,05/16/1904
Old Hundred,05/01/1903
Olivebranch,08/15/1904
Ore Hill,01/01/1902
Orrum,11/01/1904
Oxford,05/01/1900
Palmyra,08/01/1904
Palmyra,11/01/1904
Parkton,05/01/1903
Peachland,01/01/1904
Pfafftown,04/01/1903
Pikeville,03/02/1903
Pilotmountain,10/01/1904
Pinelevel,09/15/1904
Pineville,05/01/1902
Pinnacle,08/01/1904
Pittsboro,10/15/1904
Plymouth,11/01/1902
Polloksville,05/16/1904
Poors Knob,01/15/1904
Price,10/15/1904
Princeton,08/01/1903
Raeford,07/15/1904
Raleigh,08/01/1900
Ramseur,01/15/1904
Randleman,07/15/1904
Red Springs,07/01/1902
Redwood,04/15/1904
Reepsville,11/01/1904
Reidsville,03/01/1902
Rennert,07/01/1902
Rich Square,05/16/1904
Richlands,04/01/1904
Riley,06/01/1904
Robersonville,11/01/1902
Robeson,11/01/1904
Rockcut,10/01/1903
Rockingham,10/01/1904
Rockwell,04/01/1902
Rocky Mount,07/01/1902
Rockypoint,07/01/1903
Rogers Store,11/15/1904
Roseboro,03/01/1904
Rosehill,12/02/1901
Rougemont,11/02/1903
Rowland,07/01/1902
Roxboro,03/01/1902
Ruralhall,04/01/1903
Rutherfordton,03/02/1903
Salisbury,04/01/1902
Sandifer,07/15/1903
Sandyridge,12/15/1904
Sanford,06/01/1904
Saratoga,12/01/1903
Scotland Neck,12/01/1903
Scranton,01/01/1904
Seaboard,01/01/1903
Selma,08/01/1903
Sevensprings,03/02/1903
Shallotte,04/01/1903
Shannon,10/01/1904
Sharpsburg,10/15/1904
Shelby,09/01/1902
Shelmerdine,11/01/1904
Silver City,08/01/1903
Skyland,04/01/1904
Smith,06/01/1904
Smithfield,07/23/1900
Snowhill,02/02/1903
Solitude,01/01/1904
South Washington,04/15/1904
Southcreek,06/01/1904
Speed,06/01/1904
Speights Bridge,02/02/1903
Stanley,10/15/1904
Statesville,04/01/1902
Stedman,11/01/1904
Stem,11/02/1903
Stokesdale,04/01/1903
Stoneville,04/01/1903
Stonypoint,10/01/1903
Summerfield,10/15/1902
Sunbury,10/15/1904
Supply,09/01/1904
Swanquarter,01/01/1904
Sylvester,10/01/1904
Tabor,07/01/1904
Tarboro,09/01/1903
Tarheel,11/15/1904
Taylor,05/16/1904
Taylorsville,03/01/1902
Thomasville,09/01/1903
Thompsonville,12/01/1904
Tillery,06/01/1904
Timberlake,11/01/1904
Tobaccoville,04/01/1903
Traphill,11/01/1904
Trenton,02/02/1903
Trinity,01/15/1904
Troutmans,04/01/1903
Turkey,04/01/1902
Tyner,05/16/1904
Unionridge,09/15/1904
Unionville,12/15/1904
Vanceboro,02/02/1903
Verona,06/01/1904
Vineland,04/01/1903
Wade,08/01/1904
Wadesboro,01/15/1904
Wake Forest,01/01/1902
Wakefield,03/02/1903
Wallace,04/01/1903
Walnutcove,11/02/1903
Wards Mill,06/01/1904
Warren Plains,10/01/1904
Warsaw,04/01/1902
Washington,04/01/1902
Waugh,12/15/1904
Waxhaw,02/01/1902
Waynesville,12/02/1901
Wentworth,11/02/1903
Westfield,12/15/1904
Whitakers,07/01/1902
Whiteville,05/01/1902
Whittier,11/01/1902
Wilkesboro,11/01/1904
Willard,10/15/1904
Williams,12/15/1904
Williamston,11/01/1902
Willow Spring,10/01/1903
Wilmington,07/16/1900
Wilsons Mills,10/01/1903
Windsor,12/01/1904
Wingate,08/01/1904
Winston-Salem,02/01/1902
Winterville,11/01/1902
Woodland,01/01/1903
Woodleaf,10/15/1904
Woodsdale,05/16/1904
Yadkinville,01/15/1904
Yanceyville,09/01/1904
Youngsville,01/01/1902
