Name,Date
Abercrombie,09/15/1904
Anamoose,06/01/1904
Argusville,05/16/1904
Bottineau,05/01/1900
Bowbells,08/01/1904
Buffalo,02/02/1903
Buxton,03/01/1902
Cando,07/15/1904
Carpio,09/15/1904
Carrington,08/01/1904
Cavalier,06/01/1904
Christine,01/01/1904
Churchs Ferry,12/01/1903
Cooperstown,11/02/1903
Crystal,05/16/1904
Cumings,12/01/1903
Davenport,12/01/1902
Delamere,12/15/1904
Devils Lake,10/01/1902
Donnybrook,11/02/1903
Drayton,12/01/1903
Edinburg,06/01/1904
Enderlin,03/01/1904
Englevale,10/15/1904
Fargo,03/01/1902
Fessenden,05/16/1904
Finley,07/15/1904
Fort Ransom,05/16/1904
Fullerton,12/01/1902
Gardner,02/01/1902
Grafton,03/02/1903
Grand Forks,12/01/1902
Griswold,02/02/1903
Hankinson,06/15/1904
Harwood,05/16/1904
Hatton,03/01/1902
Hickson,09/15/1904
Hillsboro,03/01/1902
Hoople,01/01/1904
Hoople,05/16/1904
Kenmare,12/01/1903
Kindred,02/01/1901
Lidgerwood,05/16/1904
Lisbon,03/01/1902
Litchville,05/16/1904
Marion,09/15/1904
Mayville,10/26/1898
Milton,06/01/1904
Monango,10/15/1904
Mooreton,03/01/1902
Neche,06/15/1904
Northwood,01/15/1904
Oriska,08/15/1904
Park River,06/01/1904
Portland,03/02/1903
Reynolds,12/01/1902
Saint Thomas,10/10/1898
Sanborn,10/15/1904
Sharon,10/15/1904
Sheldon,03/02/1903
Sheyenne,09/01/1904
Souris,07/01/1904
Thompson,04/01/1902
Tower City,05/02/1904
Valley City,03/01/1902
Wahpeton,10/03/1898
Walcot,09/15/1904
Walhalla,06/15/1904
Wheatland,01/01/1904
York,07/15/1904HISTORIAN
