Name,Date,State
Abbottsburg,10/15/1904,North Carolina
Advance,07/01/1902,North Carolina
Alexander,03/02/1903,North Carolina
Alexis,10/15/1904,North Carolina
Altamahaw,09/01/1904,North Carolina
Angier,10/01/1903,North Carolina
Apex,01/01/1902,North Carolina
Archer,06/01/1904,North Carolina
Arden,07/01/1902,North Carolina
Asheville,12/02/1901,North Carolina
Ashpole,05/01/1902,North Carolina
Atkinson,05/01/1903,North Carolina
Aulander,12/15/1903,North Carolina
Aurora,06/01/1904,North Carolina
Autryville,04/01/1904,North Carolina
Ayden,11/01/1902,North Carolina
Bahama,09/01/1904,North Carolina
Barber,04/01/1903,North Carolina
Barnesville,05/01/1903,North Carolina
Battleboro,07/01/1902,North Carolina
Bearcreek,03/02/1903,North Carolina
Beasley,10/01/1903,North Carolina
Beaufort,10/01/1903,North Carolina
Belew Creek,08/01/1904,North Carolina
Belgrade,04/01/1902,North Carolina
Belmont,12/01/1902,North Carolina
Belvidere,01/01/1904,North Carolina
Benaja,06/01/1904,North Carolina
Benson,03/02/1903,North Carolina
Bessemer City,03/01/1902,North Carolina
Bethel,11/01/1902,North Carolina
Biltmore,01/01/1902,North Carolina
Blackcreek,07/15/1904,North Carolina
Blackjack,04/01/1904,North Carolina
Blanch,10/01/1904,North Carolina
Boomer,02/02/1903,North Carolina
Boone,12/01/1904,North Carolina
Boonville,10/15/1904,North Carolina
Bostic,06/01/1904,North Carolina
Bower,04/01/1903,North Carolina
Brevard,03/02/1903,North Carolina
Bridgewater,09/01/1904,North Carolina
Brim,01/15/1904,North Carolina
Browns Summit,09/15/1903,North Carolina
Buies,11/01/1904,North Carolina
Burgaw,02/01/1902,North Carolina
Burlington,04/01/1903,North Carolina
Bynum,10/15/1904,North Carolina
Campbell,06/01/1904,North Carolina
Candler,03/02/1903,North Carolina
Canton,12/02/1901,North Carolina
Cardenas,10/15/1904,North Carolina
Cary,03/02/1903,North Carolina
Castoria,02/01/1904,North Carolina
Catawba,09/15/1904,North Carolina
Cerrogordo,06/01/1904,North Carolina
Chadbourn,07/01/1903,North Carolina
Chapelhill,11/02/1903,North Carolina
Charlotte,07/16/1900,North Carolina
China Grove,10/23/1896,North Carolina
Chocowinity,04/01/1902,North Carolina
Claremont,04/01/1903,North Carolina
Clarendon,06/15/1904,North Carolina
Clarkton,02/02/1903,North Carolina
Clayton,07/01/1902,North Carolina
Cleveland,04/01/1903,North Carolina
Clyde,12/02/1901,North Carolina
Colerain,01/01/1904,North Carolina
Concho,01/15/1904,North Carolina
Concord,04/01/1902,North Carolina
Conetoe,02/02/1903,North Carolina
Conover,04/01/1903,North Carolina
Corapeake,11/01/1904,North Carolina
Cove,02/02/1903,North Carolina
Coxville,04/01/1904,North Carolina
Creedmoor,03/01/1902,North Carolina
Crocker,10/15/1904,North Carolina
Crouse,02/01/1904,North Carolina
Cunningham,11/15/1904,North Carolina
Currie,04/15/1904,North Carolina
Dallas,12/01/1902,North Carolina
Dalton,11/01/1904,North Carolina
Dalton,12/01/1904,North Carolina
Danbury,10/01/1904,North Carolina
Davidson,10/01/1904,North Carolina
Davidsons River,03/02/1903,North Carolina
Dellar,06/15/1904,North Carolina
Deppe,10/01/1902,North Carolina
Derita,07/15/1903,North Carolina
Dover,01/01/1902,North Carolina
Duke,07/15/1904,North Carolina
Dunn,01/01/1902,North Carolina
Durham,03/01/1902,North Carolina
Edenton,11/01/1902,North Carolina
Elizabeth City,03/02/1903,North Carolina
Elizabethtown,09/01/1904,North Carolina
Ellenboro,03/02/1903,North Carolina
Elm City,07/01/1902,North Carolina
Elon College,03/01/1902,North Carolina
Enfield,06/01/1904,North Carolina
Essex,11/15/1904,North Carolina
Etowah,08/01/1904,North Carolina
Fairmount,02/02/1903,North Carolina
Fairview,03/01/1904,North Carolina
Faison,03/02/1903,North Carolina
Farmville,11/01/1902,North Carolina
Fayetteville,09/01/1903,North Carolina
Fletcher,07/01/1902,North Carolina
Forest City,04/01/1904,North Carolina
Fort Barnwell,01/01/1902,North Carolina
Fountain,06/01/1904,North Carolina
Fouroaks,01/01/1902,North Carolina
Francisco,11/01/1904,North Carolina
Franklin,04/01/1904,North Carolina
Franklinton,01/01/1902,North Carolina
Fremont,04/15/1904,North Carolina
Fuquay Springs,10/15/1904,North Carolina
Garland,04/01/1902,North Carolina
Garner,01/01/1902,North Carolina
Garysburg,01/01/1903,North Carolina
Gastonia,05/01/1902,North Carolina
Germanton,11/02/1903,North Carolina
Gibson,08/01/1900,North Carolina
Gibsonville,07/15/1904,North Carolina
Glass,09/15/1903,North Carolina
Glover,04/15/1904,North Carolina
Goldhill,04/01/1902,North Carolina
Goldsboro,03/02/1903,North Carolina
Gorman,03/01/1902,North Carolina
Graham,04/01/1903,North Carolina
Granite Falls,10/01/1902,North Carolina
Grassycreek,03/01/1902,North Carolina
Greensboro,08/01/1903,North Carolina
Greenville,09/02/1901,North Carolina
Grimesland,01/01/1904,North Carolina
Grover,10/01/1902,North Carolina
Guilford College,04/01/1903,North Carolina
Hallsville,05/16/1904,North Carolina
Hamptonville,08/01/1904,North Carolina
Harmony,08/15/1904,North Carolina
Harrellsville,10/15/1904,North Carolina
Hayesville,08/01/1904,North Carolina
Hays ,02/02/1903,North Carolina
Henderson,01/01/1902,North Carolina
Hendersonville,07/01/1904,North Carolina
Henry,11/01/1904,North Carolina
Hertford,05/01/1902,North Carolina
Hester,11/02/1903,North Carolina
Hickory,04/01/1903,North Carolina
Hiddenite,02/02/1903,North Carolina
Highpoint,07/01/1903,North Carolina
Hillsboro,10/15/1903,North Carolina
Hobgood,06/01/1904,North Carolina
Hollysprings,03/02/1903,North Carolina
Hope,02/02/1903,North Carolina
Hope Mills,06/01/1904,North Carolina
Horseshoe,03/02/1903,North Carolina
Hubert,05/02/1904,North Carolina
Huntersville,05/01/1902,North Carolina
Indiantrail,09/01/1904,North Carolina
Ivanhoe,04/15/1904,North Carolina
Jacksonville,03/02/1903,North Carolina
Jamesville,11/01/1902,North Carolina
Jessama,12/01/1904,North Carolina
Jonesboro,06/01/1904,North Carolina
Jubilee,06/01/1904,North Carolina
Julian,07/01/1904,North Carolina
Keener,05/02/1904,North Carolina
Kenansville,04/01/1903,North Carolina
Kenly,07/01/1902,North Carolina
Kernersville,03/01/1902,North Carolina
Kerr,06/01/1904,North Carolina
King,11/02/1903,North Carolina
Kings Mountain,03/01/1902,North Carolina
Kinston,07/01/1902,North Carolina
Kittrell,03/02/1903,North Carolina
La Grange,07/01/1902,North Carolina
Lake Landing,06/15/1904,North Carolina
Lattimore,04/01/1904,North Carolina
Laurinburg,02/15/1904,North Carolina
Leaksville,11/01/1904,North Carolina
Leland,10/15/1904,North Carolina
Lenoir,03/01/1902,North Carolina
Lexington,07/01/1902,North Carolina
Liberty,01/01/1902,North Carolina
Lillian,11/15/1904,North Carolina
Lillington,07/15/1904,North Carolina
Lincolnton,07/01/1903,North Carolina
Linwood,09/01/1903,North Carolina
Littleton,10/01/1904,North Carolina
Lockville,10/15/1904,North Carolina
Loray,08/01/1904,North Carolina
Louisburg,03/02/1903,North Carolina
Lowell,03/01/1902,North Carolina
Lucama,12/01/1903,North Carolina
Lucia,11/16/1903,North Carolina
Lumber Bridge,05/01/1903,North Carolina
Lumberton,10/01/1901,North Carolina
Lyons,05/16/1904,North Carolina
Macclesfield,12/15/1904,North Carolina
Macon,06/01/1904,North Carolina
Madison,04/01/1903,North Carolina
Magnolia,03/02/1903,North Carolina
Maiden,09/15/1904,North Carolina
Margaret,11/01/1904,North Carolina
Marietta,10/01/1904,North Carolina
Marshville,10/01/1903,North Carolina
Matthews,07/15/1903,North Carolina
Maxton,01/01/1902,North Carolina
Maysville,02/02/1903,North Carolina
Mc Cullers ,03/02/1903,North Carolina
Meadows,11/01/1904,North Carolina
Millboro,11/15/1904,North Carolina
Milton,11/02/1903,North Carolina
Mocksville,07/01/1902,North Carolina
Moltonville,12/15/1904,North Carolina
Monroe,08/01/1900,North Carolina
Mooresboro,11/01/1904,North Carolina
Mooresville,04/01/1903,North Carolina
Morganton,02/02/1903,North Carolina
Moriah,09/15/1904,North Carolina
Morrisville,08/01/1903,North Carolina
Morven,10/01/1904,North Carolina
Mount Airy,02/02/1903,North Carolina
Mount Holly,12/01/1902,North Carolina
Mount Olive,05/01/1903,North Carolina
Mount Pisgah,12/15/1904,North Carolina
Mount Ulla,11/15/1904,North Carolina
Murphy,03/02/1903,North Carolina
Nashville,08/01/1902,North Carolina
Neuse,06/01/1904,North Carolina
Newbern,01/01/1902,North Carolina
Newcastle,11/01/1904,North Carolina
Newell,09/01/1904,North Carolina
Newhill,04/15/1904,North Carolina
Newton,04/01/1902,North Carolina
Newton Grove,03/01/1904,North Carolina
Norlina,01/15/1904,North Carolina
Northside,05/16/1904,North Carolina
Old Hundred,05/01/1903,North Carolina
Olivebranch,08/15/1904,North Carolina
Ore Hill,01/01/1902,North Carolina
Orrum,11/01/1904,North Carolina
Oxford,05/01/1900,North Carolina
Palmyra,08/01/1904,North Carolina
Palmyra,11/01/1904,North Carolina
Parkton,05/01/1903,North Carolina
Peachland,01/01/1904,North Carolina
Pfafftown,04/01/1903,North Carolina
Pikeville,03/02/1903,North Carolina
Pilotmountain,10/01/1904,North Carolina
Pinelevel,09/15/1904,North Carolina
Pineville,05/01/1902,North Carolina
Pinnacle,08/01/1904,North Carolina
Pittsboro,10/15/1904,North Carolina
Plymouth,11/01/1902,North Carolina
Polloksville,05/16/1904,North Carolina
Poors Knob,01/15/1904,North Carolina
Price,10/15/1904,North Carolina
Princeton,08/01/1903,North Carolina
Raeford,07/15/1904,North Carolina
Raleigh,08/01/1900,North Carolina
Ramseur,01/15/1904,North Carolina
Randleman,07/15/1904,North Carolina
Red Springs,07/01/1902,North Carolina
Redwood,04/15/1904,North Carolina
Reepsville,11/01/1904,North Carolina
Reidsville,03/01/1902,North Carolina
Rennert,07/01/1902,North Carolina
Rich Square,05/16/1904,North Carolina
Richlands,04/01/1904,North Carolina
Riley,06/01/1904,North Carolina
Robersonville,11/01/1902,North Carolina
Robeson,11/01/1904,North Carolina
Rockcut,10/01/1903,North Carolina
Rockingham,10/01/1904,North Carolina
Rockwell,04/01/1902,North Carolina
Rocky Mount,07/01/1902,North Carolina
Rockypoint,07/01/1903,North Carolina
Rogers Store,11/15/1904,North Carolina
Roseboro,03/01/1904,North Carolina
Rosehill,12/02/1901,North Carolina
Rougemont,11/02/1903,North Carolina
Rowland,07/01/1902,North Carolina
Roxboro,03/01/1902,North Carolina
Ruralhall,04/01/1903,North Carolina
Rutherfordton,03/02/1903,North Carolina
Salisbury,04/01/1902,North Carolina
Sandifer,07/15/1903,North Carolina
Sandyridge,12/15/1904,North Carolina
Sanford,06/01/1904,North Carolina
Saratoga,12/01/1903,North Carolina
Scotland Neck,12/01/1903,North Carolina
Scranton,01/01/1904,North Carolina
Seaboard,01/01/1903,North Carolina
Selma,08/01/1903,North Carolina
Sevensprings,03/02/1903,North Carolina
Shallotte,04/01/1903,North Carolina
Shannon,10/01/1904,North Carolina
Sharpsburg,10/15/1904,North Carolina
Shelby,09/01/1902,North Carolina
Shelmerdine,11/01/1904,North Carolina
Silver City,08/01/1903,North Carolina
Skyland,04/01/1904,North Carolina
Smith,06/01/1904,North Carolina
Smithfield,07/23/1900,North Carolina
