Name,State,Date,Latitude,Longitude
Abbottsburg,North Carolina,10/15/1904,34.517114,-78.7250179
Advance,North Carolina,07/01/1902,35.9412482,-80.4092217
Alexander,North Carolina,03/02/1903,35.924738,-81.1716315
Alexis,North Carolina,10/15/1904,35.399858,-81.1178555
Altamahaw,North Carolina,09/01/1904,36.1843016,-79.5072461
Angier,North Carolina,10/01/1903,35.5071045,-78.7391813
Apex,North Carolina,01/01/1902,35.7325352,-78.8505516
Archer,North Carolina,06/01/1904,34.669589,-77.0222099
Arden,North Carolina,07/01/1902,35.4662258,-82.51651
Asheville,North Carolina,12/02/1901,35.6009498,-82.5540161
Ashpole,North Carolina,05/01/1902,34.549885,-79.3103202
Atkinson,North Carolina,05/01/1903,34.5285008,-78.171107
Aulander,North Carolina,12/15/1903,36.2296005,-77.1141282
Aurora,North Carolina,06/01/1904,35.3054322,-76.7886736
Autryville,North Carolina,04/01/1904,34.9979453,-78.6425144
Ayden,North Carolina,11/01/1902,35.4726626,-77.4155203
Bahama,North Carolina,09/01/1904,36.1659763,-78.8766738
Barber,North Carolina,04/01/1903,36.122659,-76.5924439
Barnesville,North Carolina,05/01/1903,34.4087766,-79.0466994
Battleboro,North Carolina,07/01/1902,36.0490424,-77.7491431
Bearcreek,North Carolina,03/02/1903,35.3851618,-77.8969277
Beasley,North Carolina,10/01/1903,35.9157183,-76.5488282
Beaufort,North Carolina,10/01/1903,34.7182174,-76.6638186
Belew Creek,North Carolina,08/01/1904,nf,nf
Belgrade,North Carolina,04/01/1902,34.8801595,-77.2349548
Belmont,North Carolina,12/01/1902,35.2429175,-81.037297
Belvidere,North Carolina,01/01/1904,36.2687674,-76.5357774
Benaja,North Carolina,06/01/1904,36.2498571,-79.6772518
Benson,North Carolina,03/02/1903,35.3821067,-78.548621
Bessemer City,North Carolina,03/01/1902,35.2848579,-81.28397
Bethel,North Carolina,11/01/1902,34.124059,-78.7127949
Biltmore,North Carolina,01/01/1902,35.5581686,-82.5334571
Blackcreek,North Carolina,07/15/1904,nf,nf
Blackjack,North Carolina,04/01/1904,35.2556726,-82.5523435
Blanch,North Carolina,10/01/1904,36.5079178,-79.2950189
Boomer,North Carolina,02/02/1903,36.0673532,-81.2536987
Boone,North Carolina,12/01/1904,36.216795,-81.6745517
Boonville,North Carolina,10/15/1904,36.2326362,-80.7081209
Bostic,North Carolina,06/01/1904,35.362623,-81.835657
Bower,North Carolina,04/01/1903,35.80551295,-78.7671133125
Brevard,North Carolina,03/02/1903,35.2334472,-82.7342919
Bridgewater,North Carolina,09/01/1904,35.7115154,-81.8626027
Brim,North Carolina,01/15/1904,36.429705,-80.0579639
Browns Summit,North Carolina,09/15/1903,36.2126351,-79.7136413
Buies,North Carolina,11/01/1904,35.4132168,-78.7355728
Burgaw,North Carolina,02/01/1902,34.5521113,-77.926098
Burlington,North Carolina,04/01/1903,36.0956918,-79.4377991
Bynum,North Carolina,10/15/1904,35.7740346,-79.1422354
Campbell,North Carolina,06/01/1904,36.5279158,-80.2372745
Candler,North Carolina,03/02/1903,35.536498,-82.692907
Canton,North Carolina,12/02/1901,35.5328838,-82.8373558
Cardenas,North Carolina,10/15/1904,34.862649,-80.7414565
Cary,North Carolina,03/02/1903,35.7882973,-78.7811925
Castoria,North Carolina,02/01/1904,35.5365495,-77.6744194
Catawba,North Carolina,09/15/1904,35.6740563,-81.2107215
