Name,Date,State
Abercrombie,09/15/1904,North Dakota
Anamoose,06/01/1904,North Dakota
Argusville,05/16/1904,North Dakota
Bottineau,05/01/1900,North Dakota
Bowbells,08/01/1904,North Dakota
Buffalo,02/02/1903,North Dakota
Buxton,03/01/1902,North Dakota
Cando,07/15/1904,North Dakota
Carpio,09/15/1904,North Dakota
Carrington,08/01/1904,North Dakota
Cavalier,06/01/1904,North Dakota
Christine,01/01/1904,North Dakota
Churchs Ferry,12/01/1903,North Dakota
Cooperstown,11/02/1903,North Dakota
Crystal,05/16/1904,North Dakota
Cumings,12/01/1903,North Dakota
Davenport,12/01/1902,North Dakota
Delamere,12/15/1904,North Dakota
Devils Lake,10/01/1902,North Dakota
Donnybrook,11/02/1903,North Dakota
Drayton,12/01/1903,North Dakota
Edinburg,06/01/1904,North Dakota
Enderlin,03/01/1904,North Dakota
Englevale,10/15/1904,North Dakota
Fargo,03/01/1902,North Dakota
Fessenden,05/16/1904,North Dakota
Finley,07/15/1904,North Dakota
Fort Ransom,05/16/1904,North Dakota
Fullerton,12/01/1902,North Dakota
Gardner,02/01/1902,North Dakota
Grafton,03/02/1903,North Dakota
Grand Forks,12/01/1902,North Dakota
Griswold,02/02/1903,North Dakota
Hankinson,06/15/1904,North Dakota
Harwood,05/16/1904,North Dakota
Hatton,03/01/1902,North Dakota
Hickson,09/15/1904,North Dakota
Hillsboro,03/01/1902,North Dakota
Hoople,01/01/1904,North Dakota
Hoople,05/16/1904,North Dakota
Kenmare,12/01/1903,North Dakota
Kindred,02/01/1901,North Dakota
Lidgerwood,05/16/1904,North Dakota
Lisbon,03/01/1902,North Dakota
Litchville,05/16/1904,North Dakota
Marion,09/15/1904,North Dakota
Mayville,10/26/1898,North Dakota
Milton,06/01/1904,North Dakota
Monango,10/15/1904,North Dakota
Mooreton,03/01/1902,North Dakota
Neche,06/15/1904,North Dakota
Northwood,01/15/1904,North Dakota
Oriska,08/15/1904,North Dakota
Park River,06/01/1904,North Dakota
Portland,03/02/1903,North Dakota
Reynolds,12/01/1902,North Dakota
Saint Thomas,10/10/1898,North Dakota
Sanborn,10/15/1904,North Dakota
Sharon,10/15/1904,North Dakota
Sheldon,03/02/1903,North Dakota
Sheyenne,09/01/1904,North Dakota
Souris,07/01/1904,North Dakota
Thompson,04/01/1902,North Dakota
Tower City,05/02/1904,North Dakota
Valley City,03/01/1902,North Dakota
Wahpeton,10/03/1898,North Dakota
Walcot,09/15/1904,North Dakota
Walhalla,06/15/1904,North Dakota
Wheatland,01/01/1904,North Dakota
York,07/15/1904HISTORIAN,North Dakota
