Name,State,Date,Latitude,Longitude
Aberdeen,Ohio,08/01/1904,41.56144125,-81.4692132846758
Ada,Ohio,05/01/1899,38.8398935,-83.5051704
Adamsville,Ohio,12/02/1901,40.0697925,-81.8823542
Adena,Ohio,04/01/1903,40.2186805,-80.8728672
Adrain,Ohio,10/15/1904,nf,nf
Agosta,Ohio,05/16/1904,40.586214,-83.2367089
Albany,Ohio,09/15/1902,39.2275735,-82.2023695
Alexandria,Ohio,09/01/1902,40.0889524,-82.6123872
Alger,Ohio,09/15/1903,40.7061631,-83.8438267
Alice,Ohio,10/15/1904,39.0211866,-82.3726544
Alliance,Ohio,05/14/1900,40.9153362,-81.1059309
Alvada,Ohio,04/01/1902,41.0503322,-83.4018693
Alvordton,Ohio,02/01/1902,41.6658839,-84.436893
Amanda,Ohio,10/02/1899,39.649508,-82.7443367
Amesville,Ohio,07/01/1903,39.4006285,-81.9556956
Amlin,Ohio,01/15/1901,40.0770067,-83.1810241
Amsterdam,Ohio,10/01/1904,40.4736758,-80.9228671
Andover,Ohio,03/02/1903,41.6067211,-80.572296
Anna,Ohio,10/01/1903,40.3944932,-84.1727231
Ansonia,Ohio,10/01/1903,40.214492,-84.6369011
Antwerp,Ohio,07/01/1902,41.1814388,-84.7405144
Applecreek,Ohio,07/01/1902,39.508499,-84.1801539
Arcadia,Ohio,10/15/1903,41.1083868,-83.5168725
Arcanum,Ohio,11/01/1900,39.9900504,-84.553286
Archbold,Ohio,05/01/1899,41.5211332,-84.3065469
Arlington,Ohio,10/15/1903,39.8664423,-84.4246705
Armstrongs Mills,Ohio,09/15/1904,39.9081284,-80.9348176
Ashland,Ohio,10/16/1899,40.7887367,-82.2360391
Ashley,Ohio,02/01/1902,40.4089499,-82.955461
Ashtabula,Ohio,10/01/1900,41.7167229,-80.74947
Ashville,Ohio,02/01/1902,39.7156186,-82.9529584
Athens,Ohio,12/01/1900,39.3292396,-82.1012555
Attica,Ohio,10/01/1903,41.0647777,-82.887686
Atwater,Ohio,11/01/1900,41.0239467,-81.163433
Aurora Station,Ohio,05/02/1904,41.3175549,-81.3453858
Austin,Ohio,02/01/1902,39.4367299,-83.2224117
Austintown,Ohio,03/01/1902,41.097507,-80.7441407356172
Avon,Ohio,10/01/1903,41.4517093,-82.0354225
Avondale,Ohio,08/01/1902,39.147837,-84.4949428
Axline,Ohio,11/15/1902,39.850049,-82.1223227
Bainbridge,Ohio,08/01/1903,41.3864428,-81.339553
Baltic,Ohio,08/01/1904,40.440066,-81.699016
Barberton,Ohio,07/01/1903,41.012833,-81.6051221
Barnesville,Ohio,04/01/1901,39.9881261,-81.1764961
Barrs Mills,Ohio,01/15/1904,40.5487041,-81.6234646
Bartlett,Ohio,07/15/1904,39.4195178,-81.8156907
Bascom,Ohio,04/01/1904,41.1328321,-83.2852003
Basil,Ohio,07/02/1900,39.940243,-82.8956469
Batavia,Ohio,02/15/1904,39.0770072,-84.1768795
Bayard,Ohio,12/15/1903,40.7506146,-81.0648179
Beach City,Ohio,01/15/1904,40.6531159,-81.5809564
Beach Park,Ohio,03/02/1903,40.47211875,-83.8806461712418
Beallsville,Ohio,11/15/1902,39.8484058,-81.0367681
Beaver,Ohio,10/01/1903,39.0306272,-82.8243382
Beaverdam,Ohio,06/04/1900,40.8333852,-83.9766102
Beckett,Ohio,07/01/1903,39.5845171,-81.7079089
Bedford,Ohio,03/01/1902,41.3931096,-81.5365094
Bellaire,Ohio,05/01/1900,40.0161843,-80.7423054
Belle Center,Ohio,07/01/1901,40.506718,-83.7479894
Bellefontaine,Ohio,08/01/1901,40.3611643,-83.7596557
Bellevue,Ohio,07/01/1901,41.2736647,-82.8415763
Bellville,Ohio,12/15/1900,40.6200589,-82.5107222
Belmont,Ohio,10/01/1903,40.0057737,-81.0097516
Belmore,Ohio,03/01/1902,41.1533845,-83.9385529
Beloit,Ohio,07/15/1899,40.9231141,-80.9937025
Belpre,Ohio,05/01/1902,39.2739639,-81.5729029
Berea,Ohio,01/01/1903,41.3661614,-81.8543026
Berlin Center,Ohio,10/01/1900,41.0245026,-80.9475891
Berlin Heights,Ohio,07/15/1903,41.3253278,-82.4932261
Berwick,Ohio,03/01/1904,41.0292219,-83.2979778
Berwick,Ohio,08/01/1904,41.0292219,-83.2979778
Bethel,Ohio,01/15/1904,38.9636771,-84.0807664
Bethesda,Ohio,09/15/1904,40.0161818,-81.0726013
Beverly,Ohio,03/01/1902,39.5480179,-81.6393772
Bidwell,Ohio,02/01/1904,38.9186892,-82.2990401
