Name,Date,State
Agra,10/01/1904,Oklahoma
Aline,07/01/1904,Oklahoma
Altus,09/01/1904,Oklahoma
Ames,09/01/1904,Oklahoma
Amorita,08/01/1904,Oklahoma
Anadarko,10/01/1904,Oklahoma
Apache,11/01/1904,Oklahoma
Arapaho,02/01/1904,Oklahoma
Arcadia,10/15/1904,Oklahoma
Augusta,01/01/1904,Oklahoma
Avard,11/15/1904,Oklahoma
Avery,07/15/1904,Oklahoma
Avoca,08/01/1904,Oklahoma
Billings,09/01/1903,Oklahoma
Blackwell,07/01/1902,Oklahoma
Braman,02/01/1904,Oklahoma
Breckinridge,08/15/1904,Oklahoma
Britton,04/15/1904,Oklahoma
Busch,08/15/1904,Oklahoma
Calumet,04/15/1904,Oklahoma
Canute,12/15/1904,Oklahoma
Capron,09/15/1904,Oklahoma
Carmen,07/01/1904,Oklahoma
Carnegie,08/01/1904,Oklahoma
Carney,05/16/1904,Oklahoma
Cashion,10/01/1903,Oklahoma
Cereal,04/01/1904,Oklahoma
Chandler,03/01/1904,Oklahoma
Cherokee,01/01/1904,Oklahoma
Chickasha,10/15/1904,Oklahoma
Choctaw,09/01/1903,Oklahoma
Cleveland,12/15/1904,Oklahoma
Clyde,02/15/1904,Oklahoma
Comanche,09/01/1904,Oklahoma
Cordell,08/15/1904,Oklahoma
Covington,09/01/1904,Oklahoma
Coyle,05/01/1903,Oklahoma
Crescent,02/15/1904,Oklahoma
Cushing,10/01/1903,Oklahoma
Davidson,08/01/1904,Oklahoma
Deer Creek,05/16/1904,Oklahoma
Douglas,04/01/1904,Oklahoma
Dover,07/01/1902,Oklahoma
Doxey,08/01/1904,Oklahoma
Driftwood,09/15/1904,Oklahoma
Drummond,03/01/1904,Oklahoma
Eddy,02/15/1904,Oklahoma
Edmond,07/01/1903,Oklahoma
Elgin,11/01/1904,Oklahoma
Elreno,07/01/1903,Oklahoma
Enid ,09/01/1903,Oklahoma
Fairmont,05/16/1904,Oklahoma
Fletcher,11/15/1904,Oklahoma
Fort Cobb,05/16/1904,Oklahoma
Foss,07/01/1904,Oklahoma
Frederick,07/15/1904,Oklahoma
Gage,07/01/1904,Oklahoma
Garber,03/01/1904,Oklahoma
Geary,08/15/1904,Oklahoma
Gibbon,08/15/1904,Oklahoma
Glencoe,04/15/1904,Oklahoma
Goltry,09/15/1904,Oklahoma
Goodnight,05/16/1904,Oklahoma
Gotebo,12/15/1904,Oklahoma
Granite,08/15/1904,Oklahoma
Graves,02/01/1904,Oklahoma
Guthrie,10/01/1901,Oklahoma
Harrah,09/01/1904,Oklahoma
Hastings,09/01/1904,Oklahoma
Hawley,11/15/1904,Oklahoma
Hayward,07/15/1904,Oklahoma
Helena,12/15/1904,Oklahoma
Hennessey,08/15/1900,Oklahoma
Hitchcock,01/15/1904,Oklahoma
Hobart,04/01/1904,Oklahoma
Hunter,09/01/1903,Oklahoma
Hydro,07/01/1904,Oklahoma
Indianapolis,07/15/1904,Oklahoma
Ingersoll,01/01/1904,Oklahoma
Isabella,08/15/1904,Oklahoma
Jefferson,02/01/1904,Oklahoma
Jet,08/15/1904,Oklahoma
Jones,04/01/1904,Oklahoma
Kaw,10/01/1904,Oklahoma
Kiel,11/15/1904,Oklahoma
Kildare,03/01/1904,Oklahoma
Kingfisher,11/16/1903,Oklahoma
Komalty,04/01/1904,Oklahoma
Kremlin,05/16/1904,Oklahoma
Lahoma,08/15/1904,Oklahoma
Lambert,08/15/1904,Oklahoma
Lamont,03/01/1904,Oklahoma
Lawton,04/15/1904,Oklahoma
Lexington,08/15/1904,Oklahoma
Lickdale,04/01/1904,Oklahoma
Lone Wolf,02/01/1904,Oklahoma
Lucien,11/01/1904,Oklahoma
Luther,09/01/1904,Oklahoma
Manchester,06/01/1904,Oklahoma
Manitou,08/15/1904,Oklahoma
Marshall,09/01/1903,Oklahoma
Mc Loud,02/15/1904,Oklahoma
Medford,02/01/1904,Oklahoma
Meeker,08/01/1904,Oklahoma
Meno ,07/01/1904,Oklahoma
Meridian,09/01/1904,Oklahoma
Merrick,10/01/1904,Oklahoma
Miami,09/15/1903,Oklahoma
Mondamin,09/15/1904,Oklahoma
Moore,07/01/1904,Oklahoma
Mountain Park,07/01/1904,Oklahoma
Mountain View,08/01/1904,Oklahoma
Mulhall,09/01/1903,Oklahoma
Mustang,09/01/1904,Oklahoma
Nardin,03/01/1904,Oklahoma
Nashville,04/15/1904,Oklahoma
Newalla,12/01/1904,Oklahoma
Newkirk,11/02/1903,Oklahoma
Noble,10/15/1904,Oklahoma
Norman,01/15/1904,Oklahoma
North Enid,09/01/1903,Oklahoma
Okarche,01/15/1904,Oklahoma
Okeene,01/15/1904,Oklahoma
Oklahoma,10/01/1901,Oklahoma
Orlando,09/01/1903,Oklahoma
Pawnee,04/15/1904,Oklahoma
Payson,08/01/1904,Oklahoma
Peckham,05/16/1904,Oklahoma
Perkins,10/01/1903,Oklahoma
Perry,09/01/1903,Oklahoma
Perth,07/01/1904,Oklahoma
Piedmont,11/15/1904,Oklahoma
Ponca,11/02/1903,Oklahoma
Pond Creek,07/01/1902,Oklahoma
Prague,08/01/1904,Oklahoma
Quay,10/01/1904,Oklahoma
Ralston,02/15/1904,Oklahoma
Reeding,11/15/1904,Oklahoma
Renfrow,02/15/1904,Oklahoma
Ringwood,01/15/1904,Oklahoma
Ripley,05/02/1904,Oklahoma
Romulus,02/15/1904,Oklahoma
Roosevelt,04/01/1904,Oklahoma
Rush Springs,07/15/1904,Oklahoma
Saltfork,03/01/1904,Oklahoma
Sayre,07/01/1904,Oklahoma
Seward,09/01/1903,Oklahoma
Shawnee,04/01/1904,Oklahoma
Siboney,08/15/1904,Oklahoma
Snyder,08/01/1904,Oklahoma
Sparks,07/15/1904,Oklahoma
Stillwater,10/01/1903,Oklahoma
Stroud,02/15/1904,Oklahoma
Tecumseh,07/15/1904,Oklahoma
Temple,08/01/1904,Oklahoma
Thomas,07/01/1904,Oklahoma
Tonkawa,03/01/1904,Oklahoma
Tryon,07/01/1904,Oklahoma
Union,08/15/1904,Oklahoma
Valley,11/01/1904,Oklahoma
Wakita,02/01/1904,Oklahoma
Walter,08/01/1904,Oklahoma
Wanette,12/01/1904,Oklahoma
Waterloo,05/16/1904,Oklahoma
Watonga,08/01/1904,Oklahoma
Waukomis,04/01/1903,Oklahoma
Waurika,08/01/1904,Oklahoma
Waynoka,08/15/1904,Oklahoma
Weatherford,04/01/1904,Oklahoma
Wellston,10/15/1904,Oklahoma
Yale,11/01/1904,Oklahoma
Yukon,10/01/1903,Oklahoma
