Name,State,Date,Latitude,Longitude
Agra,Oklahoma,10/01/1904,35.8947842,-96.8722487
Aline,Oklahoma,07/01/1904,36.5097552,-98.4489659
Altus,Oklahoma,09/01/1904,34.6381255,-99.3339754
Ames,Oklahoma,09/01/1904,36.2458685,-98.1853448
Amorita,Oklahoma,08/01/1904,36.9244718,-98.2917371
Anadarko,Oklahoma,10/01/1904,35.072562,-98.2436626
Apache,Oklahoma,11/01/1904,34.8936766,-98.3658875
Arapaho,Oklahoma,02/01/1904,35.5778272,-98.9645311
Arcadia,Oklahoma,10/15/1904,35.6669093,-97.326671
Augusta,Oklahoma,01/01/1904,36.550059,-94.9581639
Avard,Oklahoma,11/15/1904,36.6989211,-98.7889783
Avery,Oklahoma,07/15/1904,35.8842321,-96.7522458
Avoca,Oklahoma,08/01/1904,35.0139671,-96.930577
Billings,Oklahoma,09/01/1903,36.5289239,-97.4439362
Blackwell,Oklahoma,07/01/1902,36.8044767,-97.2828207
Braman,Oklahoma,02/01/1904,36.9236404,-97.3336552
Breckinridge,Oklahoma,08/15/1904,36.4369774,-97.7317205
Britton,Oklahoma,04/15/1904,35.5656124,-97.5311512
Busch,Oklahoma,08/15/1904,35.4914261,-97.493395
Calumet,Oklahoma,04/15/1904,35.6008883,-98.1188072
Canute,Oklahoma,12/15/1904,35.4219943,-99.2795337
Capron,Oklahoma,09/15/1904,36.8966959,-98.5775806
Carmen,Oklahoma,07/01/1904,36.5789213,-98.4622996
Carnegie,Oklahoma,08/01/1904,35.1036699,-98.6036736
Carney,Oklahoma,05/16/1904,35.8083932,-97.012807
Cashion,Oklahoma,10/01/1903,35.7981025,-97.6786573
Cereal,Oklahoma,04/01/1904,36.780836,-95.6423279
Chandler,Oklahoma,03/01/1904,35.7017314,-96.8808582
Cherokee,Oklahoma,01/01/1904,35.9158661,-94.9950063
Chickasha,Oklahoma,10/15/1904,35.052565,-97.9364326
Choctaw,Oklahoma,09/01/1903,34.0246234,-95.52055
Cleveland,Oklahoma,12/15/1904,35.2301869,-97.3109151
Clyde,Oklahoma,02/15/1904,36.8464165,-97.8211665
Comanche,Oklahoma,09/01/1904,34.6557505,-98.4485103
Cordell,Oklahoma,08/15/1904,35.2912512,-98.9895449
Covington,Oklahoma,09/01/1904,36.3075359,-97.5864376
Coyle,Oklahoma,05/01/1903,35.9567175,-97.2344804
Crescent,Oklahoma,02/15/1904,35.8830723,-96.3835476
Cushing,Oklahoma,10/01/1903,35.9850639,-96.76697
Davidson,Oklahoma,08/01/1904,,
Deer Creek,Oklahoma,05/16/1904,34.875673,-95.9268279
Douglas,Oklahoma,04/01/1904,36.183668,-95.8806253
Dover,Oklahoma,07/01/1902,35.9814291,-97.9111665
Doxey,Oklahoma,08/01/1904,35.3242174,-99.5831513
Driftwood,Oklahoma,09/15/1904,36.8791951,-98.3595173
Drummond,Oklahoma,03/01/1904,36.3003124,-98.0358954
Eddy,Oklahoma,02/15/1904,36.7316985,-97.4586576
Edmond,Oklahoma,07/01/1903,35.6571367,-97.4649038
Elgin,Oklahoma,11/01/1904,34.7803469,-98.292273
Elreno,Oklahoma,07/01/1903,nf,nf
Enid ,Oklahoma,09/01/1903,36.3967623,-97.8791341
Fairmont,Oklahoma,05/16/1904,36.35559,-97.7056082
Fletcher,Oklahoma,11/15/1904,34.8231239,-98.2442162
Fort Cobb,Oklahoma,05/16/1904,35.097838,-98.4356131
Foss,Oklahoma,07/01/1904,35.4544942,-99.1698099
Frederick,Oklahoma,07/15/1904,34.3920263,-99.0184093
Gage,Oklahoma,07/01/1904,36.3155944,-99.757618
Garber,Oklahoma,03/01/1904,36.4369786,-97.5856053
Geary,Oklahoma,08/15/1904,35.6311594,-98.3172854
Gibbon,Oklahoma,08/15/1904,36.9428038,-97.9822828
Glencoe,Oklahoma,04/15/1904,36.2286641,-96.925591
Goltry,Oklahoma,09/15/1904,36.532532,-98.1517334
Goodnight,Oklahoma,05/16/1904,35.9514424,-97.140589
Gotebo,Oklahoma,12/15/1904,35.0703349,-98.8722924
Granite,Oklahoma,08/15/1904,34.9622797,-99.3806406
Graves,Oklahoma,02/01/1904,35.140027,-96.2672699
Guthrie,Oklahoma,10/01/1901,35.8789231,-97.4252772
Harrah,Oklahoma,09/01/1904,35.4895085,-97.1636408
Hastings,Oklahoma,09/01/1904,34.2267578,-98.11004
Hawley,Oklahoma,11/15/1904,36.7530846,-98.0192288
Hayward,Oklahoma,07/15/1904,36.2778145,-97.5125463
Helena,Oklahoma,12/15/1904,36.5461432,-98.2700706
Hennessey,Oklahoma,08/15/1900,36.1092046,-97.8986675
Hitchcock,Oklahoma,01/15/1904,35.9689282,-98.3484059
Hobart,Oklahoma,04/01/1904,35.0295009,-99.0931317
Hunter,Oklahoma,09/01/1903,36.5636432,-97.661163
Hydro,Oklahoma,07/01/1904,35.5494448,-98.5783718
Indianapolis,Oklahoma,07/15/1904,35.5514397,-98.8625815
Ingersoll,Oklahoma,01/01/1904,36.7964187,-98.3947968
Isabella,Oklahoma,08/15/1904,36.2355913,-98.340073
Jefferson,Oklahoma,02/01/1904,34.1234448,-97.8379641
Jet,Oklahoma,08/15/1904,36.6661416,-98.1811787
Jones,Oklahoma,04/01/1904,35.5614129,-97.2919826
Kaw,Oklahoma,10/01/1904,36.7017048,-96.9236471
Kiel,Oklahoma,11/15/1904,nf,nf
Kildare,Oklahoma,03/01/1904,36.8097565,-97.0492048
Kingfisher,Oklahoma,11/16/1903,35.9471931,-97.9641244
Komalty,Oklahoma,04/01/1904,35.0475566,-98.9903515
Kremlin,Oklahoma,05/16/1904,36.5472537,-97.8314456
Lahoma,Oklahoma,08/15/1904,36.3875336,-98.0897864
Lambert,Oklahoma,08/15/1904,36.6830868,-98.4231315
Lamont,Oklahoma,03/01/1904,36.690587,-97.5564376
