Name,State,Date,Latitude,Longitude
Albany,Oregon,01/15/1901,44.6365071,-123.1059324
Alicel,Oregon,02/02/1903,45.4043026,-117.9799373
Amity,Oregon,02/02/1903,45.1180619,-123.2055827
Aumsville,Oregon,09/01/1902,44.8409548,-122.8709243
Aurora,Oregon,09/15/1903,45.2310497,-122.7550359
Beaverton,Oregon,04/01/1904,45.4871723,-122.8037804
Brownsville,Oregon,10/01/1903,44.3934571,-122.9848108
Carlton,Oregon,09/01/1904,45.2942822,-123.1764949
Centralpoint,Oregon,10/01/1903,nf,nf
Clackamas,Oregon,09/01/1903,45.1608821,-122.2305038
Cleone,Oregon,09/01/1902,45.449524,-122.5596759
Cornelius,Oregon,09/15/1904,45.5198001,-123.0556202
Corvallis,Oregon,03/02/1903,44.5645659,-123.2620435
Crabtree,Oregon,09/01/1903,44.6351225,-122.8981455
Dallas,Oregon,09/01/1903,44.9189206,-123.3158695
Dayton,Oregon,06/11/1900,45.2206729,-123.0762134
Elgin,Oregon,06/01/1904,45.5649887,-117.9175706
Eugene,Oregon,09/02/1901,44.0505054,-123.0950506
Forestgrove,Oregon,02/02/1903,nf,nf
Freewater,Oregon,06/01/1901,45.9326346,-118.3877435
Gaston,Oregon,02/02/1903,45.4362259,-123.1392362
Gervais,Oregon,02/02/1903,45.1088298,-122.8952759
Greenville,Oregon,05/16/1904,44.3867913,-122.7795296
Gresham,Oregon,02/15/1901,45.5067406,-122.4367058
Haines,Oregon,06/01/1904,44.9116312,-117.9387939
Halsey,Oregon,02/15/1901,44.3840122,-123.1098145
Harrisburg,Oregon,10/01/1902,44.2740124,-123.170648
Hillsboro,Oregon,09/01/1903,45.5228939,-122.989827
Hillsdale,Oregon,09/15/1903,45.4786064,-122.6952962
Hood River,Oregon,07/05/1899,45.7053101,-121.5217927
Hubbard,Oregon,08/01/1902,45.1831388,-122.8086285
Independence,Oregon,07/01/1903,44.8560029,-123.1913034
Irving,Oregon,02/02/1903,44.1134743,-123.1649663
Jefferson,Oregon,04/01/1901,44.6072499,-121.2463145
Junction City,Oregon,12/01/1902,44.2192901,-123.2056484
La Grande,Oregon,07/05/1899,45.3246068,-118.0878695
Latourell Falls,Oregon,09/01/1902,45.53890485,-122.217526275984
Laurel,Oregon,09/01/1904,45.4182703,-122.9917258
Lebanon,Oregon,03/02/1903,44.5365119,-122.9070339
Lents,Oregon,03/02/1903,45.4798419,-122.5673147
Macleay,Oregon,06/01/1901,44.9078988,-122.8873142
Mc Minnville,Oregon,07/01/1903,45.1035336,-123.982723
Medford,Oregon,08/01/1903,42.3264181,-122.8718605
Milwaukee,Oregon,01/01/1903,43.0283779,-87.9126152
Monmouth,Oregon,09/01/1902,44.8483543,-123.2288122
Mount Angel,Oregon,11/02/1903,45.0677271,-122.7997035
Newberg,Oregon,07/02/1900,45.300596,-122.9725418
North Yamhill,Oregon,02/02/1903,45.2298399,-123.2180414
Ontario,Oregon,10/01/1902,44.0265525,-116.9629378
Oregon City,Oregon,08/01/1903,45.3573429,-122.6067583
Orient,Oregon,04/01/1904,45.4673428,-122.3525897
Oswego,Oregon,02/02/1903,45.4206749,-122.6706498
Parkers,Oregon,07/01/1903,42.4260871,-123.3322114
Portland,Oregon,05/16/1904,45.5202471,-122.6741949
Rickreall,Oregon,04/15/1904,44.9317755,-123.234223890142
Roseburg,Oregon,07/01/1903,43.216505,-123.3417381
Salem,Oregon,04/01/1901,44.9391565,-123.033121
Scio,Oregon,09/15/1904,44.7048445,-122.8492562
Shaw,Oregon,07/01/1902,44.8728991,-122.8720357
Shedds,Oregon,06/11/1900,nf,nf
Sheridan,Oregon,02/01/1904,45.0992814,-123.3948291
Sherwood,Oregon,09/01/1903,45.3570983,-122.840357
Silverton,Oregon,09/02/1901,45.0049305,-122.7832947
Springfield,Oregon,02/02/1903,44.0462362,-123.0220289
Stayton,Oregon,08/01/1903,44.8006775,-122.7945333
Sublimity,Oregon,09/15/1904,44.8295663,-122.7945335
Summerville,Oregon,02/02/1903,45.4884699,-118.0029941
Suver,Oregon,08/15/1900,44.7428981,-123.2073202
Tangent,Oregon,09/01/1902,44.5440387,-123.1092912
The Dalles,Oregon,10/01/1904,45.5945645,-121.1786823
Thomas,Oregon,04/01/1904,42.4195044,-122.121191
Troutdale,Oregon,09/01/1902,45.5317928,-122.391155
Turner,Oregon,10/16/1897,44.8431766,-122.9528708
Warren,Oregon,09/01/1904,43.5575659,-74.1204119
Woodburn,Oregon,09/01/1902,45.143731,-122.8553725
