Name,State,Date,Latitude,Longitude
Abbottstown,Pennsylvania,07/01/1903,39.8864869,-76.9847013
Ackley Station,Pennsylvania,02/01/1902,41.9647809,-79.1308791
Alba,Pennsylvania,05/02/1904,41.7050749,-76.8282913
Albion,Pennsylvania,01/01/1904,41.8906112,-80.3664542
Alburtis,Pennsylvania,11/15/1904,40.5109297,-75.6029653
Alderson,Pennsylvania,04/15/1904,40.4288043,-79.9236703
Alexandria,Pennsylvania,02/01/1902,40.5564586,-78.0977847
Allegheny,Pennsylvania,07/01/1903,40.4597204,-79.9760405
Allentown,Pennsylvania,07/05/1899,40.6022059,-75.4712794
Allenwood,Pennsylvania,01/01/1904,41.108604,-76.8972709
Amity,Pennsylvania,03/15/1901,40.0395169,-80.2050603
Analomink,Pennsylvania,02/01/1904,41.051204,-75.2204589
Analomink,Pennsylvania,04/01/1904,41.051204,-75.2204589
Andersonburg,Pennsylvania,01/15/1904,40.3500828,-77.468321
Annville,Pennsylvania,07/01/1903,40.3295901,-76.515226
Apollo,Pennsylvania,11/01/1904,40.5814546,-79.5664333
Aspers,Pennsylvania,10/15/1903,39.9769235,-77.2276495145942
Athens,Pennsylvania,05/02/1904,41.9572965,-76.5179991
Atlantic,Pennsylvania,12/01/1903,41.5047757,-80.3389547
Auburn,Pennsylvania,09/15/1904,40.5984249,-76.0932721
Avondale,Pennsylvania,02/01/1902,39.823443,-75.783273
Avonia,Pennsylvania,09/01/1904,42.0456126,-80.2697865
Avonmore,Pennsylvania,04/01/1904,40.5289548,-79.4614306
Baden,Pennsylvania,11/15/1904,40.6350668,-80.2281159
Bainbridge,Pennsylvania,12/01/1903,40.0909286,-76.6674673
Bakerstown,Pennsylvania,07/15/1903,40.6509,-79.9364443
Bangor,Pennsylvania,04/01/1904,40.8656515,-75.2065677
Bareville,Pennsylvania,04/01/1904,40.0923195,-76.1557855
Barnesville,Pennsylvania,05/01/1903,40.8146163,-76.0305222
Bath,Pennsylvania,06/01/1904,40.726519,-75.3934911
Beallsville,Pennsylvania,04/01/1901,40.0653505,-80.023664
Bearlake,Pennsylvania,11/02/1903,nf,nf
Beaver,Pennsylvania,02/02/1903,40.6916624,-80.3709999
Beaverfalls,Pennsylvania,11/01/1900,nf,nf
Bechtelsville,Pennsylvania,07/01/1903,40.3734298,-75.6290752
Bedford,Pennsylvania,09/01/1903,40.0271453,-78.5237447
Beechcreek,Pennsylvania,12/01/1904,41.02541,-77.9350598
Belbend,Pennsylvania,12/01/1900,nf,nf
Belle Vernon,Pennsylvania,08/01/1901,40.1250725,-79.8664356
Bellefonte,Pennsylvania,09/01/1903,40.9134862,-77.7737471
Belleville,Pennsylvania,07/01/1903,40.6050706,-77.7255502
Bellwood,Pennsylvania,10/01/1904,40.6005692,-78.3326769
Benton,Pennsylvania,11/01/1901,41.1950837,-76.3835528
Berlin,Pennsylvania,12/01/1904,39.9206363,-78.9578022
Berwick,Pennsylvania,10/01/1901,41.0602024,-76.2461259
Berwyn,Pennsylvania,10/01/1900,40.0448306,-75.4388053
Bethlehem,Pennsylvania,09/01/1903,40.6178915,-75.3786521
Biglerville,Pennsylvania,03/02/1903,39.9303715,-77.2480392
Bird In Hand,Pennsylvania,03/02/1903,40.0387098,-76.1821771
