Name,Date,State
Adamsville,03/01/1902,Rhode Island
Apponaug,11/15/1904,Rhode Island
East Greenwich,08/15/1900,Rhode Island
Greene,07/01/1903,Rhode Island
Little Compton,10/16/1899,Rhode Island
Narragansett Pier,09/15/1904,Rhode Island
Newport,11/01/1899,Rhode Island
Portsmouth,01/09/1899,Rhode Island
Saunderstown,04/01/1903,Rhode Island
Saylesville,07/01/1902,Rhode Island
Slocum,07/01/1903,Rhode Island
South Portsmouth,01/01/1899,Rhode Island
Tiverton,10/15/1899,Rhode Island
Wakefield,02/02/1903,Rhode Island
Westerly,07/01/1901,Rhode Island
Woonsocket,10/01/1901,Rhode Island
