Name,Date
Abbeville,05/01/1899
Aiken,05/15/1899
Alma,02/02/1903
Anderson,05/01/1899
Antioch,05/16/1904
Bamberg,04/03/1899
Bandana,10/01/1904
Barnwell,11/01/1901
Batesburg,04/01/1904
Belton,05/01/1899
Bennettsville,06/04/1900
Bethune,05/01/1903
Bishopville,03/15/1900
Blacksburg,09/01/1903
Blackstock,10/15/1904
Blackville,12/01/1904
Blairs,11/15/1904
Blaney,05/16/1904
Blenheim,07/01/1902
Blythewood,09/01/1903
Bowman,04/01/1903
Branchville,12/01/1902
Bullockcreek,09/15/1904
Camden,01/01/1902
Cameron ,05/15/1901
Campobello,02/01/1902
Cantey,10/01/1904
Catawba,12/01/1902
Central ,10/01/1901
Chappells,03/01/1904
Charleston,07/01/1903
Cheraw,05/01/1903
Cherokee,02/01/1902
Chester,12/01/1902
Chesterfield,02/01/1902
Chicks Springs,02/01/1902
Clinton,10/01/1903
Clio,08/01/1902
Clover,10/01/1902
Columbia,11/01/1901
Cope,03/01/1899
Cordova,11/01/1901
Cottageville,10/01/1901
Cowpens,02/01/1902
Crosshill,06/01/1904
Darlington,04/02/1900
Denmark,11/01/1901
Dillon,04/02/1900
Donals,10/01/1902
Easley,05/01/1899
Edgefield,12/01/1904
Edisto Island,03/15/1900
Ehrhardt,01/15/1904
Elko,09/15/1904
Elloree,04/03/1899
Enoree,09/15/1903
Enterprise,06/01/1904
Equality,09/15/1903
Fair Play,07/01/1902
Filbert,11/15/1904
Fingerville,12/01/1904
Fort Lawn,12/15/1904
Fort Mill ,01/01/1902
Fort Motte,11/01/1901
Fountain Inn,12/02/1901
Gaffney,11/02/1903
Gaston,04/01/1903
Getsinger,10/01/1901
Gray Court,05/01/1902
Greenville,03/15/1900
Greenwood,05/01/1899
Greers Depot,02/01/1902
Guthriesville,06/01/1904
Halsellville,10/15/1904
Hamer,02/01/1902
Hartsville,01/01/1903
Heath Spring,08/01/1904
Hickory,04/01/1902
Honeapath,02/01/1901
Inman,02/01/1902
Irmo,12/01/1902
Iva,10/01/1901
Jamison,12/01/1902
Jefferson,10/01/1904
Johnston,06/01/1899
Jonesville,07/15/1904
Kalb,10/15/1904
Kershaw,05/02/1904
Kinards,12/01/1902
Kings Creek,12/01/1902
Kollock,08/01/1904
Lake City,11/02/1903
Lamar,07/01/1903
Landrum,02/02/1903
Lanford Station,06/02/1902
Latta,07/01/1902
Laurens ,06/02/1902
Leesville,04/03/1899
Lewiedale,11/01/1901
Lexington,05/15/1901
Liberty,10/01/1901
Lindsay,09/01/1904
Lowndesville,05/01/1899
Lucknow,09/01/1904
Lugoff,09/01/1902
Manning,09/01/1902
Marietta,07/15/1904
Marion,06/15/1904
Maud,10/15/1904
Mc Bee,11/15/1904
Mc Connellsville,12/15/1904
Mc Cormick,10/01/1903
McColl,04/02/1900
Meggett,09/15/1904
Monetta,11/15/1904
Moore,05/01/1902
Mount Carmel,11/15/1904
Mountville,06/02/1902
Mullins,11/02/1903
Neeses,12/01/1902
New Brookland,04/15/1904
Nichols,07/01/1902
Ninetysix,04/01/1901
North,11/01/1901
Norway,12/01/1902
Olar,09/01/1902
Orangeburg,03/01/1899
Osceola,09/01/1903
Pacolet,12/01/1904
Pages Mills,07/01/1903
Pauline,11/02/1903
Peak,07/01/1902
Pendleton,10/01/1901
Pickens,07/01/1903
Piedmont,10/01/1901
Plumbranch,12/15/1904
Pomaria,05/01/1903
Princeton,02/02/1903
Prosperity,05/01/1899
Rapley,02/01/1902
Rehoboth,04/15/1904
Renno,07/15/1904
Rich,02/02/1903
Richburg,12/01/1902
Ridgespring,06/01/1899
Ridgeway,05/01/1903
Rock Hill,01/01/1902
Roddey,08/01/1904
Rodman,12/01/1902
Round,04/01/1904
Rowesville,05/15/1901
Saint George,03/01/1899
Saint Matthews,11/01/1901
Saluda,06/01/1899
Samaria,05/02/1904
Santuck,06/01/1904
Seneca,05/01/1899
Sharon,12/01/1902
Shelton,10/15/1904
Silver,08/01/1904
Silverstreet,11/15/1904
Simpsonville,12/02/1901
Slighs,05/01/1899
Smoaks,04/03/1899
Smyrna,12/01/1902
Spartanburg,08/15/1899
Springfield,12/02/1901
Starr,10/01/1901
Stover,10/15/1904
Strother,09/01/1904
Summerton,09/01/1903
Sumpter,11/01/1901
Swansea,07/01/1904
Tigerville,07/15/1904
Timmonsville,07/01/1903
Toneycreek,12/01/1903
Townville,10/01/1901
Travellers Rest,02/01/1902
Trenton,07/01/1902
Troy,05/01/1903
Union,06/01/1904
Wagener,12/01/1904
Walhalla,12/01/1902
Wards,04/15/1904
Ware Shoals,06/01/1904
Waterloo,03/15/1900
Wellford,01/01/1902
West Union,09/01/1902
Westminster,10/01/1901
Whitmire,07/01/1903
Wilkinsville,09/15/1904
Williamston,10/01/1901
Williston,09/01/1903
Winnsboro,05/01/1903
Woodruff,10/01/1901
Yorkville,07/01/1902
Young Island,09/01/1902
