Name,Date
Aberdeen,11/15/1900
Albee,04/01/1904
Alexandria,09/02/1901
Altamont,10/01/1904
Arlington,10/01/1901
Armour,05/16/1904
Artesian,03/02/1903
Astoria,03/02/1903
Aurora,01/15/1901
Baltic,10/01/1902
Bath,10/01/1902
Beresford,05/01/1900
Bigstone,03/02/1903
Bradley,02/01/1904
Brandon,04/15/1904
Brandt,05/02/1904
Bridgewater,08/01/1904
Brookings,08/01/1900
Bryant,06/01/1904
Canastota,04/01/1904
Canton,09/01/1902
Centerpoint,06/01/1904
Centerville,09/01/1900
Clearlake,02/01/1904
Colman,10/01/1902
Dell Rapids,10/02/1899
Delmont,11/01/1904
Desmet,02/01/1904
Eagan,07/01/1902
Elkpoint,08/01/1902
Elkton,10/01/1901
Ellis,05/01/1899
Emery,09/15/1904
Erwin,01/15/1904
Estelline,02/15/1904
Ethan,05/16/1904
Farmer,03/02/1903
Ferney,10/01/1901
Flandreau,07/01/1902
Freeman,08/01/1904
Garretson,10/01/1901
Gayville,04/15/1904
Geddes,05/16/1904
Groton,06/11/1900
Hanson,04/01/1904
Harrisburg,11/01/1904
Hartford,03/01/1902
Hazel,09/01/1904
Henry,08/15/1904
Howard,06/15/1904
Hudson,10/15/1900
Humboldt,03/02/1903
Hurley,03/01/1902
Irene,07/01/1902
Jefferson,10/15/1903
Lake Preston,11/01/1902
Lennox,09/01/1902
Lesterville,04/01/1904
Lily,02/01/1904
Madison,03/02/1903
Mansfield,06/15/1904
Marion,10/15/1903
Millbank,03/01/1902
Mitchell,08/01/1904
Montrose,05/16/1904
Mount Vernon,03/02/1903
Naples,09/15/1904
Palmer,09/15/1904
Parker,07/01/1902
Parkston,01/01/1904
Plankinton,05/16/1904
Renner,04/15/1904
Romona,03/02/1903
Salem,10/01/1904
Sherman,10/01/1901
Sioux Falls,08/01/1904
Spearfish,06/11/1900
Springfield,05/16/1904
Summit,11/01/1902
Tabor,03/02/1903
Tea ,09/15/1903
Toronto,03/02/1903
Twinbrooks,12/01/1902
Tyndall,12/15/1903
Utica,04/01/1904
Valley Springs,10/01/1902
Verdon,03/02/1903
Vermilion,06/04/1900
Volga,03/01/1902
Volin,03/01/1902
Wakonda,08/15/1900
Ward,03/02/1903
Warner,10/01/1902
Watertown,07/15/1904
Waubay,03/02/1903
Webster,03/02/1903
Wentworth,10/01/1904
White ,10/01/1901
Willowlake,03/01/1904
Winfred,07/15/1904
Woonsocket,09/01/1904
Yankton,10/01/1901
