Name,Date,State
Abbeville,05/01/1899,South Carolina
Aiken,05/15/1899,South Carolina
Alma,02/02/1903,South Carolina
Anderson,05/01/1899,South Carolina
Antioch,05/16/1904,South Carolina
Bamberg,04/03/1899,South Carolina
Bandana,10/01/1904,South Carolina
Barnwell,11/01/1901,South Carolina
Batesburg,04/01/1904,South Carolina
Belton,05/01/1899,South Carolina
Bennettsville,06/04/1900,South Carolina
Bethune,05/01/1903,South Carolina
Bishopville,03/15/1900,South Carolina
Blacksburg,09/01/1903,South Carolina
Blackstock,10/15/1904,South Carolina
Blackville,12/01/1904,South Carolina
Blairs,11/15/1904,South Carolina
Blaney,05/16/1904,South Carolina
Blenheim,07/01/1902,South Carolina
Blythewood,09/01/1903,South Carolina
Bowman,04/01/1903,South Carolina
Branchville,12/01/1902,South Carolina
Bullockcreek,09/15/1904,South Carolina
Camden,01/01/1902,South Carolina
Cameron ,05/15/1901,South Carolina
Campobello,02/01/1902,South Carolina
Cantey,10/01/1904,South Carolina
Catawba,12/01/1902,South Carolina
Central ,10/01/1901,South Carolina
Chappells,03/01/1904,South Carolina
Charleston,07/01/1903,South Carolina
Cheraw,05/01/1903,South Carolina
Cherokee,02/01/1902,South Carolina
Chester,12/01/1902,South Carolina
Chesterfield,02/01/1902,South Carolina
Chicks Springs,02/01/1902,South Carolina
Clinton,10/01/1903,South Carolina
Clio,08/01/1902,South Carolina
Clover,10/01/1902,South Carolina
Columbia,11/01/1901,South Carolina
Cope,03/01/1899,South Carolina
Cordova,11/01/1901,South Carolina
Cottageville,10/01/1901,South Carolina
Cowpens,02/01/1902,South Carolina
Crosshill,06/01/1904,South Carolina
Darlington,04/02/1900,South Carolina
Denmark,11/01/1901,South Carolina
Dillon,04/02/1900,South Carolina
Donals,10/01/1902,South Carolina
Easley,05/01/1899,South Carolina
Edgefield,12/01/1904,South Carolina
Edisto Island,03/15/1900,South Carolina
Ehrhardt,01/15/1904,South Carolina
Elko,09/15/1904,South Carolina
Elloree,04/03/1899,South Carolina
Enoree,09/15/1903,South Carolina
Enterprise,06/01/1904,South Carolina
Equality,09/15/1903,South Carolina
Fair Play,07/01/1902,South Carolina
Filbert,11/15/1904,South Carolina
Fingerville,12/01/1904,South Carolina
Fort Lawn,12/15/1904,South Carolina
Fort Mill ,01/01/1902,South Carolina
Fort Motte,11/01/1901,South Carolina
Fountain Inn,12/02/1901,South Carolina
Gaffney,11/02/1903,South Carolina
Gaston,04/01/1903,South Carolina
Getsinger,10/01/1901,South Carolina
Gray Court,05/01/1902,South Carolina
Greenville,03/15/1900,South Carolina
Greenwood,05/01/1899,South Carolina
Greers Depot,02/01/1902,South Carolina
Guthriesville,06/01/1904,South Carolina
Halsellville,10/15/1904,South Carolina
Hamer,02/01/1902,South Carolina
Hartsville,01/01/1903,South Carolina
Heath Spring,08/01/1904,South Carolina
Hickory,04/01/1902,South Carolina
Honeapath,02/01/1901,South Carolina
Inman,02/01/1902,South Carolina
Irmo,12/01/1902,South Carolina
Iva,10/01/1901,South Carolina
Jamison,12/01/1902,South Carolina
Jefferson,10/01/1904,South Carolina
Johnston,06/01/1899,South Carolina
Jonesville,07/15/1904,South Carolina
Kalb,10/15/1904,South Carolina
Kershaw,05/02/1904,South Carolina
Kinards,12/01/1902,South Carolina
Kings Creek,12/01/1902,South Carolina
Kollock,08/01/1904,South Carolina
Lake City,11/02/1903,South Carolina
Lamar,07/01/1903,South Carolina
Landrum,02/02/1903,South Carolina
Lanford Station,06/02/1902,South Carolina
Latta,07/01/1902,South Carolina
Laurens ,06/02/1902,South Carolina
Leesville,04/03/1899,South Carolina
Lewiedale,11/01/1901,South Carolina
Lexington,05/15/1901,South Carolina
Liberty,10/01/1901,South Carolina
Lindsay,09/01/1904,South Carolina
Lowndesville,05/01/1899,South Carolina
Lucknow,09/01/1904,South Carolina
Lugoff,09/01/1902,South Carolina
Manning,09/01/1902,South Carolina
Marietta,07/15/1904,South Carolina
Marion,06/15/1904,South Carolina
Maud,10/15/1904,South Carolina
Mc Bee,11/15/1904,South Carolina
Mc Connellsville,12/15/1904,South Carolina
Mc Cormick,10/01/1903,South Carolina
McColl,04/02/1900,South Carolina
Meggett,09/15/1904,South Carolina
Monetta,11/15/1904,South Carolina
Moore,05/01/1902,South Carolina
Mount Carmel,11/15/1904,South Carolina
Mountville,06/02/1902,South Carolina
Mullins,11/02/1903,South Carolina
Neeses,12/01/1902,South Carolina
New Brookland,04/15/1904,South Carolina
Nichols,07/01/1902,South Carolina
Ninetysix,04/01/1901,South Carolina
North,11/01/1901,South Carolina
Norway,12/01/1902,South Carolina
Olar,09/01/1902,South Carolina
Orangeburg,03/01/1899,South Carolina
Osceola,09/01/1903,South Carolina
Pacolet,12/01/1904,South Carolina
Pages Mills,07/01/1903,South Carolina
Pauline,11/02/1903,South Carolina
Peak,07/01/1902,South Carolina
Pendleton,10/01/1901,South Carolina
Pickens,07/01/1903,South Carolina
Piedmont,10/01/1901,South Carolina
Plumbranch,12/15/1904,South Carolina
Pomaria,05/01/1903,South Carolina
Princeton,02/02/1903,South Carolina
Prosperity,05/01/1899,South Carolina
Rapley,02/01/1902,South Carolina
Rehoboth,04/15/1904,South Carolina
Renno,07/15/1904,South Carolina
Rich,02/02/1903,South Carolina
Richburg,12/01/1902,South Carolina
Ridgespring,06/01/1899,South Carolina
Ridgeway,05/01/1903,South Carolina
Rock Hill,01/01/1902,South Carolina
Roddey,08/01/1904,South Carolina
Rodman,12/01/1902,South Carolina
Round,04/01/1904,South Carolina
Rowesville,05/15/1901,South Carolina
Saint George,03/01/1899,South Carolina
Saint Matthews,11/01/1901,South Carolina
Saluda,06/01/1899,South Carolina
Samaria,05/02/1904,South Carolina
Santuck,06/01/1904,South Carolina
Seneca,05/01/1899,South Carolina
Sharon,12/01/1902,South Carolina
Shelton,10/15/1904,South Carolina
Silver,08/01/1904,South Carolina
Silverstreet,11/15/1904,South Carolina
Simpsonville,12/02/1901,South Carolina
Slighs,05/01/1899,South Carolina
Smoaks,04/03/1899,South Carolina
Smyrna,12/01/1902,South Carolina
Spartanburg,08/15/1899,South Carolina
Springfield,12/02/1901,South Carolina
Starr,10/01/1901,South Carolina
Stover,10/15/1904,South Carolina
Strother,09/01/1904,South Carolina
Summerton,09/01/1903,South Carolina
Sumpter,11/01/1901,South Carolina
Swansea,07/01/1904,South Carolina
Tigerville,07/15/1904,South Carolina
Timmonsville,07/01/1903,South Carolina
Toneycreek,12/01/1903,South Carolina
Townville,10/01/1901,South Carolina
Travellers Rest,02/01/1902,South Carolina
Trenton,07/01/1902,South Carolina
Troy,05/01/1903,South Carolina
Union,06/01/1904,South Carolina
Wagener,12/01/1904,South Carolina
Walhalla,12/01/1902,South Carolina
Wards,04/15/1904,South Carolina
Ware Shoals,06/01/1904,South Carolina
Waterloo,03/15/1900,South Carolina
Wellford,01/01/1902,South Carolina
West Union,09/01/1902,South Carolina
Westminster,10/01/1901,South Carolina
Whitmire,07/01/1903,South Carolina
Wilkinsville,09/15/1904,South Carolina
Williamston,10/01/1901,South Carolina
Williston,09/01/1903,South Carolina
Winnsboro,05/01/1903,South Carolina
Woodruff,10/01/1901,South Carolina
Yorkville,07/01/1902,South Carolina
Young Island,09/01/1902,South Carolina
