Name,Date,State
Aberdeen,11/15/1900,South Dakota
Albee,04/01/1904,South Dakota
Alexandria,09/02/1901,South Dakota
Altamont,10/01/1904,South Dakota
Arlington,10/01/1901,South Dakota
Armour,05/16/1904,South Dakota
Artesian,03/02/1903,South Dakota
Astoria,03/02/1903,South Dakota
Aurora,01/15/1901,South Dakota
Baltic,10/01/1902,South Dakota
Bath,10/01/1902,South Dakota
Beresford,05/01/1900,South Dakota
Bigstone,03/02/1903,South Dakota
Bradley,02/01/1904,South Dakota
Brandon,04/15/1904,South Dakota
Brandt,05/02/1904,South Dakota
Bridgewater,08/01/1904,South Dakota
Brookings,08/01/1900,South Dakota
Bryant,06/01/1904,South Dakota
Canastota,04/01/1904,South Dakota
Canton,09/01/1902,South Dakota
Centerpoint,06/01/1904,South Dakota
Centerville,09/01/1900,South Dakota
Clearlake,02/01/1904,South Dakota
Colman,10/01/1902,South Dakota
Dell Rapids,10/02/1899,South Dakota
Delmont,11/01/1904,South Dakota
Desmet,02/01/1904,South Dakota
Eagan,07/01/1902,South Dakota
Elkpoint,08/01/1902,South Dakota
Elkton,10/01/1901,South Dakota
Ellis,05/01/1899,South Dakota
Emery,09/15/1904,South Dakota
Erwin,01/15/1904,South Dakota
Estelline,02/15/1904,South Dakota
Ethan,05/16/1904,South Dakota
Farmer,03/02/1903,South Dakota
Ferney,10/01/1901,South Dakota
Flandreau,07/01/1902,South Dakota
Freeman,08/01/1904,South Dakota
Garretson,10/01/1901,South Dakota
Gayville,04/15/1904,South Dakota
Geddes,05/16/1904,South Dakota
Groton,06/11/1900,South Dakota
Hanson,04/01/1904,South Dakota
Harrisburg,11/01/1904,South Dakota
Hartford,03/01/1902,South Dakota
Hazel,09/01/1904,South Dakota
Henry,08/15/1904,South Dakota
Howard,06/15/1904,South Dakota
Hudson,10/15/1900,South Dakota
Humboldt,03/02/1903,South Dakota
Hurley,03/01/1902,South Dakota
Irene,07/01/1902,South Dakota
Jefferson,10/15/1903,South Dakota
Lake Preston,11/01/1902,South Dakota
Lennox,09/01/1902,South Dakota
Lesterville,04/01/1904,South Dakota
Lily,02/01/1904,South Dakota
Madison,03/02/1903,South Dakota
Mansfield,06/15/1904,South Dakota
Marion,10/15/1903,South Dakota
Millbank,03/01/1902,South Dakota
Mitchell,08/01/1904,South Dakota
Montrose,05/16/1904,South Dakota
Mount Vernon,03/02/1903,South Dakota
Naples,09/15/1904,South Dakota
Palmer,09/15/1904,South Dakota
Parker,07/01/1902,South Dakota
Parkston,01/01/1904,South Dakota
Plankinton,05/16/1904,South Dakota
Renner,04/15/1904,South Dakota
Romona,03/02/1903,South Dakota
Salem,10/01/1904,South Dakota
Sherman,10/01/1901,South Dakota
Sioux Falls,08/01/1904,South Dakota
Spearfish,06/11/1900,South Dakota
Springfield,05/16/1904,South Dakota
Summit,11/01/1902,South Dakota
Tabor,03/02/1903,South Dakota
Tea ,09/15/1903,South Dakota
Toronto,03/02/1903,South Dakota
Twinbrooks,12/01/1902,South Dakota
Tyndall,12/15/1903,South Dakota
Utica,04/01/1904,South Dakota
Valley Springs,10/01/1902,South Dakota
Verdon,03/02/1903,South Dakota
Vermilion,06/04/1900,South Dakota
Volga,03/01/1902,South Dakota
Volin,03/01/1902,South Dakota
Wakonda,08/15/1900,South Dakota
Ward,03/02/1903,South Dakota
Warner,10/01/1902,South Dakota
Watertown,07/15/1904,South Dakota
Waubay,03/02/1903,South Dakota
Webster,03/02/1903,South Dakota
Wentworth,10/01/1904,South Dakota
White ,10/01/1901,South Dakota
Willowlake,03/01/1904,South Dakota
Winfred,07/15/1904,South Dakota
Woonsocket,09/01/1904,South Dakota
Yankton,10/01/1901,South Dakota
