Name,Date,State
Adams,11/15/1902,Tennessee
Adamsville,12/01/1902,Tennessee
Afton,06/02/1902,Tennessee
Alamo,01/01/1904,Tennessee
Alexandria,05/01/1903,Tennessee
Altonpark,07/15/1904,Tennessee
Alumwell,03/02/1903,Tennessee
Andersonville,04/01/1902,Tennessee
Antioch,04/15/1901,Tennessee
Arcadia,01/02/1903,Tennessee
Arlington,11/01/1902,Tennessee
Arrington,10/01/1903,Tennessee
Ashburn,10/01/1903,Tennessee
Ashland City,07/01/1904,Tennessee
Aspenhill,02/01/1904,Tennessee
Athens,03/02/1903,Tennessee
Atoka,01/11/1897,Tennessee
Atwood,02/02/1903,Tennessee
Baggettsville,11/15/1902,Tennessee
Baileyton,12/15/1902,Tennessee
Bank,04/01/1902,Tennessee
Barrenplain,11/15/1902,Tennessee
Bartlett,12/01/1902,Tennessee
Bath Springs,05/02/1904,Tennessee
Bearden,04/01/1902,Tennessee
Beaverridge,05/01/1903,Tennessee
Beckwith,12/01/1904,Tennessee
Beechbluff,12/15/1903,Tennessee
Beechgrove,11/01/1904,Tennessee
Belfast,01/01/1904,Tennessee
Bellbuckle,07/01/1903,Tennessee
Belleview,07/01/1902,Tennessee
Bells,01/01/1904,Tennessee
Belvidere,09/15/1904,Tennessee
Bethel,01/15/1904,Tennessee
Bethel Springs,10/01/1902,Tennessee
Bethesda,04/01/1904,Tennessee
Bethpage,04/01/1903,Tennessee
Big Sandy,11/02/1903,Tennessee
Bigrock,12/15/1904,Tennessee
Bingham,10/01/1904,Tennessee
Bingham,11/01/1904,Tennessee
Bloomingdale,01/02/1903,Tennessee
Blountville,04/16/1900,Tennessee
Bluff City,12/15/1902,Tennessee
Bonaqua,01/15/1904,Tennessee
Boonshill,02/01/1904,Tennessee
Box,02/01/1901,Tennessee
Boyds Creek,08/01/1901,Tennessee
Bradford,01/01/1904,Tennessee
Braxton,09/15/1904,Tennessee
Brentwood,07/01/1902,Tennessee
Brickchurch,02/01/1904,Tennessee
Bridgeport,11/15/1904,Tennessee
Brighton,02/02/1903,Tennessee
Bristol,01/01/1902,Tennessee
Broadview,07/15/1903,Tennessee
Brownsville,12/15/1903,Tennessee
Brunswick,12/01/1902,Tennessee
Brushcreek,01/15/1904,Tennessee
Buenavista,09/01/1903,Tennessee
Bullsgap,09/01/1902,Tennessee
Bunkerhill,03/01/1904,Tennessee
Burlison,11/02/1903,Tennessee
Burns,01/01/1904,Tennessee
Butler,11/01/1900,Tennessee
Bybee,01/01/1903,Tennessee
Cades Cove,10/15/1904,Tennessee
Calhoun,08/01/1904,Tennessee
Camden,09/01/1902,Tennessee
Campbellsville,08/01/1903,Tennessee
Caneyspring,01/01/1904,Tennessee
Capleville,11/02/1903,Tennessee
Carthage,02/01/1904,Tennessee
Cassville,12/15/1904,Tennessee
Castalian Springs,09/15/1903,Tennessee
Cedargrove,06/01/1904,Tennessee
Cedarhill,11/15/1902,Tennessee
Centerville,05/01/1902,Tennessee
Chapelhill,01/01/1904,Tennessee
Charleston,04/01/1904,Tennessee
Charlotte,01/15/1904,Tennessee
Chattanooga,05/15/1901,Tennessee
Cheaphill,11/01/1904,Tennessee
Chesterfield,08/15/1904,Tennessee
Chestnut Mound,11/02/1903,Tennessee
Chestnutbluff,09/15/1903,Tennessee
Christiana,09/01/1903,Tennessee
Chucky City,01/15/1901,Tennessee
Church Hill,02/02/1903,Tennessee
Clarksville,09/15/1900,Tennessee
Cleveland,07/01/1901,Tennessee
Clifton,02/02/1903,Tennessee
Clinton,04/01/1902,Tennessee
Coalcreek,11/02/1903,Tennessee
Coldwater,02/01/1904,Tennessee
Collerville,12/01/1902,Tennessee
Columbia,10/01/1901,Tennessee
Concord,10/01/1900,Tennessee
Cookeville,03/01/1904,Tennessee
Corryton,07/01/1901,Tennessee
Cosby,01/01/1903,Tennessee
Cottagegrove,07/15/1903,Tennessee
Cottontown,06/01/1904,Tennessee
Covington,02/02/1903,Tennessee
Crandull,07/01/1904,Tennessee
Crossplains,11/02/1903,Tennessee
Culleoka,02/01/1902,Tennessee
Cumberland Gap,10/15/1900,Tennessee
Cunningham,12/15/1904,Tennessee
Curve,10/15/1904,Tennessee
Dandridge,10/01/1901,Tennessee
Darden,09/01/1904,Tennessee
Dayton,08/01/1902,Tennessee
Decatur,04/01/1904,Tennessee
Decaturville,09/15/1904,Tennessee
