Name,State,Date,Latitude,Longitude
Adams,Tennessee,11/15/1902,36.5823718,-87.0655751
Adamsville,Tennessee,12/01/1902,35.2359146,-88.3905965
Afton,Tennessee,06/02/1902,36.1939922,-82.738763
Alamo,Tennessee,01/01/1904,35.7847949,-89.1172883
Alexandria,Tennessee,05/01/1903,36.0775587,-86.0333222
Altonpark,Tennessee,07/15/1904,nf,nf
Alumwell,Tennessee,03/02/1903,36.4812045,-83.001833
Andersonville,Tennessee,04/01/1902,36.1986898,-84.0371392
Antioch,Tennessee,04/15/1901,35.147859,-87.3214064
Arcadia,Tennessee,01/02/1903,36.5853795,-82.4579255
Arlington,Tennessee,11/01/1902,35.2964487,-89.6617313
Arrington,Tennessee,10/01/1903,35.8681199,-86.7091643
Ashburn,Tennessee,10/01/1903,36.6211544,-86.8286084
Ashland City,Tennessee,07/01/1904,36.2742207,-87.0641699
Aspenhill,Tennessee,02/01/1904,35.2395275,-89.8341246
Athens,Tennessee,03/02/1903,35.4428512,-84.5929898
Atoka,Tennessee,01/11/1897,35.4411945,-89.7781379
Atwood,Tennessee,02/02/1903,35.9731207,-88.6781141
Baggettsville,Tennessee,11/15/1902,36.4767124,-86.7302741
Baileyton,Tennessee,12/15/1902,36.3342662,-82.8368253
Bank,Tennessee,04/01/1902,35.11096785,-85.2949985694566
Barrenplain,Tennessee,11/15/1902,nf,nf
Bartlett,Tennessee,12/01/1902,35.2045329,-89.8739753
Bath Springs,Tennessee,05/02/1904,35.4397966,-88.0878099
Bearden,Tennessee,04/01/1902,35.9328592,-84.0026865
Beaverridge,Tennessee,05/01/1903,nf,nf
Beckwith,Tennessee,12/01/1904,36.2067213,-86.4588824
Beechbluff,Tennessee,12/15/1903,nf,nf
Beechgrove,Tennessee,11/01/1904,35.6270164,-86.2402706
Belfast,Tennessee,01/01/1904,35.4209075,-86.7024979
Bellbuckle,Tennessee,07/01/1903,nf,nf
Belleview,Tennessee,07/01/1902,36.1342254,-87.3261209
Bells,Tennessee,01/01/1904,35.7111847,-89.087565
Belvidere,Tennessee,09/15/1904,35.1292509,-86.1866532
Bethel,Tennessee,01/15/1904,35.0017501,-87.0533429
Bethel Springs,Tennessee,10/01/1902,35.2336933,-88.6064373
Bethesda,Tennessee,04/01/1904,35.7611776,-86.7930549
Bethpage,Tennessee,04/01/1903,36.0345059,-87.6277972
Big Sandy,Tennessee,11/02/1903,36.308715,-82.5870945
Bigrock,Tennessee,12/15/1904,nf,nf
Bingham,Tennessee,10/01/1904,35.930064,-86.9683362
Bingham,Tennessee,11/01/1904,35.930064,-86.9683362
Bloomingdale,Tennessee,01/02/1903,36.5845458,-82.489316
Blountville,Tennessee,04/16/1900,36.5331586,-82.326806
Bluff City,Tennessee,12/15/1902,36.4742705,-82.2609685
Bonaqua,Tennessee,01/15/1904,nf,nf
Boonshill,Tennessee,02/01/1904,35.2125794,-86.7419436
Box,Tennessee,02/01/1901,35.2536918,-88.3094828
Boyds Creek,Tennessee,08/01/1901,35.9234211,-83.6590618
Bradford,Tennessee,01/01/1904,35.6731317,-89.2095122
Braxton,Tennessee,09/15/1904,36.091739,-86.7948789
Brentwood,Tennessee,07/01/1902,36.0325687,-86.7825235
Brickchurch,Tennessee,02/01/1904,nf,nf
Bridgeport,Tennessee,11/15/1904,35.9531539,-83.1170989
Brighton,Tennessee,02/02/1903,35.0800851,-86.4391585
Bristol,Tennessee,01/01/1902,36.5951059,-82.1887444
Broadview,Tennessee,07/15/1903,35.4931305,-87.098063
Brownsville,Tennessee,12/15/1903,35.5939671,-89.262291
Brunswick,Tennessee,12/01/1902,35.2673093,-89.7686944
Brushcreek,Tennessee,01/15/1904,nf,nf
Buenavista,Tennessee,09/01/1903,14.3004398,120.8991728
Bullsgap,Tennessee,09/01/1902,nf,nf
Bunkerhill,Tennessee,03/01/1904,36.1297083,-86.7226519
Burlison,Tennessee,11/02/1903,35.5570255,-89.7789707
Burns,Tennessee,01/01/1904,36.0533943,-87.3125104
Butler,Tennessee,11/01/1900,36.3534506,-82.0323443
Bybee,Tennessee,01/01/1903,36.0481521,-83.1793268
Cades Cove,Tennessee,10/15/1904,35.975949,-88.7823229
Calhoun,Tennessee,08/01/1904,35.296462,-84.7479962
Camden,Tennessee,09/01/1902,36.0589486,-88.0978151
Campbellsville,Tennessee,08/01/1903,35.3373002,-87.1305657
Caneyspring,Tennessee,01/01/1904,nf,nf
Capleville,Tennessee,11/02/1903,35.0206478,-89.8978663
Carthage,Tennessee,02/01/1904,36.2522766,-85.951654
Cassville,Tennessee,12/15/1904,35.955342,-85.6016462
Castalian Springs,Tennessee,09/15/1903,36.3936587,-86.3080463
Cedargrove,Tennessee,06/01/1904,nf,nf
Cedarhill,Tennessee,11/15/1902,36.039605,-86.7096819
Centerville,Tennessee,05/01/1902,35.7789565,-87.4669587
Chapelhill,Tennessee,01/01/1904,nf,nf
Charleston,Tennessee,04/01/1904,35.4959148,-89.5089638
Charlotte,Tennessee,01/15/1904,36.1772797,-87.3397319
Chattanooga,Tennessee,05/15/1901,35.0456297,-85.3096801
Cheaphill,Tennessee,11/01/1904,nf,nf
Chesterfield,Tennessee,08/15/1904,35.6345139,-88.2669854
Chestnut Mound,Tennessee,11/02/1903,36.202836,-85.8263733
Chestnutbluff,Tennessee,09/15/1903,nf,nf
Christiana,Tennessee,09/01/1903,35.7100099,-86.3993653
Chucky City,Tennessee,01/15/1901,35.1329242,-85.2377084
Church Hill,Tennessee,02/02/1903,35.873417,-83.897681
Clarksville,Tennessee,09/15/1900,36.5285918,-87.3098696
Cleveland,Tennessee,07/01/1901,35.1595182,-84.8766115
Clifton,Tennessee,02/02/1903,35.3870124,-87.9953571
Clinton,Tennessee,04/01/1902,36.1034126,-84.1318632
Coalcreek,Tennessee,11/02/1903,nf,nf
Coldwater,Tennessee,02/01/1904,35.0845275,-86.7336102
Collerville,Tennessee,12/01/1902,nf,nf
Columbia,Tennessee,10/01/1901,35.6150716,-87.0352831
Concord,Tennessee,10/01/1900,36.2300568,-87.7686339
Cookeville,Tennessee,03/01/1904,36.162839,-85.5016423
Corryton,Tennessee,07/01/1901,36.1536937,-83.7824062
Cosby,Tennessee,01/01/1903,35.8173184,-83.2468213
Cottagegrove,Tennessee,07/15/1903,nf,nf
Cottontown,Tennessee,06/01/1904,36.4514343,-86.53805
Covington,Tennessee,02/02/1903,35.5642474,-89.6464672
Crandull,Tennessee,07/01/1904,36.5470599,-81.8959537
Crossplains,Tennessee,11/02/1903,nf,nf
Culleoka,Tennessee,02/01/1902,35.4795186,-86.9830602
Cumberland Gap,Tennessee,10/15/1900,36.599527,-83.6685252
Cunningham,Tennessee,12/15/1904,36.3933851,-87.3872317
Curve,Tennessee,10/15/1904,35.8047981,-89.4567402
Dandridge,Tennessee,10/01/1901,36.0153693,-83.4148895
Darden,Tennessee,09/01/1904,35.6381249,-88.2169835
Dayton,Tennessee,08/01/1902,35.4939587,-85.0124535
Decatur,Tennessee,04/01/1904,35.6067875,-88.1083982
Decaturville,Tennessee,09/15/1904,35.5842372,-88.119479
Decherd,Tennessee,09/01/1904,35.2098048,-86.0794285
Delrio,Tennessee,02/02/1903,nf,nf
Denmark,Tennessee,12/15/1903,35.5328546,-89.003952
Dickson,Tennessee,05/01/1902,36.1459327,-87.3480592
Doeville,Tennessee,01/15/1904,36.3895627,-81.969842
Donelson,Tennessee,09/01/1904,36.1625566,-86.6699968
Dover,Tennessee,11/02/1903,36.2142609,-83.2143335
Dunn,Tennessee,04/01/1904,35.1942473,-87.3400173
Dyer,Tennessee,12/15/1903,36.0526084,-89.4171552
Dyersburg,Tennessee,05/01/1903,36.0345159,-89.3856281
Eagleville,Tennessee,07/15/1904,35.7417333,-86.6497179
Eaton,Tennessee,03/01/1904,35.9689595,-89.1320125
Edgefield,Tennessee,05/14/1900,36.3306108,-85.9044291
Eidson,Tennessee,05/01/1903,36.5112034,-83.0285012
Elizabethton,Tennessee,04/02/1900,36.3487196,-82.2106876
Elk Valley,Tennessee,10/01/1903,36.4836916,-84.245765
Elkton,Tennessee,02/01/1904,35.0523054,-86.888615
Elmwood,Tennessee,11/02/1903,36.2258899,-85.8847079
Embreville,Tennessee,01/01/1902,36.3046445,-82.3944805
Emerts Cove,Tennessee,02/02/1903,35.752926,-83.4133259
Emmett,Tennessee,01/01/1902,36.5312201,-82.1140177
Enville,Tennessee,12/01/1903,35.3847998,-88.4275442
Erie,Tennessee,01/01/1904,35.6475735,-84.5746564
Erin,Tennessee,03/01/1904,36.3209612,-87.6975827
Erwin,Tennessee,10/15/1900,36.1451082,-82.4168055
Estill Springs,Tennessee,03/02/1903,35.2706372,-86.1280417
Ethridge,Tennessee,11/02/1903,35.32369,-87.3036262
Fallbranch,Tennessee,11/01/1900,nf,nf
Faxon,Tennessee,04/01/1904,36.255334,-88.0019783
Fayetteville,Tennessee,05/01/1901,35.1520267,-86.5705509
Finger,Tennessee,04/15/1904,35.3584122,-88.5989385
Flagpond,Tennessee,04/15/1904,nf,nf
Flatcreek,Tennessee,07/15/1904,nf,nf
Flatrock,Tennessee,05/14/1900,35.45541,-85.1850349
Forkvale,Tennessee,01/01/1904,nf,nf
Fosterville,Tennessee,02/02/1903,35.6550695,-86.4030485
Fountain City,Tennessee,05/15/1901,36.0320262,-83.9374084
