Name,Date,State
Abbott,09/01/1900,Texas
Adkins,09/01/1904,Texas
Alba,10/01/1904,Texas
Allen,12/02/1901,Texas
Alma,02/01/1904,Texas
Alto,05/01/1903,Texas
Alvarado,09/01/1900,Texas
Alvin,03/15/1900,Texas
Alvord,12/01/1903,Texas
Anna,09/01/1903,Texas
Annona,12/15/1904,Texas
Aquilla,01/15/1904,Texas
Arlington,04/01/1901,Texas
Arp,04/15/1904,Texas
Athens,04/01/1903,Texas
Atlanta,04/15/1904,Texas
Aubrey,02/15/1904,Texas
Austin,08/01/1901,Texas
Avery,12/01/1904,Texas
Avinger,09/01/1904,Texas
Axtell,05/16/1904,Texas
Azle,03/01/1904,Texas
Bagwell,09/01/1904,Texas
Bald Prairie,12/15/1904,Texas
Barry,05/16/1904,Texas
Bartlett,12/01/1902,Texas
Beckville,03/01/1904,Texas
Bedias,09/15/1904,Texas
Bellevue,09/01/1904,Texas
Bells,07/01/1902,Texas
Belton,08/01/1901,Texas
Ben Franklin,10/01/1903,Texas
Benarnold,12/01/1904,Texas
Bertram,12/15/1903,Texas
Big Sandy,09/15/1904,Texas
Birthright,10/01/1904,Texas
Blooming Grove,09/01/1904,Texas
Blossom,09/15/1904,Texas
Blueridge,04/01/1904,Texas
Bluffdale,12/01/1904,Texas
Blum ,10/01/1901,Texas
Bonham,07/01/1902,Texas
Boonsville,09/01/1904,Texas
Bowie,11/16/1903,Texas
Boyd,04/15/1904,Texas
Bracken,12/01/1904,Texas
Brandon,09/15/1900,Texas
Brashear,05/16/1904,Texas
Brenham,08/15/1904,Texas
Brookston,05/02/1904,Texas
Brownwood,07/01/1904,Texas
Bruceville,04/01/1903,Texas
Bryans Mill,09/15/1904,Texas
Buckholts,08/15/1904,Texas
Buda,05/01/1902,Texas
Buffalo,12/01/1904,Texas
Bullard,07/01/1902,Texas
Burleson,04/01/1901,Texas
Burlington,12/01/1904,Texas
Burnet,07/01/1904,Texas
Burton,10/15/1904,Texas
Caddo Mills,03/02/1903,Texas
Caldwell,10/01/1904,Texas
Calvert,02/15/1904,Texas
Campbell,02/02/1903,Texas
Canton,12/01/1904,Texas
Carrollton,07/01/1901,Texas
Carthage,08/01/1904,Texas
Cash,08/01/1904,Texas
Cason,04/01/1904,Texas
Cedarcreek,04/15/1904,Texas
Cedarhill,07/01/1903,Texas
Celeste,02/02/1903,Texas
Celina,01/01/1904,Texas
Chandler,08/15/1904,Texas
Chapelhill,11/01/1904,Texas
Chatfield,05/02/1904,Texas
Chico,12/15/1903,Texas
Chillicothe,03/01/1904,Texas
Chilton,04/01/1904,Texas
Circleville,09/15/1903,Texas
Clarksville,09/15/1903,Texas
Clearlake,01/01/1904,Texas
Cleburne,03/01/1904,Texas
Collinsville,09/01/1903,Texas
Comanche,05/02/1904,Texas
Commerce,05/16/1904,Texas
Como,12/01/1904,Texas
Cookville,04/01/1904,Texas
Cooledge,12/01/1904,Texas
Cooper,10/01/1903,Texas
Coppell,04/01/1904,Texas
Cornhill,01/01/1904,Texas
Corsicana,02/02/1903,Texas
Cottondale,09/01/1904,Texas
Covington,09/01/1904,Texas
Crandall,02/02/1903,Texas
Crawford,07/01/1902,Texas
Creedmoor,05/01/1902,Texas
Crisp,07/01/1904,Texas
Crockett,12/01/1904,Texas
Crowley,09/01/1903,Texas
Cuero,08/15/1904,Texas
Cumby,10/01/1903,Texas
Cuthand,10/01/1904,Texas
Daingerfield,09/01/1904,Texas
Dalby Springs,09/01/1904,Texas
Dale,08/15/1904,Texas
Dallas,10/01/1901,Texas
Dawson,09/15/1904,Texas
Decatur,09/15/1903,Texas
Dekalb,10/01/1903,Texas
Deleon,07/01/1903,Texas
Delia,10/01/1904,Texas
Delvalle,09/01/1902,Texas
Denison,07/01/1902,Texas
Denton,08/15/1904,Texas
Deport,11/16/1903,Texas
Detroit,09/01/1903,Texas
Dexter,09/01/1903,Texas
Dike,10/01/1904,Texas
Dimebox,11/01/1904,Texas
Dodd City,07/01/1904,Texas
Donie,12/01/1904,Texas
Dorchester,12/01/1904,Texas
Douglassville,09/15/1904,Texas
Dublin,09/15/1903,Texas
Easterly,04/15/1904,Texas
Ector,01/15/1904,Texas
Eddy,04/15/1904,Texas
Egan,04/01/1904,Texas
Elderville,10/15/1904,Texas
Elgin,09/01/1903,Texas
Elmo,02/02/1903,Texas
Emory,10/01/1904,Texas
Enloe,12/01/1903,Texas
Ennis,09/01/1903,Texas
Farmersville,12/02/1901,Texas
Fate,08/01/1899,Texas
Ferris,02/15/1904,Texas
Flatonia,11/01/1904,Texas
Flint,04/01/1904,Texas
Florence,02/01/1904,Texas
Floyd,11/01/1904,Texas
Forney,03/02/1903,Texas
Forreston,09/02/1901,Texas
Fort Worth,09/01/1903,Texas
Franklin,04/15/1904,Texas
Fredericksburg,12/15/1903,Texas
Frisco,09/01/1904,Texas
Frost,12/15/1903,Texas
Gainesville,12/01/1902,Texas
Garden Valley,07/01/1904,Texas
Garland,12/15/1903,Texas
Garner,05/16/1904,Texas
Gatesville,09/15/1904,Texas
Georgetown,04/01/1902,Texas
Gibtown,09/01/1904,Texas
Giddings,12/01/1904,Texas
Gilmer,10/01/1904,Texas
Gladewater,05/16/1904,Texas
Godley,03/01/1904,Texas
Gordonville,12/01/1904,Texas
Granbury,09/15/1904,Texas
Grand Prairie,12/15/1903,Texas
Grand Saline,03/01/1904,Texas
Grandview,06/11/1900,Texas
Granger,09/15/1903,Texas
Grapevine,09/01/1903,Texas
Greenville,03/02/1903,Texas
Greenwood,12/15/1904,Texas
Groesbeck,02/15/1904,Texas
Gunter,09/01/1904,Texas
Hallettsville,03/15/1900,Texas
Hallsville,09/01/1904,Texas
Hamilton,09/15/1903,Texas
Hasse,12/01/1904,Texas
Hawkins,07/15/1904,Texas
Heidenheimer,10/15/1903,Texas
Hempstead,05/16/1904,Texas
Henderson,07/01/1904,Texas
Hico,07/01/1904,Texas
Hillsboro,04/02/1900,Texas
Hochheim,12/01/1904,Texas
Holland ,07/01/1903,Texas
Honeygrove,02/02/1903,Texas
Hooks,04/15/1904,Texas
Houston,04/15/1904,Texas
Howe,12/15/1904,Texas
Hughes Springs,10/15/1903,Texas
Huntsville,12/01/1904,Texas
Hutto,09/15/1903,Texas
Italy,03/01/1904,Texas
Itasca,09/15/1900,Texas
Jacksonville,05/01/1903,Texas
Jefferson,09/01/1903,Texas
Jewett,04/15/1904,Texas
Jonesboro,09/15/1904,Texas
Joshua,03/01/1901,Texas
Justin,09/15/1904,Texas
Kemp,01/01/1904,Texas
Kennedale,04/15/1901,Texas
Kerens,08/15/1904,Texas
Kilgore,04/01/1903,Texas
Killeen,05/16/1904,Texas
Kingsbury,07/15/1904,Texas
Kingston,01/15/1904,Texas
Klondike,10/01/1904,Texas
Kopperl,01/15/1904,Texas
Kosse,10/01/1904,Texas
Krum,09/01/1904,Texas
Kyle,10/01/1902,Texas
La Porte,07/01/1902,Texas
Ladonia,12/15/1903,Texas
Lafayette,11/15/1904,Texas
La Grange,08/01/1899,Texas
Lakecreek,09/01/1904,Texas
Lamasco,11/15/1904,Texas
Lampasas,08/01/1904,Texas
Lancaster,07/01/1903,Texas
Leander,05/01/1902,Texas
Leesburg,09/15/1904,Texas
Leonard,12/01/1903,Texas
Lewisville,03/02/1903,Texas
Lexington,04/15/1904,Texas
Libertyhill,03/02/1903,Texas
Lindale,10/01/1901,Texas
Linden,04/15/1904,Texas
Lockhart,02/02/1903,Texas
Lometa,03/01/1904,Texas
Lone Oak,10/01/1901,Texas
Longview,04/15/1904,Texas
Lorena,07/01/1902,Texas
Lott,02/01/1904,Texas
Luling,01/01/1904,Texas
Lytton Springs,11/15/1904,Texas
Mabank,10/01/1904,Texas
Malone,09/01/1904,Texas
Manor,04/01/1902,Texas
Mansfield,03/01/1901,Texas
Marietta,09/01/1904,Texas
Marion,11/01/1904,Texas
Marlin,04/15/1904,Texas
Marquez,07/01/1903,Texas
Marshall,03/01/1904,Texas
Mart,05/16/1904,Texas
Martinburg,04/15/1904,Texas
Maud,11/02/1903,Texas
Maxwell,09/15/1903,Texas
Maypearl,05/02/1904,Texas
Mc Dade,08/15/1904,Texas
Mc Gregor,07/01/1902,Texas
Mc Kinney,12/02/1901,Texas
Mendoza,03/01/1904,Texas
Meridian,09/01/1904,Texas
Merkel,07/01/1904,Texas
Mertens,10/01/1901,Texas
Mesquite,01/01/1902,Texas
Mexia,09/01/1904,Texas
Midlothian,05/01/1901,Texas
Milano,04/15/1904,Texas
Milford,09/15/1903,Texas
Millergrove,05/02/1904,Texas
Millsap,09/01/1904,Texas
Mineola,10/15/1904,Texas
Mineralwells,04/15/1904,Texas
Moody,09/02/1901,Texas
Morgan,08/15/1904,Texas
Moulton,08/15/1904,Texas
Mount Pleasant,11/02/1903,Texas
Mount Vernon,08/15/1904,Texas
Mountcalm,01/01/1904,Texas
Muenster,08/15/1904,Texas
Nacogdoches,05/01/1903,Texas
Naples,04/15/1904,Texas
Neches,12/01/1904,Texas
Nevada,09/01/1903,Texas
New Boston,08/15/1900,Texas
New Braunfels,09/01/1903,Texas
Newark,08/15/1904,Texas
Newport,12/15/1904,Texas
Newsome,08/15/1904,Texas
Nocona,02/15/1904,Texas
Oenaville,01/15/1904,Texas
Oglesby,01/01/1904,Texas
Omaha,07/01/1904,Texas
Overton,04/01/1903,Texas
Palestine,04/15/1904,Texas
Palmer,09/01/1903,Texas
Paradise,05/16/1904,Texas
Paris,10/01/1903,Texas
Pecangap,11/16/1903,Texas
Pilotpoint,04/15/1904,Texas
Pittsburg,11/16/1903,Texas
Plano,11/16/1903,Texas
Pleasantpoint,09/01/1904,Texas
Point,02/01/1904,Texas
Poolville,07/15/1904,Texas
Pottsboro,01/01/1904,Texas
Powderly,10/01/1904,Texas
Princeton,11/01/1904,Texas
Pritchett,09/15/1904,Texas
Proctor,04/15/1904,Texas
Prosper,07/15/1904,Texas
Purdon,09/15/1904,Texas
Queen City,10/01/1904,Texas
Quinlan,03/02/1903,Texas
Quitman,10/01/1904,Texas
Randolph,09/01/1904,Texas
Ravenna,05/16/1904,Texas
Reagan,03/01/1904,Texas
Redoak,07/01/1903,Texas
Redrock,08/15/1904,Texas
Redwater,11/16/1903,Texas
Rice,09/15/1904,Texas
Richardson,12/15/1903,Texas
Riesel,04/15/1904,Texas
Riovista,03/01/1904,Texas
Roane,02/02/1903,Texas
Roanoke,12/15/1903,Texas
Rockdale,08/15/1904,Texas
Rockwall,02/02/1903,Texas
Rodgers,11/16/1903,Texas
Rosebud,02/15/1904,Texas
Ross,05/02/1904,Texas
Roundrock,04/01/1902,Texas
Rowlett,05/16/1904,Texas
Roxton,08/01/1904,Texas
