Name,State,Date,Latitude,Longitude
Abbott,Texas,09/01/1900,31.8848809,-97.0733361
Adkins,Texas,09/01/1904,29.3930129,-98.2372329
Alba,Texas,10/01/1904,32.7929034,-95.6344037
Allen,Texas,12/02/1901,,
Alma,Texas,02/01/1904,,
Alto,Texas,05/01/1903,,
Alvarado,Texas,09/01/1900,32.4065312,-97.2116782
Alvin,Texas,03/15/1900,,
Alvord,Texas,12/01/1903,,
Anna,Texas,09/01/1903,,
Annona,Texas,12/15/1904,,
Aquilla,Texas,01/15/1904,,
Arlington,Texas,04/01/1901,,
Arp,Texas,04/15/1904,32.2254332,-95.0577207
Athens,Texas,04/01/1903,32.2048735,-95.8555207
Atlanta,Texas,04/15/1904,33.1137419,-94.1643537
Aubrey,Texas,02/15/1904,,
Austin,Texas,08/01/1901,,
Avery,Texas,12/01/1904,,
Avinger,Texas,09/01/1904,,
Axtell,Texas,05/16/1904,,
Azle,Texas,03/01/1904,32.8951262,-97.5458565
Bagwell,Texas,09/01/1904,,
Bald Prairie,Texas,12/15/1904,31.2235136,-96.4327478
Barry,Texas,05/16/1904,32.0993189,-96.6361002
Bartlett,Texas,12/01/1902,,
Beckville,Texas,03/01/1904,,
Bedias,Texas,09/15/1904,,
Bellevue,Texas,09/01/1904,,
Bells,Texas,07/01/1902,,
Belton,Texas,08/01/1901,,
Ben Franklin,Texas,10/01/1903,,
Benarnold,Texas,12/01/1904,nf,nf
Bertram,Texas,12/15/1903,,
Big Sandy,Texas,09/15/1904,32.5837521,-95.1088328
Birthright,Texas,10/01/1904,33.2723341,-95.5649546
Blooming Grove,Texas,09/01/1904,32.0920967,-96.715825
Blossom,Texas,09/15/1904,,
Blueridge,Texas,04/01/1904,,
Bluffdale,Texas,12/01/1904,,
Blum ,Texas,10/01/1901,32.1426501,-97.3972382
Bonham,Texas,07/01/1902,33.594211,-96.181646986526
Boonsville,Texas,09/01/1904,33.0684525,-97.8633682
Bowie,Texas,11/16/1903,33.4198886,-94.4479626
Boyd,Texas,04/15/1904,33.6520481,-96.1797013
Bracken,Texas,12/01/1904,29.6099493,-98.3211244
Brandon,Texas,09/15/1900,32.0457094,-96.9605554
Brashear,Texas,05/16/1904,33.1187256,-95.7335714
Brenham,Texas,08/15/1904,30.159145,-96.3954255186398
Brookston,Texas,05/02/1904,33.6231602,-95.6994059
Brownwood,Texas,07/01/1904,,
Bruceville,Texas,04/01/1903,31.3223978,-97.2399521
Bryans Mill,Texas,09/15/1904,33.2351236,-94.4979778
Buckholts,Texas,08/15/1904,,
Buda,Texas,05/01/1902,30.0854747,-97.8447823048253
Buffalo,Texas,12/01/1904,,
Bullard,Texas,07/01/1902,32.1398804,-95.320229
Burleson,Texas,04/01/1901,32.515272,-97.3450889732777
Burlington,Texas,12/01/1904,39.9426129,-74.9340559
Burnet,Texas,07/01/1904,,
Burton,Texas,10/15/1904,30.1821602,-96.5955277
Caddo Mills,Texas,03/02/1903,33.0656732,-96.2277554
Caldwell,Texas,10/01/1904,30.531434,-96.6978672847498
Calvert,Texas,02/15/1904,30.9789745,-96.6715049908709
Campbell,Texas,02/02/1903,33.1481702,-95.9513564
Canton,Texas,12/01/1904,32.5765055,-95.8677747303572
Carrollton,Texas,07/01/1901,32.9537349,-96.8902816
Carthage,Texas,08/01/1904,32.153202,-94.3375636646976
Cash,Texas,08/01/1904,32.9945631,-96.1080288
Cason,Texas,04/01/1904,33.038736,-94.8149313
Cedarcreek,Texas,04/15/1904,29.5127182,-98.7508059
Cedarhill,Texas,07/01/1903,32.701493,-97.4426349
Celeste,Texas,02/02/1903,33.2942791,-96.1946984
Celina,Texas,01/01/1904,33.3245586,-96.7844417
Chandler,Texas,08/15/1904,32.3078452,-95.4798564
Chapelhill,Texas,11/01/1904,nf,nf
Chatfield,Texas,05/02/1904,32.2415365,-96.4074824
Chico,Texas,12/15/1903,33.2959463,-97.7989236
Chillicothe,Texas,03/01/1904,34.2564762,-99.5174737
Chilton,Texas,04/01/1904,31.2801759,-97.0641616
Circleville,Texas,09/15/1903,30.6374186,-97.4355567
Clarksville,Texas,09/15/1903,33.610374,-95.0547466575371
