Name,Date,State
American Fork,12/01/1902,Utah
Bingham Canyon,07/16/1900,Utah
Brigham,11/01/1902,Utah
Charleston,09/01/1903,Utah
Deweyville,12/01/1902,Utah
Garland,09/01/1904,Utah
Heber,12/01/1902,Utah
Hooper,12/01/1902,Utah
Kaysville,09/01/1904,Utah
Lehi City,12/01/1902,Utah
Logan,12/01/1904,Utah
Murray,08/15/1899,Utah
Ogden,12/01/1902,Utah
Pleasantgrove,12/01/1902,Utah
Provo City,12/01/1902,Utah
Riverton,01/01/1902,Utah
Salt Lake City,01/01/1902,Utah
Sandy ,07/16/1900,Utah
Spanish Fork,12/01/1902,Utah
Springville,12/01/1902,Utah
Vernal,12/01/1904,Utah
Wellsville,09/01/1904,Utah
Woods Cross,12/01/1904,Utah
