Name,State,Date,Latitude,Longitude
American Fork,Utah,12/01/1902,40.3768954,-111.7957645
Bingham Canyon,Utah,07/16/1900,40.53274755,-112.140471232863
Brigham,Utah,11/01/1902,40.25142785,-111.650571786422
Charleston,Utah,09/01/1903,,
Deweyville,Utah,12/01/1902,,
Garland,Utah,09/01/1904,41.7410387,-112.1616194
Heber,Utah,12/01/1902,40.5046825,-111.414188832917
Hooper,Utah,12/01/1902,41.1643301,-112.1234484
Kaysville,Utah,09/01/1904,,
Lehi City,Utah,12/01/1902,,
Logan,Utah,12/01/1904,,
Murray,Utah,08/15/1899,,
Ogden,Utah,12/01/1902,,
Pleasantgrove,Utah,12/01/1902,nf,nf
Provo City,Utah,12/01/1902,,
Riverton,Utah,01/01/1902,,
Salt Lake City,Utah,01/01/1902,40.7670126,-111.8904308
Sandy ,Utah,07/16/1900,,
Spanish Fork,Utah,12/01/1902,,
Springville,Utah,12/01/1902,,
Vernal,Utah,12/01/1904,,
Wellsville,Utah,09/01/1904,41.6385432,-111.9338342
Woods Cross,Utah,12/01/1904,,
