Name,State,Date,Latitude,Longitude
Alburg,Vermont,09/03/1900,44.9750399,-73.3001312
Arlington,Vermont,02/01/1902,43.0763025,-73.2021821926126
Barnet,Vermont,09/15/1903,44.2970051,-72.0492605
Barre,Vermont,09/15/1903,44.1970055,-72.5020494
Barton,Vermont,09/01/1903,44.7481049,-72.1762128
Barton Landing,Vermont,11/01/1904,nf,nf
Bellows Falls,Vermont,12/02/1901,43.1336862,-72.4439301
Bennington,Vermont,02/15/1902,42.8783183,-73.1971692
Benson,Vermont,11/02/1903,43.71558845,-73.3081519819146
Bethel,Vermont,07/01/1902,43.8333999,-72.6339903
Bradford,Vermont,10/01/1903,43.9925666,-72.1289793
Brandon,Vermont,11/01/1902,43.7981195,-73.087612
Brattleboro,Vermont,03/02/1898,42.8509152,-72.5578678
Bridport,Vermont,08/01/1900,43.985058,-73.3126201
Bristol,Vermont,12/15/1900,44.1333913,-73.0790077
Brookfield,Vermont,07/01/1903,44.0422861,-72.6034385
Burlington,Vermont,07/20/1898,44.4723989,-73.2114941
Cambridge,Vermont,07/01/1902,44.6447722,-72.8762415
Cavendish,Vermont,09/15/1903,43.3820171,-72.608149
Chelsea,Vermont,05/01/1903,43.9886039,-72.4480157
Chester,Vermont,09/01/1903,43.2628528,-72.595092
Chester Depot,Vermont,09/01/1903,nf,nf
Clarendon,Vermont,12/15/1904,43.5161807,-72.9698271
Craftsbury,Vermont,11/01/1904,44.6353452,-72.3724784
Danby,Vermont,11/02/1903,43.3461841,-72.9953817
Danville,Vermont,06/01/1904,44.4111685,-72.1392645
Dorset,Vermont,10/01/1902,43.2547975,-73.0987163
East Enosburg,Vermont,11/16/1903,44.8631029,-72.7362422
East Fairfield,Vermont,07/01/1902,44.7844926,-72.8584673
East Georgia,Vermont,09/15/1903,44.6800479,-73.0831917
East Hardwick,Vermont,08/01/1902,44.5217205,-72.3087159
East Highgate,Vermont,10/01/1902,44.9272664,-72.9879098
East Montpelier,Vermont,02/01/1904,44.2711706,-72.4870503
East Poultney,Vermont,07/15/1904,43.5264576,-73.204553
East Shoreham,Vermont,10/01/1903,43.8603386,-73.2528937
East Wallingford,Vermont,09/01/1903,43.4495154,-72.8759349
Enosburg Falls,Vermont,12/15/1900,44.9069907,-72.8065231
Essex,Vermont,07/01/1902,44.7065484,-71.7344471
Fairfax,Vermont,10/01/1901,44.6653272,-73.008749
Fairfield,Vermont,09/01/1902,44.8019921,-72.9456936
Fairhaven,Vermont,07/01/1901,nf,nf
Felchville,Vermont,10/01/1903,43.4564604,-72.53787
