Name,State,Date,Latitude,Longitude
Abingdon,Virginia,07/01/1902,,
Accotink,Virginia,10/01/1900,,
Afton,Virginia,06/15/1904,38.0323598,-78.839189
Alexandria,Virginia,07/01/1902,38.8051095,-77.0470229
Allisonia,Virginia,09/01/1904,,
Alton,Virginia,11/01/1904,,
Alumine,Virginia,10/01/1902,,
Amherst,Virginia,02/15/1904,37.5997548,-79.1483701
Andersonville,Virginia,06/01/1904,,
Ararat,Virginia,07/15/1904,,
Arrington,Virginia,04/01/1904,,
Ashland,Virginia,03/02/1903,37.7594012,-77.4806603
Atkins,Virginia,10/01/1903,36.8673392,-81.4234428
Austinville,Virginia,06/01/1904,,
Axton,Virginia,02/01/1902,,
Banister,Virginia,05/01/1903,,
Basham,Virginia,11/02/1903,,
Basic City,Virginia,11/16/1903,,
Bassetts,Virginia,04/01/1902,,
Beach ,Virginia,12/15/1903,,
Bedford City,Virginia,05/01/1903,,
Benhams,Virginia,07/01/1902,,
Bentcreek,Virginia,04/01/1904,,
Berryville,Virginia,08/01/1904,,
Big Island,Virginia,10/01/1904,,
Bigstone Gap,Virginia,04/01/1904,,
Blackwater,Virginia,07/15/1904,36.6273124,-83.0507241
Bluemont,Virginia,06/01/1904,,
Blueridge Springs,Virginia,06/15/1904,,
Bodycamp,Virginia,07/01/1903,,
Boone Mill,Virginia,02/01/1902,38.0093296,-81.7013559
Boyce,Virginia,04/01/1904,39.0931617,-78.0594426
Branchville,Virginia,01/15/1904,,
Bridgewater,Virginia,10/15/1902,,
Broadrun,Virginia,04/15/1904,,
Broadway,Virginia,10/15/1902,,
Brookneal,Virginia,04/01/1904,37.0501416,-78.9441801
Bryant,Virginia,04/01/1904,,
Buchanan,Virginia,03/02/1903,,
Buena Vista,Virginia,01/01/1903,,
Buffaloridge,Virginia,10/01/1903,,
Burkes Station,Virginia,08/01/1902,37.0981725,-81.3409367
Callands,Virginia,05/01/1903,,
Callaway,Virginia,08/01/1903,,
Cambria,Virginia,07/01/1903,,
Campcreek,Virginia,09/01/1904,,
Cana,Virginia,06/15/1904,,
Cap,Virginia,12/01/1904,,
Cartersville,Virginia,10/01/1903,,
Carterton,Virginia,07/01/1902,,
Castlewood,Virginia,03/02/1903,,
Catawba,Virginia,07/01/1903,36.9223617,-78.9502903
Ceres,Virginia,02/01/1904,,
Chalk Level,Virginia,07/01/1901,36.9184727,-79.2777999
Chamblissburg,Virginia,10/15/1903,,
Chap,Virginia,04/01/1904,,
Charlotte Court House,Virginia,03/01/1904,,
Charlottesville,Virginia,08/01/1902,38.029306,-78.4766781
Chatham,Virginia,12/04/1899,,
Chilhowie ,Virginia,01/01/1902,36.7984482,-81.6823411
Christiansburg,Virginia,10/15/1903,,
Churchville,Virginia,04/15/1904,,
Clarkton,Virginia,11/15/1904,,
Claudville,Virginia,09/15/1904,,
Clinchport,Virginia,10/01/1903,,
Clover,Virginia,07/15/1903,,
Cody,Virginia,11/01/1904,36.9776397,-79.0983508
Comers Rock,Virginia,01/01/1904,,
Concord Depot,Virginia,04/01/1903,,
Copperhill,Virginia,11/16/1903,,
Crewe,Virginia,10/15/1903,,
Crimora Station,Virginia,04/01/1904,38.1540237,-78.8503063
Cripplecreek,Virginia,03/01/1904,nf,nf
Critz,Virginia,10/01/1903,36.630137,-80.144771
Crockett Depot,Virginia,03/02/1903,nf,nf
Crystalhill,Virginia,04/01/1904,nf,nf
Cumberland,Virginia,09/15/1903,37.4966375,-78.2446058
Davis Mills,Virginia,04/01/1903,38.4168492,-78.851709
Dayton,Virginia,06/01/1899,,
Delaplane,Virginia,08/01/1903,,
Dickinson,Virginia,08/01/1903,38.203714,-81.5026169
Dodson,Virginia,10/01/1903,36.832914,-80.1080997
Dot ,Virginia,10/01/1903,,
Drakes Branch,Virginia,11/01/1904,,
Draper,Virginia,01/01/1902,,
Dryden,Virginia,09/15/1903,,
Dublin,Virginia,02/02/1903,,
Duffield,Virginia,09/15/1903,,
Eaglerock,Virginia,06/15/1904,,
East Radford,Virginia,02/01/1904,,
Edenburg,Virginia,10/01/1902,38.4084193,-82.2615355
Edgewood,Virginia,02/01/1902,37.4543091,-79.0922459
Elamsville,Virginia,02/01/1904,36.7676353,-80.1939388
Elba,Virginia,07/01/1901,37.732038,-76.9957529
Elkcreek,Virginia,01/01/1904,nf,nf
Elkton,Virginia,07/01/1901,,
Ellerson,Virginia,02/01/1904,,
Endicott,Virginia,10/15/1904,,
Ettricks,Virginia,12/15/1903,,
Evergreen,Virginia,01/01/1903,,
Evington,Virginia,04/01/1904,,
Ewing,Virginia,07/15/1904,36.6367525,-83.4315742
