Name,Date
Ashton,12/15/1903
Belington,05/01/1901
Berea,12/15/1903
Berkeley Springs,01/01/1904
Berryburg,09/01/1904
Beverly,12/01/1903
Bridgeport,04/01/1902
Bristol,04/01/1904
Buffalo,05/02/1904
Bunkerhill,02/02/1903
Bunners,11/16/1903
Cairo,07/15/1904
Catawba,11/16/1903
Charleston,05/01/1903
Charles Town,10/01/1896
Cherryrun,01/01/1904
Clarksburg,04/01/1902
Colliers,04/01/1902
Elizabeth,09/02/1901
Elkins,10/01/1902
Elm Grove,04/01/1902
Fairmont,04/16/1900
Falling Waters,10/15/1903
Farmington,09/15/1903
Grafton,04/01/1903
Halltown,10/01/1896
Hanna,09/01/1904
Harpers Ferry,12/15/1900
Harrisville,08/15/1900
Hedgesville,06/18/1900
Inwood,10/15/1903
Janelew,10/01/1903
Kearneysville,07/15/1903
Littlefalls,11/16/1903
Mannington,12/18/1899
Martinsburg,05/02/1898
Metz,11/16/1903
Monongah,11/16/1903
Morgantown,12/15/1899
Moundsville,10/01/1903
New Cumberland,04/01/1902
Newburg,08/15/1904
Nicklow,04/01/1903
Parkersburg,02/01/1899
Phillipi,05/01/1899
Pliny,05/02/1904
Ravenswood,09/15/1904
Reedsville,12/01/1903
Reedyripple,12/15/1903
Rivesville,11/16/1903
Shenandoah Junction,07/15/1903
Shepherdstown,07/15/1903
Shinnston,04/01/1902
Shortcreek,07/15/1904
Sistersville,04/01/1904
Slate,12/15/1903
Summit Point,07/15/1903
Thornton,11/01/1904
Thurmond,09/15/1900
Triadelphia,03/01/1902
Uvilla,10/01/1896
Vanvoorhis,02/15/1904
Volga,04/01/1903
Wadestown,08/15/1904
Washington,06/15/1904
Watson,09/15/1903
Waverly,07/15/1903
Wellsburg,06/01/1899
Weston,10/01/1903
Wheeling,04/01/1902
Wilsonburg,10/01/1903
Woodlands,09/15/1904
Worthington,11/16/1903
