Name,Date,State
Ashton,12/15/1903,West Virginia
Belington,05/01/1901,West Virginia
Berea,12/15/1903,West Virginia
Berkeley Springs,01/01/1904,West Virginia
Berryburg,09/01/1904,West Virginia
Beverly,12/01/1903,West Virginia
Bridgeport,04/01/1902,West Virginia
Bristol,04/01/1904,West Virginia
Buffalo,05/02/1904,West Virginia
Bunkerhill,02/02/1903,West Virginia
Bunners,11/16/1903,West Virginia
Cairo,07/15/1904,West Virginia
Catawba,11/16/1903,West Virginia
Charleston,05/01/1903,West Virginia
Charles Town,10/01/1896,West Virginia
Cherryrun,01/01/1904,West Virginia
Clarksburg,04/01/1902,West Virginia
Colliers,04/01/1902,West Virginia
Elizabeth,09/02/1901,West Virginia
Elkins,10/01/1902,West Virginia
Elm Grove,04/01/1902,West Virginia
Fairmont,04/16/1900,West Virginia
Falling Waters,10/15/1903,West Virginia
Farmington,09/15/1903,West Virginia
Grafton,04/01/1903,West Virginia
Halltown,10/01/1896,West Virginia
Hanna,09/01/1904,West Virginia
Harpers Ferry,12/15/1900,West Virginia
Harrisville,08/15/1900,West Virginia
Hedgesville,06/18/1900,West Virginia
Inwood,10/15/1903,West Virginia
Janelew,10/01/1903,West Virginia
Kearneysville,07/15/1903,West Virginia
Littlefalls,11/16/1903,West Virginia
Mannington,12/18/1899,West Virginia
Martinsburg,05/02/1898,West Virginia
Metz,11/16/1903,West Virginia
Monongah,11/16/1903,West Virginia
Morgantown,12/15/1899,West Virginia
Moundsville,10/01/1903,West Virginia
New Cumberland,04/01/1902,West Virginia
Newburg,08/15/1904,West Virginia
Nicklow,04/01/1903,West Virginia
Parkersburg,02/01/1899,West Virginia
Phillipi,05/01/1899,West Virginia
Pliny,05/02/1904,West Virginia
Ravenswood,09/15/1904,West Virginia
Reedsville,12/01/1903,West Virginia
Reedyripple,12/15/1903,West Virginia
Rivesville,11/16/1903,West Virginia
Shenandoah Junction,07/15/1903,West Virginia
Shepherdstown,07/15/1903,West Virginia
Shinnston,04/01/1902,West Virginia
Shortcreek,07/15/1904,West Virginia
Sistersville,04/01/1904,West Virginia
Slate,12/15/1903,West Virginia
Summit Point,07/15/1903,West Virginia
Thornton,11/01/1904,West Virginia
Thurmond,09/15/1900,West Virginia
Triadelphia,03/01/1902,West Virginia
Uvilla,10/01/1896,West Virginia
Vanvoorhis,02/15/1904,West Virginia
Volga,04/01/1903,West Virginia
Wadestown,08/15/1904,West Virginia
Washington,06/15/1904,West Virginia
Watson,09/15/1903,West Virginia
Waverly,07/15/1903,West Virginia
Wellsburg,06/01/1899,West Virginia
Weston,10/01/1903,West Virginia
Wheeling,04/01/1902,West Virginia
Wilsonburg,10/01/1903,West Virginia
Woodlands,09/15/1904,West Virginia
Worthington,11/16/1903,West Virginia
