Name,Date,State
Abbotsford,06/15/1904,Wisconsin
Abrams,08/15/1904,Wisconsin
Adel,07/15/1903,Wisconsin
Albany,07/01/1902,Wisconsin
Algoma,11/15/1902,Wisconsin
Allenton,02/15/1904,Wisconsin
Allenville,04/15/1903,Wisconsin
Alma,11/16/1903,Wisconsin
Alma Center,08/15/1899,Wisconsin
Almond,11/15/1902,Wisconsin
Amery,10/01/1903,Wisconsin
Amherst,12/01/1903,Wisconsin
Amherst Junction,04/15/1904,Wisconsin
Antigo,04/01/1902,Wisconsin
Appleton,03/15/1900,Wisconsin
Arcadia,04/01/1903,Wisconsin
Arena,03/01/1902,Wisconsin
Argyle ,10/01/1903,Wisconsin
Arkansaw,11/02/1903,Wisconsin
Arkdale,05/16/1904,Wisconsin
Arlington,10/01/1903,Wisconsin
Arpin,12/01/1904,Wisconsin
Ashland,10/15/1904,Wisconsin
Athens,04/15/1904,Wisconsin
Auburndale,12/01/1904,Wisconsin
Augusta,04/02/1900,Wisconsin
Avalon ,12/15/1903,Wisconsin
Avoca,07/01/1902,Wisconsin
Bagley,03/01/1902,Wisconsin
Baileys Harbor,05/02/1904,Wisconsin
Baldwin,07/01/1902,Wisconsin
Bancroft,05/02/1904,Wisconsin
Bangor,09/01/1900,Wisconsin
Baraboo,09/01/1900,Wisconsin
Barneveld,08/01/1900,Wisconsin
Barnum,09/15/1903,Wisconsin
Barron,12/01/1902,Wisconsin
Barton,06/18/1900,Wisconsin
Basco,07/15/1902,Wisconsin
Bay City,09/15/1903,Wisconsin
Beaverdam,08/15/1900,Wisconsin
Beetown,10/01/1904,Wisconsin
Beldenville,02/01/1902,Wisconsin
Belgium,06/01/1904,Wisconsin
Belleville,08/01/1900,Wisconsin
Belmont,08/01/1904,Wisconsin
Beloit,07/16/1900,Wisconsin
Berlin,06/11/1900,Wisconsin
Black Earth,07/15/1902,Wisconsin
Black River Falls,08/15/1900,Wisconsin
Blackcreek,11/01/1901,Wisconsin
Blair,10/01/1903,Wisconsin
Blanchardville,07/01/1902,Wisconsin
Bloom City,11/01/1904,Wisconsin
Bloomer,10/01/1900,Wisconsin
Bloomington,10/01/1904,Wisconsin
Blue Mounds,07/01/1901,Wisconsin
Blue River,02/15/1904,Wisconsin
Boaz,01/15/1904,Wisconsin
